id,證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
43,1324,地球,3.52,107.0,,0.66,108/3
44,1325,恆大,1.32,107.0,75.5,1.9,108/3
45,1326,台化,8.26,107.0,15.23,1.24,108/3
46,1337,再生-KY,0.0,107.0,,0.15,108/3
47,1338,廣華-KY,7.4,107.0,10.51,0.63,108/3
48,1339,昭輝,4.88,107.0,8.37,0.88,108/3
49,1340,勝悅-KY,11.48,107.0,,0.26,108/3
50,1341,富林-KY,5.15,107.0,10.68,2.42,108/3
51,1402,遠東新,7.11,107.0,14.06,0.67,108/3
52,1409,新纖,7.59,107.0,8.96,0.62,108/3
53,1410,南染,4.55,107.0,22.84,1.67,108/3
54,1413,宏洲,0.0,107.0,7.03,0.85,108/3
55,1414,東和,3.22,107.0,,0.45,108/3
56,1416,廣豐,9.84,107.0,14.02,0.57,108/3
57,1417,嘉裕,0.0,107.0,,0.69,108/3
58,1418,東華,0.0,107.0,,0.47,108/3
59,1419,新紡,2.12,107.0,32.56,1.4,108/3
60,1423,利華,0.0,107.0,,0.59,108/3
61,1432,大魯閣,0.0,107.0,,0.6,108/3
62,1434,福懋,6.82,107.0,15.17,0.82,108/3
63,1435,中福,0.0,107.0,381.0,1.07,108/3
64,1436,華友聯,10.54,107.0,23.87,1.46,108/3
65,1437,勤益控,2.45,107.0,4.83,0.65,108/3
66,1438,三地開發,0.0,107.0,,2.2,108/3
67,1439,中和,0.0,107.0,3.29,1.06,108/3
68,1440,南紡,4.21,107.0,,0.64,108/3
69,1441,大東,40.24,107.0,,0.69,108/3
70,1442,名軒,6.23,107.0,61.73,0.96,108/3
71,1443,立益,0.0,107.0,,1.02,108/3
72,1444,力麗,4.97,107.0,23.0,0.72,108/3
73,1445,大宇,2.94,107.0,,0.53,108/3
74,1446,宏和,1.16,107.0,,2.3,108/3
75,1447,力鵬,3.36,107.0,,0.51,108/3
76,1449,佳和,0.0,107.0,,1.96,108/3
77,1451,年興,10.44,107.0,35.46,0.52,108/3
78,1452,宏益,7.78,107.0,13.53,0.96,108/4
79,1453,大將,13.16,107.0,,0.57,108/3
80,1454,台富,2.81,107.0,29.71,0.59,108/3
81,1455,集盛,3.33,107.0,,0.5,108/3
82,1456,怡華,0.0,107.0,30.37,0.63,108/4
83,1457,宜進,5.62,107.0,8.65,0.66,108/3
84,1459,聯發,0.0,107.0,,0.73,108/3
85,1460,宏遠,2.99,107.0,,0.63,108/3
86,1463,強盛,11.48,107.0,14.19,0.92,108/3
87,1464,得力,7.19,107.0,17.09,1.47,108/3
88,1465,偉全,2.02,107.0,4.17,0.77,108/3
89,1466,聚隆,0.0,107.0,,0.49,108/3
90,1467,南緯,0.0,107.0,33.67,0.71,108/3
91,1468,昶和,0.0,107.0,36.52,1.43,108/3
92,1470,大統新創,2.08,107.0,20.87,1.7,108/3
93,1471,首利,0.0,107.0,,0.4,108/3
94,1472,三洋紡,0.0,107.0,12.32,1.92,108/3
95,1473,台南,1.96,107.0,20.28,0.96,108/3
96,1474,弘裕,3.39,107.0,36.88,0.63,108/3
97,1475,業旺,0.0,107.0,,5.81,108/4
98,1476,儒鴻,3.65,107.0,19.24,4.56,108/4
99,1477,聚陽,5.68,107.0,14.64,3.12,108/3
100,1503,士電,3.7,107.0,13.5,0.89,108/3
101,1504,東元,3.63,107.0,14.76,0.87,108/3
102,1506,正道,0.0,107.0,,1.53,108/3
103,1507,永大,3.29,107.0,27.35,2.01,108/3
104,1512,瑞利,0.0,107.0,,1.33,108/3
105,1513,中興電,4.26,107.0,15.84,1.3,108/3
106,1514,亞力,5.68,107.0,12.22,1.24,108/3
107,1515,力山,4.01,107.0,6.77,2.81,108/3
108,1516,川飛,2.93,107.0,74.76,1.39,108/3
109,1517,利奇,3.07,107.0,407.0,0.59,108/3
110,1519,華城,1.09,107.0,19.0,2.27,108/3
111,1521,大億,6.37,107.0,11.92,2.44,108/3
112,1522,堤維西,6.1,107.0,9.42,1.01,108/3
113,1524,耿鼎,5.68,107.0,9.36,0.68,108/3
114,1525,江申,4.1,107.0,9.1,0.79,108/3
115,1526,日馳,6.1,107.0,10.38,1.0,108/3
116,1527,鑽全,9.43,107.0,6.35,1.48,108/3
117,1528,恩德,2.86,107.0,,0.61,108/4
118,1529,樂士,1.35,107.0,56.92,1.39,108/3
119,1530,亞崴,7.07,107.0,11.6,0.95,108/3
120,1531,高林股,4.2,107.0,25.87,0.59,108/3
121,1532,勤美,10.19,107.0,11.47,0.86,108/3
122,1533,車王電,2.88,107.0,11.03,1.1,108/3
123,1535,中宇,3.51,107.0,30.69,1.31,108/3
124,1536,和大,3.63,107.0,29.81,3.79,108/3
125,1537,廣隆,6.99,107.0,12.13,3.0,108/3
126,1538,正峰,0.0,107.0,,0.95,108/3
127,1539,巨庭,11.39,107.0,3.21,0.77,108/3
128,1540,喬福,9.09,107.0,7.75,0.96,108/3
129,1541,錩泰,2.99,107.0,15.46,2.14,108/3
130,1558,伸興,8.8,107.0,10.62,1.61,108/3
131,1560,中砂,6.38,107.0,14.41,1.8,108/4
132,1568,倉佑,4.35,107.0,62.29,0.99,108/3
133,1582,信錦,8.42,107.0,10.18,1.78,108/3
134,1583,程泰,5.26,107.0,14.73,1.42,108/3
135,1587,吉茂,2.36,107.0,18.96,0.71,108/3
136,1589,永冠-KY,0.0,107.0,,0.76,108/3
137,1590,亞德客-KY,1.22,107.0,31.45,4.63,108/3
138,1592,英瑞-KY,0.0,107.0,,0.51,108/3
139,1598,岱宇,1.92,107.0,15.82,1.85,108/3
140,1603,華電,1.68,107.0,28.98,0.95,108/3
141,1604,聲寶,8.14,107.0,8.6,0.97,108/3
142,1605,華新,9.92,107.0,12.74,0.52,108/4
143,1608,華榮,0.0,107.0,34.35,0.53,108/3
144,1609,大亞,7.78,107.0,13.64,0.76,108/3
145,1611,中電,1.24,107.0,30.25,1.07,108/3
146,1612,宏泰,3.26,107.0,20.46,0.68,108/3
147,1614,三洋電,3.24,107.0,36.49,1.42,108/3
148,1615,大山,7.34,107.0,10.82,1.22,108/3
149,1616,億泰,0.0,107.0,,0.51,108/3
150,1617,榮星,9.71,107.0,12.26,0.89,108/3
151,1618,合機,3.89,107.0,,0.46,108/3
152,1626,艾美特-KY,0.0,107.0,14.16,1.19,108/4
153,1701,中化,4.04,107.0,16.36,1.01,108/3
154,1702,南僑,5.99,107.0,11.64,1.9,108/3
155,1707,葡萄王,2.97,107.0,22.71,4.81,108/4
156,1708,東鹼,4.2,107.0,19.83,0.85,108/3
157,1709,和益,3.83,107.0,50.19,0.91,108/3
158,1710,東聯,9.43,107.0,84.32,1.19,108/3
159,1711,永光,3.45,107.0,21.01,1.02,108/3
160,1712,興農,7.1,107.0,11.88,1.12,108/3
161,1713,國化,4.16,107.0,26.64,1.12,108/4
162,1714,和桐,2.27,107.0,28.78,0.62,108/3
163,1717,長興,3.67,107.0,14.33,1.43,108/3
164,1718,中纖,11.56,107.0,,0.38,108/3
165,1720,生達,4.54,107.0,15.81,1.62,108/3
166,1721,三晃,0.0,107.0,197.2,0.94,108/3
167,1722,台肥,4.9,107.0,20.13,0.87,108/3
168,1723,中碳,5.1,107.0,16.1,3.52,108/3
169,1724,台硝,4.1,107.0,15.06,0.79,108/3
