id,證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數
837,8039,台虹            ,"1,514,000","975,000","539,000",0.0,0.0,0.0,0,0,0,"-417,000","26,000","287,000","-261,000","16,000","172,000","-156,000","122,000"
838,8046,南電            ,"2,282,000","2,615,000","-333,000",0.0,0.0,0.0,"180,000","40,000","140,000","-634,000","101,000","186,000","-85,000","80,000","629,000","-549,000","-827,000"
839,8070,長華*           ,"14,000","111,000","-97,000",0.0,0.0,0.0,0,0,0,"-17,000","1,000","18,000","-17,000",0,0,0,"-114,000"
840,8072,陞泰            ,0,"5,000","-5,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-5,000"
841,8081,致新            ,"194,000","491,000","-297,000",0.0,0.0,0.0,0,"31,000","-31,000","-112,000",0,"12,000","-12,000","2,000","102,000","-100,000","-440,000"
842,8101,華冠            ,"107,000","22,000","85,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"85,000"
843,8103,瀚荃            ,"1,000","25,000","-24,000",0.0,0.0,0.0,0,0,0,"-11,000",0,"11,000","-11,000",0,0,0,"-35,000"
844,8104,錸寶            ,"63,000","37,000","26,000",0.0,0.0,0.0,0,0,0,"18,000",0,"2,000","-2,000","20,000",0,"20,000","44,000"
845,8105,凌巨            ,"739,000","749,000","-10,000",0.0,0.0,0.0,0,0,0,"-4,000",0,"4,000","-4,000",0,0,0,"-14,000"
846,8110,華東            ,"397,000","582,000","-185,000",0.0,0.0,0.0,0,0,0,"68,000","99,000","31,000","68,000",0,0,0,"-117,000"
847,8112,至上            ,"1,827,000","1,231,000","596,000",0.0,0.0,0.0,0,0,0,"-65,000","11,000","76,000","-65,000",0,0,0,"531,000"
848,8114,振樺電          ,"19,000","45,000","-26,000",0.0,0.0,0.0,0,0,0,"-5,000",0,"5,000","-5,000",0,0,0,"-31,000"
849,8131,福懋科          ,"264,000","345,000","-81,000",0.0,0.0,0.0,"1,000",0,"1,000","-65,000",0,"53,000","-53,000","2,000","14,000","-12,000","-145,000"
850,8150,南茂            ,"3,089,000","2,842,000","247,000",0.0,0.0,0.0,0,0,0,"-570,033","8,000","9,000","-1,000","29,000","598,033","-569,033","-323,033"
851,8163,達方            ,"707,000","856,000","-149,000",0.0,0.0,0.0,0,"373,000","-373,000","-90,000","16,000","102,000","-86,000",0,"4,000","-4,000","-612,000"
852,8201,無敵            ,"13,000","3,000","10,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"10,000"
853,8210,勤誠            ,"548,000","437,000","111,000",0.0,0.0,0.0,0,0,0,"-56,000",0,"12,000","-12,000","17,000","61,000","-44,000","55,000"
854,8213,志超            ,"231,000","1,079,000","-848,000",0.0,0.0,0.0,0,0,0,"4,000","7,000","2,000","5,000",0,"1,000","-1,000","-844,000"
855,8215,明基材          ,"1,100,000","660,000","440,000",0.0,0.0,0.0,0,0,0,"-38,000",0,"8,000","-8,000",0,"30,000","-30,000","402,000"
856,8222,寶一            ,"2,000","10,000","-8,000",0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-9,000"
857,8249,菱光            ,"7,000","160,000","-153,000",0.0,0.0,0.0,0,0,0,"-4,000","1,000","5,000","-4,000",0,0,0,"-157,000"
858,8261,富鼎            ,"126,000","276,000","-150,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-150,000"
859,8271,宇瞻            ,"1,147,000","1,318,000","-171,000",0.0,0.0,0.0,0,0,0,"-83,000","5,000","88,000","-83,000",0,0,0,"-254,000"
860,8341,日友            ,"83,000","149,000","-66,000",0.0,0.0,0.0,"1,000",0,"1,000","-6,000","2,000","8,000","-6,000",0,0,0,"-71,000"
861,8367,建新國際        ,"3,000","20,000","-17,000",0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-18,000"
862,8374,羅昇            ,"2,000","3,000","-1,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-1,000"
863,8404,百和興業-KY     ,"191,000","135,000","56,000",0.0,0.0,0.0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"54,000"
864,8411,福貞-KY         ,"3,000","7,000","-4,000",0.0,0.0,0.0,0,0,0,0,"1,000","1,000",0,0,0,0,"-4,000"
865,8422,可寧衛          ,"40,000","312,000","-272,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-272,000"
866,8429,金麗-KY         ,"42,000","73,000","-31,000",0.0,0.0,0.0,0,0,0,"-4,000",0,"4,000","-4,000",0,0,0,"-35,000"
867,8442,威宏-KY         ,"4,000","3,000","1,000",0.0,0.0,0.0,0,0,0,"-10,000",0,"10,000","-10,000",0,0,0,"-9,000"
868,8443,阿瘦            ,"2,000","12,000","-10,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-10,000"
869,8454,富邦媒          ,"212,000","131,900","80,100",0.0,0.0,0.0,0,0,0,"-1,000","6,000","7,000","-1,000",0,0,0,"79,100"
870,8462,柏文            ,"51,000","95,000","-44,000",0.0,0.0,0.0,0,"5,000","-5,000",0,0,0,0,0,0,0,"-49,000"
871,8463,潤泰材          ,"143,000","155,000","-12,000",0.0,0.0,0.0,0,0,0,"-81,000",0,"81,000","-81,000",0,0,0,"-93,000"
872,8464,億豐            ,"868,221","1,083,926","-215,705",0.0,0.0,0.0,"27,000","77,000","-50,000","-11,000","4,000","15,000","-11,000",0,0,0,"-276,705"
873,8466,美吉吉-KY       ,"3,000",0,"3,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,000"
874,8467,波力-KY         ,"2,000","2,000",0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
875,8473,山林水          ,"10,000","14,000","-4,000",0.0,0.0,0.0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"-3,000"
876,8478,東哥遊艇        ,"3,000","5,000","-2,000",0.0,0.0,0.0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"-1,000"
877,8480,泰昇-KY         ,0,"14,000","-14,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-14,000"
878,8481,政伸            ,0,"6,000","-6,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-6,000"
879,8482,商億-KY         ,"218,000","68,000","150,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"150,000"
880,8488,吉源-KY         ,"3,000","7,000","-4,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-4,000"
881,8497,格威傳媒        ,"49,000","2,000","47,000",0.0,0.0,0.0,0,0,0,"-31,000",0,"31,000","-31,000",0,0,0,"16,000"
882,8499,鼎炫-KY         ,"37,000","57,000","-20,000",0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"-21,000"
883,8926,台汽電          ,"626,000","344,000","282,000",0.0,0.0,0.0,"2,000",0,"2,000","-101,000","1,000","102,000","-101,000",0,0,0,"183,000"
884,8940,新天地          ,"2,000","8,000","-6,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"-6,000"
885,8996,高力            ,"3,016,000","281,000","2,735,000",0.0,0.0,0.0,0,"70,000","-70,000","-82,000","143,000","225,000","-82,000",0,0,0,"2,583,000"
886,9103,美德醫療-DR     ,0,"10,000","-10,000",0.0,0.0,0.0,0,0,0,0,"1,000","1,000",0,0,0,0,"-10,000"
887,9105,泰金寶-DR       ,"2,438,000","1,405,000","1,033,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,033,000"
888,9136,巨騰-DR         ,"22,000","2,000","20,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"20,000"
889,9802,鈺齊-KY         ,"507,000","1,003,000","-496,000",0.0,0.0,0.0,0,"166,000","-166,000","-56,000",0,0,0,"61,000","117,000","-56,000","-718,000"
890,9902,台火            ,"13,000","43,000","-30,000",0.0,0.0,0.0,0,0,0,"-2,000","2,000","4,000","-2,000",0,0,0,"-32,000"
