公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收
2380,虹光,-,-11.05,94856,-16.47,101014,84369,-25.65,240980,179155
2382,廣達,-,-21.86,62958366,-21.74,62862271,49194067,-24.11,147787483,112152433
2387,精元,-,-13.69,696417,7.51,559041,601052,-6.62,1389518,1297469
2395,研華,-,-18.49,3964219,-9.5,3570476,3231064,-7.12,7747244,7195283
2397,友通,主係因新增合併子公司其陽及羅昇營業收入淨額，致使本月營業收入增幅百分比達50%以上。,-22.09,745070,63.34,355333,580435,43.93,920921,1325505
2399,映泰,-,-7.57,160105,-1.87,150793,147971,-11.35,347536,308076
2405,浩鑫,-,-10.35,175589,-32.79,234203,157398,-31.86,488686,332987
2417,圓剛,-,4.48,184349,-3.54,199696,192614,-11.8,427401,376963
2424,隴華,本月增加因本月出貨天線1套，去年同期無出貨,-19.83,1417,37766.66,3,1136,530.37,405,2553
2425,承啟,2月營收較同期減少主係受新冠狀肺炎疫情之影響，2月營收相較同期減少。,-63.38,173330,-71.33,221417,63465,-48.08,456126,236795
2442,新美齊,"本年累計較去年同期減少,主係車用電子產品營收下滑",-27.73,291524,-15.3,248715,210661,-23.37,655361,502185
2465,麗臺,-,19.91,218958,-12.18,298990,262568,-12.34,549368,481526
3002,歐格,去年2月逢農曆春節，出貨減少,-44.73,58727,65.69,19589,32458,-6.27,97285,91185
3005,神基,-,-26.11,1978770,-13.32,1686754,1462062,-8.16,3746920,3440832
3013,晟銘電,-,-34.27,426141,-9.17,308351,280064,-21.74,902463,706205
3017,奇鋐,-,-33.09,3157840,5.52,2001941,2112601,18.63,4442545,5270441
3022,威強電,-,-35.3,382736,-21.84,316824,247603,-32.69,936528,630339
3046,建��,因中國廠區受到新型冠狀肺炎疫情影響延遲復工，致2月營收較去年同期減少,-62.95,124829,-60.11,115961,46246,-40.75,288738,171076
3057,喬鼎,-,8.55,95459,16.38,89037,103628,3.56,192241,199088
3060,銘異,-,-7.31,375375,-19.69,433258,347914,-25.82,975056,723289
3231,緯創,-,-25.83,60489120,-21.08,56850489,44862598,-20.54,132586034,105351718
3416,融程電,-,14.17,101213,-2.88,118998,115564,-18.55,266159,216777
3494,誠研,-,-26.09,67272,-34.85,76324,49719,-24.14,154227,116991
3515,華擎,"“本年累計營業收入淨額”採年平均匯率計算,“本月營業收入淨額”採該月平均匯率計算,故累計營收淨額與各月營收淨額加總會有差異",-25.59,1410743,23.49,850043,1049725,33.02,1849930,2460813
3701,大眾控,-,-18.73,456456,-24.34,490323,370950,-28.04,1149856,827406
3706,神達,-,-18.51,3099517,10.33,2289035,2525712,12.37,5005882,5625229
3712,永崴投控,-,-33.67,568594,-26.78,515030,377097,-29.83,1347780,945691
4916,事欣科,-,17.05,468063,13.33,483406,547889,-5.36,1073530,1015952
4938,和碩,無,-14.47,95653396,0.19,81645017,81804451,-13.12,204279133,177457846
5258,虹堡,-,-21.12,330018,44.28,180407,260307,33.58,441915,590325
6117,迎廣,108年2月適逢春節。,-5.84,173889,59.96,102347,163718,17.59,287101,337607
6128,上福,-,-8.8,465036,-19.24,525162,424101,-20.38,1116770,889137
6166,凌華,-,28.47,624381,20.88,663589,802167,-12.38,1628164,1426548
6172,互億,2月部分訂單延後出貨,-50.92,31229,-52.73,32428,15326,-44.86,84498,46592
6206,飛捷,-,-16.96,462320,7.18,358154,383893,-7.55,915359,846213
6230,超眾,-,-38.01,598892,-24.09,489102,371236,-20.85,1225747,970129
6235,華孚,主要係因受新型冠狀病毒影響延遲復工所致。,-33.23,172232,-50.76,233542,114991,-43.43,507734,287223
6277,宏正,-,0.15,378730,5.38,359941,379322,2.31,740906,758052
6414,樺漢,-,-15.28,6132514,2.32,5077168,5195301,-0.4,11374076,11327815
6579,研揚,-,1.23,462940,36.11,344296,468637,8.0,862520,931577
6669,緯穎,-,-4.53,12421637,6.29,11155782,11857759,-8.02,26398403,24279396
8114,振樺電,-,8.06,576175,-4.07,649108,622630,-17.5,1453098,1198805
