公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,date
1101,台泥,-,5.63,9745147,-8.18,11211942,10293900,-6.3,98773809,92542392,2020-11
1102,亞泥,-,2.43,7256519,5.94,7016219,7433331,-15.33,73225486,61997504,2020-11
1103,嘉泥,-,1.31,163492,-6.35,176879,165638,6.96,1539872,1647163,2020-11
1104,環泥,-,9.97,450890,-1.47,503315,495885,8.08,4054671,4382436,2020-11
1108,幸福,-,0.23,380768,9.56,348338,381651,24.33,3007974,3739997,2020-11
1109,信大,-,16.9,675602,23.64,638725,789783,-4.08,6259154,6003212,2020-11
1110,東泥,-,0.23,143254,0.17,143344,143594,-0.12,1282160,1280618,2020-11
1201,味全,-,-6.59,1770907,-4.9,1739332,1654044,-9.17,17172143,15596088,2020-11
1203,味王,-,-19.45,540372,-15.33,514106,435262,-4.41,5258963,5026648,2020-11
1210,大成,-,0.0,7188625,4.74,6863541,7189097,0.44,64205759,64493642,2020-11
1213,大飲,-,-36.16,41327,-2.75,27127,26380,-7.63,382109,352924,2020-11
1215,卜蜂,-,-0.36,1920517,0.27,1908232,1913473,4.55,17483590,18280181,2020-11
1216,統一,-,-9.64,40353475,-1.37,36972407,36463221,-0.8,380327552,377275653,2020-11
1217,愛之味,-,-52.9,565045,-6.36,284230,266129,3.91,3898696,4051478,2020-11
1218,泰山,-,-17.44,819145,-2.13,690997,676243,3.17,6887438,7105867,2020-11
1219,福壽,-,1.19,1086298,1.49,1083064,1099296,-0.68,10127804,10058390,2020-11
1220,台榮,-,-15.93,287415,-21.83,309104,241613,-3.65,2384612,2297494,2020-11
1225,福懋油,-,-2.25,835861,-20.17,1023560,817026,-6.26,8861930,8306554,2020-11
1227,佳格,-,-28.95,3958750,21.97,2305665,2812353,14.02,23710561,27036883,2020-11
1229,聯華,-,-11.88,915901,12.67,716226,807007,18.13,6692813,7906778,2020-11
1231,聯華食,-,1.99,694394,1.82,695551,708224,2.59,7011674,7193868,2020-11
1232,大統益,-,-1.4,1537742,2.02,1486022,1516071,-0.66,14095352,14001832,2020-11
1233,天仁,-,-18.45,180532,-16.6,176532,147219,-15.72,1858834,1566522,2020-11
1234,黑松,-,-14.0,876580,3.27,729907,753787,1.88,7481706,7622804,2020-11
1235,興泰,-,-77.45,28185,-37.73,10207,6355,6.05,58185,61710,2020-11
1236,宏亞,-,-41.48,193049,-24.43,149497,112963,-11.41,1425524,1262771,2020-11
1702,南僑,-,-14.11,1768470,0.49,1511382,1518892,-4.94,14938606,14200458,2020-11
1737,臺鹽,-,-17.59,282412,-3.97,242350,232717,5.05,2413317,2535349,2020-11
1301,台塑,-,5.53,15836081,0.77,16583297,16712494,-15.91,175880157,147890638,2020-11
1303,南亞,-,3.82,23828101,2.22,24199415,24739023,-8.43,238856644,218711317,2020-11
1304,台聚,-,7.29,4307703,1.35,4560162,4622066,-15.67,46545009,39250828,2020-11
1305,華夏,-,22.15,1134914,11.0,1248897,1386393,-16.82,12656114,10526829,2020-11
1307,三芳,-,0.12,840399,-13.11,968475,841490,-19.4,8705491,7016582,2020-11
1308,亞聚,-,-3.0,473181,-21.32,583313,458950,-20.97,5623764,4444385,2020-11
1309,台達化,-,3.52,1371229,5.49,1345676,1419625,-18.38,14809338,12086690,2020-11
1310,台苯,-,10.45,642101,-29.6,1007580,709251,-40.13,10466940,6266452,2020-11
1312,國喬,-,5.33,1487844,-1.76,1595381,1567152,-24.1,17179281,13038337,2020-11
1313,聯成,-,-2.97,5087822,2.87,4798646,4936665,-22.52,51624733,39998168,2020-11
1314,中石化,-,5.72,1224711,-32.96,1931548,1294775,-45.81,26415314,14313110,2020-11
1315,達新,-,10.4,194188,37.94,155412,214384,-9.82,2047016,1845954,2020-11
1321,大洋,-,-10.75,508942,17.49,386564,454209,4.16,3878228,4039583,2020-11
1323,永裕,-,-3.21,303129,-12.67,335952,293385,-7.58,3018857,2790015,2020-11
1324,地球,-,-3.67,85306,-13.09,94553,82168,-7.88,951076,876090,2020-11
1325,恆大,受新冠肺炎影響致營收增加,0.64,471539,781.61,53828,474557,432.44,651235,3467485,2020-11
1326,台化,-,8.73,20716904,-9.42,24869514,22525959,-26.42,276042156,203110368,2020-11
4306,炎洲,-,-3.75,1293307,-10.87,1396588,1244703,-17.01,13558679,11251099,2020-11
1402,遠東新,-,-0.24,16832713,-15.89,19963313,16790724,-20.34,210315551,167533437,2020-11
1409,新纖,-,6.38,2597618,-4.73,2900775,2763433,-21.72,32692783,25591766,2020-11
1410,南染,-,-16.18,40589,-4.22,35521,34020,0.89,334033,337030,2020-11
1413,宏洲,疫情影響，下游需求急速萎縮,15.52,122414,-35.49,219241,141414,-53.31,2610227,1218550,2020-11
1414,東和,去年同期外銷量少,8.89,60808,52.16,43515,66216,-15.99,661622,555792,2020-11
1417,嘉裕,-,-0.02,92872,-10.42,103663,92852,-22.93,1117555,861229,2020-11
1418,東華,因客戶受新冠狀肺炎疫情之影響調降開工率，造成亞克力纖維市場需求停滯。,-16.02,6159,-41.38,8824,5172,-59.37,189119,76837,2020-11
1419,新紡,-,8.85,202648,-16.47,264084,220587,2.8,1641335,1687385,2020-11
1423,利華,10月份整體市場概況與9月份說明大致相同。,13.41,12877,-46.84,27475,14604,-57.67,421899,178561,2020-11
1434,福懋,-,1.96,2328734,-15.09,2796923,2374609,-23.17,31240783,24001938,2020-11
1439,中和,-,24.29,4997,-8.12,6760,6211,-34.07,145239,95746,2020-11
1440,南紡,-,13.85,1418244,-19.71,2011385,1614790,-26.44,19323698,14212963,2020-11
1441,大東,-,253.23,45644,30.22,123806,161229,5.35,1221272,1286696,2020-11
1443,立益,-,-1.43,55232,-7.14,58625,54439,-17.61,562724,463576,2020-11
1444,力麗,-,9.27,652937,-26.6,972078,713503,-34.0,10268009,6775920,2020-11
1445,大宇,-,-6.24,70496,-46.08,122584,66097,-34.03,1141835,753204,2020-11
1446,宏和,10月營建案有過戶但尚未交屋，故無認列營收,-88.71,44365,-79.21,24092,5008,7.6,369314,397406,2020-11
