公司代號,公司名稱,備註,上月比較增減(%),上月營收,去年同月增減(%),去年當月營收,當月營收,前期比較增減(%),去年累計營收,當月累計營收,date
2476,鉅祥,-,-3.69,402431,-10.81,434567,387549,-8.92,3296507,3002319,2020-09
2478,大毅,-,15.57,443893,31.46,390253,513031,15.77,2975571,3444996,2020-09
2483,百容,-,-13.03,157086,-7.38,147514,136616,-5.77,1221222,1150641,2020-09
2484,希華,-,1.28,233413,13.02,209179,236417,6.96,1523763,1629859,2020-09
2492,華新科,"8月合併營收34.1億,較7月增1.4%,與去年8月比增 39.7%,累計較去年增4%,茲因中國加速擴大內需巿場及5G相關需求持續增長.",1.44,3359950,39.68,2440065,3408491,4.03,21059219,21909272,2020-09
2493,揚博,-,1.45,203482,-3.25,213370,206433,1.5,1646719,1671543,2020-09
3003,健和興,-,10.9,261716,3.48,280491,290269,-6.64,2255215,2105450,2020-09
3011,今皓,-,-5.33,107107,-12.54,115932,101391,-2.98,886401,859984,2020-09
3015,全漢,-,-6.46,1511959,9.78,1288045,1414143,2.64,9075110,9315504,2020-09
3021,鴻名,-,-3.78,260761,14.7,218717,250881,3.72,1669513,1731753,2020-09
3023,信邦,-,2.71,1909058,14.94,1706013,1960929,11.11,12352716,13725827,2020-09
3026,禾伸堂,-,5.14,1261953,0.7,1317554,1326872,0.23,9370161,9392106,2020-09
3032,偉訓,-,7.3,786104,26.12,668806,843513,9.77,4913328,5393827,2020-09
3037,欣興,-,-2.06,7635849,-6.12,7966058,7478052,9.97,52184114,57391190,2020-09
3042,晶技,-,5.03,957079,21.01,830712,1005279,28.84,5151622,6637496,2020-09
3044,健鼎,-,0.45,5086246,-1.43,5183466,5109168,-1.6,35493819,34923167,2020-09
3058,立德,-,0.31,385459,-2.5,396617,386684,-10.6,3030801,2709509,2020-09
3090,日電貿,-,-5.73,815975,-2.33,787541,769141,3.63,5893642,6107693,2020-09
3229,晟鈦,海外子公司之營收係以當年度平均匯率換算之，本月減少百分比達50%，主因去年同期認列專案營收。,-22.65,31697,-71.89,87238,24517,-20.88,347944,275277,2020-09
3296,勝德,-,-2.68,252511,9.96,223462,245725,-18.91,1847757,1498237,2020-09
3308,聯德,-,13.36,30566,-40.53,58276,34651,-45.12,402588,220901,2020-09
3321,同泰,-,0.19,161549,-9.71,179266,161859,-22.17,1537992,1196998,2020-09
3338,泰碩,-,-3.62,421472,-6.01,432207,406193,24.39,2816569,3503619,2020-09
3376,新日興,-,8.28,1308485,46.29,968573,1416938,33.89,6822781,9135454,2020-09
3432,台端,係因客戶訂單減少所致,-48.26,4390,-47.52,4328,2271,-50.82,41272,20296,2020-09
3501,維熹,-,-7.12,483410,2.47,438160,448986,-13.67,3389719,2926248,2020-09
3533,嘉澤,-,21.08,1325522,8.72,1476222,1605007,11.19,9712076,10798865,2020-09
3550,聯穎,-,-4.05,307828,1.92,289756,295346,-4.75,2232288,2126196,2020-09
3593,力銘,去年營收不佳，主係適逢客戶新舊機種交替之空窗期。,-1.56,69856,140.37,28607,68765,7.28,384908,412946,2020-09
3605,宏致,"本公司於108年7月新增子公司廣迎新工業(股)公司 ,本年合併營收金額含廣迎新工業(股)公司之營收金額",-3.95,768042,8.73,678429,737703,14.47,4507199,5159821,2020-09
3607,谷崧,-,24.22,239964,-17.73,362367,298085,-40.14,3092649,1851098,2020-09
3645,達邁,-,8.17,178380,22.64,157325,192956,0.31,1199668,1203434,2020-09
3653,健策,-,3.33,541245,23.3,453602,559296,31.4,3471166,4561327,2020-09
3679,新至陞,-,13.13,446719,48.25,340912,505408,14.11,2351981,2684079,2020-09
4545,銘鈺,-,14.75,151189,7.47,161430,173503,1.62,1154439,1173235,2020-09
4915,致伸,-,3.15,5747565,-30.89,8579706,5928822,-10.45,46290614,41451907,2020-09
4989,榮科,-,-26.71,228326,-36.95,265402,167331,-9.04,1918578,1744984,2020-09
4999,鑫禾,-,-4.26,243569,36.28,171084,233170,23.22,1341338,1652866,2020-09
5469,瀚宇博,無,7.08,3951630,8.83,3888009,4231513,1.56,28103686,28542620,2020-09
6108,競國,-,6.02,714593,1.64,745408,757679,3.04,5223850,5382933,2020-09
6115,鎰勝,-,-0.53,590031,3.45,567247,586869,-13.97,4428254,3809449,2020-09
6133,金橋,-,-19.57,104800,-24.32,111391,84290,-24.09,787089,597449,2020-09
6141,柏承,資料係自行結算數,-0.89,306738,16.45,261030,303988,-2.61,2049746,1996147,2020-09
6153,嘉聯益,-,-2.32,1475172,-10.63,1612328,1440921,-15.31,11446078,9692776,2020-09
6155,鈞寶,-,35.23,42297,-8.07,62227,57200,-6.33,418484,391979,2020-09
6165,捷泰,本公司100%持有旭瑞文化傳媒股份有限公司，合併基準日為109/08/17，合併後營收大幅提高。,163833.33,51,46091.16,181,83606,5090.66,1628,84504,2020-09
6191,精成科,-,12.08,1875425,8.23,1942150,2102139,-1.48,14312028,14098986,2020-09
6197,佳必琪,-,-4.44,334022,-11.62,361158,319168,-6.61,2383066,2225535,2020-09
6205,詮欣,-,-43.14,147109,-5.98,88961,83637,15.0,803998,924630,2020-09
6213,聯茂,-,-6.91,2118656,-9.23,2172880,1972193,10.55,15545901,17186047,2020-09
6224,聚鼎,-,1.65,146244,-13.55,171967,148664,4.34,1017354,1061595,2020-09
6251,定穎,-,10.59,1032013,-11.98,1296670,1141324,-10.25,8815482,7911374,2020-09
6269,台郡,-,4.55,2434617,-3.04,2625428,2545393,14.03,14154423,16141464,2020-09
6282,康舒,-,-1.6,1847655,3.62,1754414,1818052,-2.06,13880701,13594133,2020-09
6412,群電,-,3.3,2997734,-7.02,3330824,3096842,-0.46,22142705,22040398,2020-09
6449,鈺邦,-,10.78,226236,23.83,202406,250644,20.66,1221239,1473594,2020-09
6715,嘉基,-,71.09,111108,0.57,189011,190102,-5.92,1544189,1452703,2020-09
8039,台虹,自結數尚未經會計師簽證，特此說明。,1.01,851728,17.58,731721,860388,9.12,4931650,5381808,2020-09
8046,南電,-,7.65,3377828,32.26,2749332,3636289,23.79,19414838,24034959,2020-09
8103,瀚荃,係本公司自結合併營收,-11.92,290488,-8.69,280230,255858,-3.17,2074889,2008929,2020-09
8213,志超,-,-1.78,2010008,-0.28,1979638,1974047,0.03,14648494,14654159,2020-09
8249,菱光,-,11.81,291468,-22.59,421039,325897,-29.02,3043753,2160335,2020-09
2347,聯強,本月營收係當月自結數，前期調整數反應在本年累計營收內,-2.38,29097426,-0.14,28446408,28404644,-6.99,217300846,202097761,2020-09
2414,精技,-,-14.68,1987483,-9.81,1880152,1695693,17.29,12003097,14079127,2020-09
2430,燦坤,-,-12.72,2097020,18.2,1548328,1830126,0.62,13016708,13098230,2020-09
2459,敦吉,-,5.56,602003,-12.42,725680,635483,-20.64,5026527,3988880,2020-09
3010,華立,-,-2.03,5215809,4.64,4882520,5109468,5.08,35700427,37514755,2020-09
3028,增你強,-,-9.52,3493886,34.17,2355913,3160939,13.29,17725993,20083362,2020-09
3033,威健,-,-16.78,6208651,18.34,4365554,5166444,20.65,30610864,36933888,2020-09
3036,文曄,-,-2.19,28050163,-11.96,31166267,27435829,1.99,203632545,207685837,2020-09
3048,益登,-,6.02,9726609,-1.27,10445764,10312398,9.98,58884490,64766599,2020-09
3055,蔚華科,增加:新增子公司營收135M、驗證服務10M;減少:新產品線18M、Cohu代理線終止經銷4M、零配件2M、二手設備1M。,29.25,204298,82.14,144969,264056,33.48,1387111,1851544,2020-09
3209,全科,-,-10.02,3946869,-8.41,3877506,3551076,9.31,24469297,26748332,2020-09
3312,弘憶股,-,2.32,1146443,-0.54,1179559,1173125,9.92,7712129,8477735,2020-09
3528,安馳,-,-3.61,389156,8.58,345429,375080,24.67,2676716,3337164,2020-09
3702,大聯大,-,-5.15,57306638,15.7,46975350,54352682,17.51,334022503,392513847,2020-09
5434,崇越,-,-0.46,2957667,8.11,2722992,2944010,19.66,20108747,24063355,2020-09
6189,豐藝,-,2.01,2292559,13.09,2067882,2338681,13.08,14888851,16837117,2020-09
6281,全國電,-,-13.7,2327760,27.42,1576384,2008675,11.92,12464810,13951815,2020-09
8070,長華*,-,-5.01,1357138,-4.44,1349069,1289131,6.45,9910574,10550581,2020-09
8072,陞泰,第三季客戶提前拉貨以備第四季庫存。,29.76,112213,91.21,76151,145614,28.02,515852,660410,2020-09
8112,至上,-,-10.05,11652027,-14.69,12285900,10480774,22.52,68489161,83914826,2020-09
2427,三商電,-,7.94,231780,10.54,226340,250204,2.04,1690639,1725214,2020-09
2453,凌群,-,-0.29,432225,-2.67,442810,430957,-4.05,3344573,3208826,2020-09
2468,華經,-,15.98,212289,30.1,189241,246214,18.34,1232667,1458796,2020-09
2471,資通,-,-3.21,69900,8.81,62172,67650,2.55,453080,464650,2020-09
2480,敦陽科,-,1.55,409428,8.94,381654,415801,2.39,3378332,3459313,2020-09
3029,零壹,-,1.07,835614,12.52,750599,844575,19.79,5686144,6811756,2020-09
3130,一零四,-,3.18,143013,1.21,145790,147567,-2.1,1100721,1077519,2020-09
4994,傳奇,-,-16.41,354865,-23.76,389066,296617,-10.91,2518662,2243853,2020-09
5203,訊連,-,-8.82,162626,35.91,109096,148273,19.03,909414,1082540,2020-09
6112,聚碩,-,-14.41,1179297,-5.66,1069848,1009270,11.73,8280438,9251856,2020-09
6183,關貿,-,-20.7,173464,-1.41,139528,137552,9.78,1043604,1145684,2020-09
6214,精誠,-,-19.46,1991664,-10.21,1786534,1603968,7.96,14096699,15219571,2020-09
2312,金寶,-,-1.1,11757738,-2.99,11987213,11627894,-14.9,92007492,78292099,2020-09
2317,鴻海,-,4.26,403325650,5.44,398815197,420545724,-4.37,3013700353,2881989079,2020-09
2354,鴻準,-,-1.88,11334512,-17.87,13541006,11121026,-7.82,61405512,56602030,2020-09
2359,所羅門,-,-0.61,297529,-28.32,412551,295693,-12.82,2555464,2227842,2020-09
2360,致茂,-,-22.31,1594142,2.07,1213182,1238344,20.91,8296731,10032003,2020-09
2373,震旦行,-,1.37,1174130,7.34,1108753,1190244,-10.41,9099553,8151907,2020-09
2390,云辰,-,0.49,41750,-22.79,54344,41955,-17.56,424718,350097,2020-09
2404,漢唐,"本月營收較去年同期增加50%,係因本月正在投入進行的專案較去年同期增加所致",14.6,3760281,191.44,1478605,4309378,61.48,15426680,24911117,2020-09
2423,固緯,-,-6.54,193534,-14.27,210967,180858,-13.32,1613208,1398313,2020-09
2433,互盛電,-,-3.81,339807,-8.65,357825,326840,-7.6,2876890,2658160,2020-09
2461,光群雷,-,3.91,488735,-2.14,519027,507887,1.56,3406717,3460158,2020-09
2464,盟立,-,3.26,724335,-22.64,966930,747973,-35.8,8791314,5643962,2020-09
2474,可成,無,-1.62,7851674,-11.6,8738308,7723815,13.05,49295624,55729900,2020-09
2477,美隆電,-,39.48,201341,-27.29,386281,280838,-29.72,2458609,1727859,2020-09
2482,連宇,-,8.2,62460,-29.67,96100,67587,-11.97,669724,589496,2020-09
2488,漢平,-,35.02,171957,-11.42,262143,232182,-39.9,1688766,1014861,2020-09
2495,普安,-,-25.67,114658,-27.6,117712,85214,-15.48,879922,743680,2020-09
3018,同開,本公司係以完工比例法認列收入，本月收入增加，係本年度在攬工程投入成本較高所致。,55.92,82957,88.19,68732,129347,49.87,682349,1022660,2020-09
3030,德律,-,3.44,464128,29.26,371436,480124,22.7,2928857,3593858,2020-09
3043,科風,-,-12.78,99553,-27.87,120374,86823,-11.3,764301,677881,2020-09
3305,昇貿,-,3.35,443160,5.28,435045,458046,-9.24,3398713,3084388,2020-09
3450,聯鈞,-,-1.81,557199,9.57,499281,547073,3.71,3904763,4049979,2020-09
3518,柏騰,-,-4.09,62762,31.51,45769,60192,16.75,351856,410802,2020-09
3617,碩天,-,-1.01,868112,-7.71,931089,859269,-6.27,6039212,5660473,2020-09
6139,亞翔,合併營收數字係自結本業合併營收，最終亞翔合併營收數字以會計師查核為準。,4.61,969759,7.87,940440,1014538,-18.74,10127165,8228690,2020-09
6192,巨路,-,16.52,479134,12.85,494699,558311,-9.37,4334776,3928239,2020-09
6196,帆宣,-,21.77,1847044,25.65,1789975,2249188,-1.0,15538649,15382131,2020-09
6201,亞弘電,-,10.07,353332,29.62,300045,388933,-8.95,2265303,2062448,2020-09
6215,和椿,-,-5.0,129422,1.04,121681,122949,7.76,991129,1068074,2020-09
6283,淳安,本月營收大幅上升，主係因本月合併新取得子公司營收所致。,52.05,122106,68.52,110168,185665,17.06,727598,851741,2020-09
6409,旭隼,-,-4.5,1238084,1.09,1169561,1182320,3.94,8492466,8827115,2020-09
6558,興能高,-,16.52,165489,5.78,182278,192831,-25.84,1372704,1017957,2020-09
6698,旭暉應材,-,44.81,44597,-31.13,93779,64585,-43.3,615391,348911,2020-09
6743,安普新,受惠居家商機與遠距工作，耳機需求量增加，公司訂單亦隨之成長。,4.91,661603,82.37,380582,694096,96.48,1373235,2698268,2020-09
8021,尖點,-,1.76,260590,4.91,252768,265189,-4.21,1940450,1858580,2020-09
8201,無敵,-,-52.2,87771,-29.68,59658,41951,-21.53,832365,653149,2020-09
2616,山隆,-,0.54,1397829,-4.56,1472642,1405461,-12.13,11932644,10484605,2020-09
6505,台塑化,-,-10.02,33532841,-43.58,53480947,30169512,-36.92,445787158,281163240,2020-09
8926,台汽電,子公司星能(股)依工程進度認列收入較去年同期增加。,-8.88,774384,-28.82,991343,705610,99.09,3209159,6389309,2020-09
9908,大台北,-,-4.04,246764,-25.1,316178,236788,-16.11,2933500,2460643,2020-09
9918,欣天然,-,-2.39,111592,-19.05,134561,108915,-6.45,1544008,1444381,2020-09
9926,新海,-,4.67,143816,-7.19,162200,150536,-7.17,1652480,1533942,2020-09
9931,欣高,-,3.27,82300,-25.68,114367,84992,-14.86,1006101,856586,2020-09
9937,全國,-,-1.54,1635903,-16.57,1930669,1610641,-21.45,15317429,12030561,2020-09
1316,上曜,本年增加房地收入,-16.37,46213,8.89,35488,38646,175.58,341047,939868,2020-09
1436,華友聯,109年8月營收較去年同期增加之原因，係本月交屋較去年同期增加,-61.84,395003,1423.81,9890,150705,82.64,666040,1216477,2020-09
1438,三地開發,"108年度累計銷售商品10仟元，109年度累計銷售商品、房屋及土地98,426仟元，故營收變化大。",,0,100.0,2,4,984160.0,10,98426,2020-09
1442,名軒,本月認收22戶，去年同期認收3戶；本年累計認收199戶，去年累計認收17戶，故兩期差異大。,-79.71,870040,448.99,32143,176465,278.92,404931,1534374,2020-09
1805,寶徠,去年同期營收較高，主要係認列桃園青埔案之收入；本年累計營收較高主要係認列新店康橋旭案之收入所致。,-99.12,5143,-99.76,19160,45,50.54,84123,126647,2020-09
1808,潤隆,營收變動主要係本月工程及房地出售收入皆較去年同期增加所致。,14.09,607537,90.92,363046,693139,42.37,2368170,3371779,2020-09
2501,國建,本月交屋入帳較多,-7.18,930579,257.84,241362,863707,-21.08,5971875,4712961,2020-09
2504,國產,福建水泥108/10起不列入合併主體，本月影響數1.24億，本年累計影響數12.67億，排除該影響，營收同期增加10.7%，累計增加6.4%。,-4.54,1533003,1.2,1445972,1463388,-4.77,12069184,11493068,2020-09
2505,國揚,"本年度營建收入10,614,712仟元，租賃收入8,628仟元。",135.02,110638,200.83,86434,260023,905.75,1056253,10623340,2020-09
2506,太設,-,-71.14,180904,-1.43,52961,52202,22.43,482319,590540,2020-09
2509,全坤建,"本年累計營收較去年同期累計減少,主要係認列餘屋銷售所致.",-6.38,77756,-22.57,94005,72788,-59.09,1388881,568135,2020-09
2511,太子,-,7.86,972913,17.71,891447,1049393,-15.45,8020498,6781063,2020-09
2515,中工,-,6.62,1058133,17.81,957627,1128265,5.78,7993136,8455401,2020-09
2516,新建,-,-50.5,817949,-41.44,691386,404816,-19.62,4696046,3774333,2020-09
2520,冠德,109年8月及109年1-8月營業收入較去年同期增加達50%以上，主係建設部門成屋去化順暢及營造部門在建案量規模成長所致。,10.5,1635701,150.57,721340,1807472,50.98,8285967,12510484,2020-09
2524,京城,本月及今年累計營業收入較去年同期大幅成長，主要原因為部份個案銷售成績佳，已完工開始入帳。,68.93,556030,244.26,272854,939345,78.78,3086530,5518233,2020-09
2527,宏璟,-,19.68,227515,-32.22,401735,272291,-34.72,2483685,1621138,2020-09
2528,皇普,主係109年08月認列租賃收入21仟元所致,0.0,21,-92.83,293,21,-86.4,1236,168,2020-09
2530,華建,"本年度出售房地收入較去年度增加30,670仟元,本年度租金收入較去年度同期增加410仟元.",4554.95,717,5011.17,653,33376,427.51,7270,38350,2020-09
2534,宏盛,無異常，本月因有個案銷售認列收入，及租賃收入,267.87,82830,1.86,299132,304711,-67.57,4281773,1388477,2020-09
2535,達欣工,-,23.02,987748,21.23,1002389,1215211,38.9,6907114,9594558,2020-09
2536,宏普,"今年本期餘屋銷售交屋量較去年同期增加,因此營收較多",205.49,159751,212.27,156283,488028,78.83,1518223,2715099,2020-09
2537,聯上發,本月營收較去年增加，係本月新北市個案收入增加所致；本期累積營收較去年增加，主要係今年新增雙北市個案收入之故。,-59.48,43781,471.33,3105,17740,112.75,693741,1475992,2020-09
2538,基泰,-,2.42,12659,11.03,11677,12966,28.93,124941,161092,2020-09
2539,櫻花建,無異常。本月僅有租賃收入，無建案交屋入帳，致本期營收較去年同期減少。,-99.96,698940,-99.68,74517,238,-3.37,2212368,2137638,2020-09
2540,愛山林,本月營收增加，主係不動產代銷個案銷售成長及增加營造收入所致。,59.91,404760,211.93,207505,647282,96.85,1351535,2660551,2020-09
2542,興富發,本月較去年同期增加，主要係本期認列「江翠段」及「市政潤隆」等建案完工並完成產權移轉所致。,59.13,1269802,233.69,605555,2020680,-15.55,15755757,13305598,2020-09
2543,皇昌,-,19.62,511797,49.47,409589,612242,15.2,3405585,3923428,2020-09
2545,皇翔,因本月成屋銷售情形較去年同期佳所致,48.57,360848,298.76,134448,536125,73.15,1766627,3059026,2020-09
2546,根基,單月營收差異主係因在手案量規模成長及依工程營運投入所致。,9.0,1227473,94.8,686853,1338048,37.47,6818262,9373374,2020-09
2547,日勝生,-,-32.75,775532,40.31,371665,521498,13.83,3568364,4061993,2020-09
