證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00632R""",元大台灣50反1   ,"162,422,000","8,413,000","154,009,000",0.0,0.0,0.0,0,0,0,"-125,618,000","6,648,000",0,"6,648,000","5,329,000","137,595,000","-132,266,000","28,391,000",2020-10-28
"=""00672L""",元大S&P原油正2  ,0,0,0,0.0,0.0,0.0,0,0,0,"24,655,000",0,0,0,"27,035,000","2,380,000","24,655,000","24,655,000",2020-10-28
1513,中興電          ,"24,443,010","7,161,000","17,282,010",0.0,0.0,0.0,"2,248,000",0,"2,248,000","343,000","653,000","879,000","-226,000","800,000","231,000","569,000","19,873,010",2020-10-28
2337,旺宏            ,"26,098,000","8,527,000","17,571,000",0.0,0.0,0.0,"404,000",0,"404,000","-1,603,200","300,200","420,400","-120,200","667,000","2,150,000","-1,483,000","16,371,800",2020-10-28
"=""00637L""",元大滬深300正2  ,"13,432,000","6,693,000","6,739,000",0.0,0.0,0.0,0,0,0,"5,315,000",0,0,0,"13,544,000","8,229,000","5,315,000","12,054,000",2020-10-28
2603,長榮            ,"33,271,000","14,320,000","18,951,000",0.0,0.0,0.0,0,"382,000","-382,000","-7,446,635","2,424,050","9,846,000","-7,421,950","4,000","28,685","-24,685","11,122,365",2020-10-28
2344,華邦電          ,"33,224,000","22,688,000","10,536,000",0.0,0.0,0.0,"9,000",0,"9,000","247,000","46,000","849,000","-803,000","1,427,000","377,000","1,050,000","10,792,000",2020-10-28
"=""00693U""",街口S&P黃豆     ,"5,493,000",0,"5,493,000",0.0,0.0,0.0,0,0,0,"3,719,000",0,0,0,"4,990,000","1,271,000","3,719,000","9,212,000",2020-10-28
1605,華新            ,"3,733,000","2,750,000","983,000",0.0,0.0,0.0,0,0,0,"6,048,000","5,000","408,000","-403,000","6,520,000","69,000","6,451,000","7,031,000",2020-10-28
9105,泰金寶-DR       ,"8,706,000","2,198,000","6,508,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"6,508,000",2020-10-28
2504,國產            ,"6,062,245","2,103,703","3,958,542",0.0,0.0,0.0,"477,000","351,000","126,000","1,440,288","229,000","30,000","199,000","1,257,000","15,712","1,241,288","5,524,830",2020-10-28
2027,大成鋼          ,"5,680,913","5,900,000","-219,087",0.0,0.0,0.0,"4,347,000",0,"4,347,000","1,320,179","476,460","337,281","139,179","2,178,000","997,000","1,181,000","5,448,092",2020-10-28
2809,京城銀          ,"3,096,000","535,000","2,561,000",0.0,0.0,0.0,0,0,0,"2,315,000",0,"142,000","-142,000","2,457,000",0,"2,457,000","4,876,000",2020-10-28
2353,宏碁            ,"12,375,001","6,845,000","5,530,001",0.0,0.0,0.0,"9,000","9,000",0,"-716,400","59,000","379,000","-320,000","4,000","400,400","-396,400","4,813,601",2020-10-28
2356,英業達          ,"4,281,000","4,193,089","87,911",0.0,0.0,0.0,"510,000","9,000","501,000","4,001,000","7,000","320,000","-313,000","4,344,000","30,000","4,314,000","4,589,911",2020-10-28
2324,仁寶            ,"3,677,000","4,119,000","-442,000",0.0,0.0,0.0,"13,000","12,000","1,000","4,662,000","5,000","390,000","-385,000","5,060,000","13,000","5,047,000","4,221,000",2020-10-28
2006,東和鋼鐵        ,"3,718,000","994,000","2,724,000",0.0,0.0,0.0,"884,000",0,"884,000","172,000","139,000","572,000","-433,000","688,000","83,000","605,000","3,780,000",2020-10-28
2301,光寶科          ,"3,438,000","1,784,098","1,653,902",0.0,0.0,0.0,0,"7,000","-7,000","1,865,000","27,000","208,000","-181,000","2,049,000","3,000","2,046,000","3,511,902",2020-10-28
"=""00642U""",元大S&P石油     ,"115,000","37,000","78,000",0.0,0.0,0.0,0,0,0,"2,645,000",0,0,0,"2,645,000",0,"2,645,000","2,723,000",2020-10-28
3545,敦泰            ,"1,747,050","1,606,988","140,062",0.0,0.0,0.0,"2,214,000",0,"2,214,000","165,000","151,000","20,000","131,000","114,000","80,000","34,000","2,519,062",2020-10-28
"=""00669R""",國泰美國道瓊反1 ,"1,001,000",0,"1,001,000",0.0,0.0,0.0,0,0,0,"1,518,000","438,000",0,"438,000","2,128,000","1,048,000","1,080,000","2,519,000",2020-10-28
