證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00632R""",元大台灣50反1   ,"67,864,000","43,545,000","24,319,000",0.0,0.0,0.0,"764,000",0,"764,000","98,414,000","26,573,000","14,285,000","12,288,000","104,870,000","18,744,000","86,126,000","123,497,000",2020-09-24
"=""00672L""",元大S&P原油正2  ,0,0,0,0.0,0.0,0.0,0,0,0,"29,248,000",0,0,0,"29,248,000",0,"29,248,000","29,248,000",2020-09-24
"=""00677U""",富邦VIX         ,"47,125,000","20,528,000","26,597,000",0.0,0.0,0.0,0,0,0,"-4,334,000","2,300,000",0,"2,300,000","13,371,000","20,005,000","-6,634,000","22,263,000",2020-09-24
"=""00693U""",街口S&P黃豆     ,"5,179,000","3,000","5,176,000",0.0,0.0,0.0,0,0,0,"5,866,000",0,0,0,"8,697,000","2,831,000","5,866,000","11,042,000",2020-09-24
"=""00664R""",國泰臺灣加權反1 ,"2,001,000","1,000","2,000,000",0.0,0.0,0.0,0,0,0,"2,373,000",0,0,0,"5,527,000","3,154,000","2,373,000","4,373,000",2020-09-24
2449,京元電子        ,"6,509,000","3,001,000","3,508,000",0.0,0.0,0.0,"4,000",0,"4,000","137,000","82,000","1,121,000","-1,039,000","1,253,000","77,000","1,176,000","3,649,000",2020-09-24
"=""00676R""",富邦臺灣加權反1 ,"395,000","7,000","388,000",0.0,0.0,0.0,0,0,0,"3,101,000",0,0,0,"5,410,000","2,309,000","3,101,000","3,489,000",2020-09-24
1304,台聚            ,"7,700,000","3,183,000","4,517,000",0.0,0.0,0.0,0,0,0,"-1,135,000","40,000","1,175,000","-1,135,000",0,0,0,"3,382,000",2020-09-24
2504,國產            ,"4,333,000","2,043,000","2,290,000",0.0,0.0,0.0,"944,000",0,"944,000","51,000","130,000","130,000",0,"69,000","18,000","51,000","3,285,000",2020-09-24
2401,凌陽            ,"4,827,000","1,573,000","3,254,000",0.0,0.0,0.0,0,0,0,"22,000","171,000","68,000","103,000","63,000","144,000","-81,000","3,276,000",2020-09-24
1312,國喬            ,"5,673,000","2,161,000","3,512,000",0.0,0.0,0.0,0,0,0,"-419,000","106,000","495,000","-389,000","49,000","79,000","-30,000","3,093,000",2020-09-24
1444,力麗            ,"7,763,000","4,943,000","2,820,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,820,000",2020-09-24
"=""00653L""",富邦印度正2     ,"1,598,000","218,000","1,380,000",0.0,0.0,0.0,0,0,0,"1,421,877",0,0,0,"5,432,000","4,010,123","1,421,877","2,801,877",2020-09-24
"=""00642U""",元大S&P石油     ,"5,000","1,000","4,000",0.0,0.0,0.0,0,0,0,"2,364,000",0,0,0,"2,577,000","213,000","2,364,000","2,368,000",2020-09-24
2368,金像電          ,"8,800,000","6,861,940","1,938,060",0.0,0.0,0.0,0,"85,000","-85,000","337,000","50,000","27,000","23,000","409,000","95,000","314,000","2,190,060",2020-09-24
9958,世紀鋼          ,"2,532,000","1,105,000","1,427,000",0.0,0.0,0.0,"591,000",0,"591,000","117,000","107,000","57,000","50,000","142,000","75,000","67,000","2,135,000",2020-09-24
"=""00669R""",國泰美國道瓊反1 ,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"1,999,000","637,000",0,"637,000","3,789,000","2,427,000","1,362,000","1,998,000",2020-09-24
1714,和桐            ,"3,898,000","1,921,000","1,977,000",0.0,0.0,0.0,0,0,0,"-38,000","12,000","17,000","-5,000",0,"33,000","-33,000","1,939,000",2020-09-24
3189,景碩            ,"3,998,000","2,350,000","1,648,000",0.0,0.0,0.0,"220,000",0,"220,000","61,000","54,000","29,000","25,000","50,000","14,000","36,000","1,929,000",2020-09-24
1309,台達化          ,"3,836,000","1,878,000","1,958,000",0.0,0.0,0.0,0,0,0,"-56,000","2,000","58,000","-56,000",0,0,0,"1,902,000",2020-09-24
2342,茂矽            ,"2,669,000","873,000","1,796,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,796,000",2020-09-24
2809,京城銀          ,"1,964,000","1,336,000","628,000",0.0,0.0,0.0,0,0,0,"1,007,000",0,"3,000","-3,000","1,010,000",0,"1,010,000","1,635,000",2020-09-24
2609,陽明            ,"3,458,000","1,765,000","1,693,000",0.0,0.0,0.0,0,0,0,"-100,000",0,"100,000","-100,000",0,0,0,"1,593,000",2020-09-24
2345,智邦            ,"3,805,000","2,091,391","1,713,609",0.0,0.0,0.0,"2,000","245,000","-243,000","10,000","151,000","164,000","-13,000","51,000","28,000","23,000","1,480,609",2020-09-24
6288,聯嘉            ,"9,193,503","7,859,000","1,334,503",0.0,0.0,0.0,"45,000",0,"45,000","5,000","6,000","97,000","-91,000","100,000","4,000","96,000","1,384,503",2020-09-24
3042,晶技            ,"3,158,000","2,030,800","1,127,200",0.0,0.0,0.0,"225,000",0,"225,000","-101,000","8,000","112,000","-104,000","51,000","48,000","3,000","1,251,200",2020-09-24
1904,正隆            ,"4,443,000","4,276,000","167,000",0.0,0.0,0.0,"1,103,000",0,"1,103,000","-84,000","10,000","28,000","-18,000","52,000","118,000","-66,000","1,186,000",2020-09-24
6230,超眾            ,"1,201,000","130,000","1,071,000",0.0,0.0,0.0,0,0,0,"46,000",0,0,0,"70,000","24,000","46,000","1,117,000",2020-09-24
"=""00636""",國泰中國A50     ,"1,633,000","231,000","1,402,000",0.0,0.0,0.0,0,0,0,"-326,820",0,0,0,"1,025,000","1,351,820","-326,820","1,075,180",2020-09-24
4976,佳凌            ,"2,398,000","1,338,000","1,060,000",0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"1,059,000",2020-09-24
1598,岱宇            ,"1,584,000","551,000","1,033,000",0.0,0.0,0.0,0,0,0,"23,000","35,000","12,000","23,000",0,0,0,"1,056,000",2020-09-24
3703,欣陸            ,"3,338,000","2,243,000","1,095,000",0.0,0.0,0.0,0,0,0,"-62,000",0,"62,000","-62,000",0,0,0,"1,033,000",2020-09-24
4142,國光生          ,"2,631,000","1,572,000","1,059,000",0.0,0.0,0.0,0,0,0,"-40,000","100,000","140,000","-40,000",0,0,0,"1,019,000",2020-09-24
1795,美時            ,"1,777,000","662,000","1,115,000",0.0,0.0,0.0,0,0,0,"-101,000",0,"101,000","-101,000",0,0,0,"1,014,000",2020-09-24
3576,聯合再生        ,"9,325,000","8,315,399","1,009,601",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,009,601",2020-09-24
3044,健鼎            ,"1,410,000","789,000","621,000",0.0,0.0,0.0,0,0,0,"371,000","120,000","132,000","-12,000","390,000","7,000","383,000","992,000",2020-09-24
1762,中化生          ,"2,445,000","1,961,000","484,000",0.0,0.0,0.0,"567,000",0,"567,000","-69,000",0,"69,000","-69,000",0,0,0,"982,000",2020-09-24
1605,華新            ,"2,864,000","4,289,000","-1,425,000",0.0,0.0,0.0,0,0,0,"2,394,000",0,"455,000","-455,000","2,971,000","122,000","2,849,000","969,000",2020-09-24
3704,合勤控          ,"2,426,000","1,364,000","1,062,000",0.0,0.0,0.0,0,0,0,"-102,000",0,"102,000","-102,000",0,0,0,"960,000",2020-09-24
2426,鼎元            ,"1,255,000","403,000","852,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"852,000",2020-09-24
"=""00635U""",元大S&P黃金     ,"243,000",0,"243,000",0.0,0.0,0.0,0,0,0,"542,000",0,0,0,"889,000","347,000","542,000","785,000",2020-09-24
"=""00708L""",元大S&P黃金正2  ,"695,000","387,000","308,000",0.0,0.0,0.0,0,0,0,"463,000",0,0,0,"1,925,000","1,462,000","463,000","771,000",2020-09-24
2458,義隆            ,"1,713,000","1,113,000","600,000",0.0,0.0,0.0,"1,000",0,"1,000","156,000","74,000","196,000","-122,000","301,000","23,000","278,000","757,000",2020-09-24
2636,台驊投控        ,"1,065,000","318,000","747,000",0.0,0.0,0.0,0,0,0,"-2,000",0,"2,000","-2,000",0,0,0,"745,000",2020-09-24
"=""00674R""",元大S&P黃金反1  ,"3,000","146,000","-143,000",0.0,0.0,0.0,0,0,0,"887,000",0,0,0,"1,319,000","432,000","887,000","744,000",2020-09-24
"=""00861""",元大全球未來通訊,"464,000","4,000","460,000",0.0,0.0,0.0,0,0,0,"284,000",0,0,0,"1,300,000","1,016,000","284,000","744,000",2020-09-24
2615,萬海            ,"3,028,000","1,943,000","1,085,000",0.0,0.0,0.0,0,"250,000","-250,000","-106,000","16,000","122,000","-106,000",0,0,0,"729,000",2020-09-24
5264,鎧勝-KY         ,"1,356,000","654,000","702,000",0.0,0.0,0.0,0,0,0,"-7,000",0,0,0,0,"7,000","-7,000","695,000",2020-09-24
"=""00638R""",元大滬深300反1  ,"651,000","18,000","633,000",0.0,0.0,0.0,0,0,0,"56,000",0,0,0,"1,023,000","967,000","56,000","689,000",2020-09-24
4133,亞諾法          ,"3,669,000","3,030,000","639,000",0.0,0.0,0.0,0,0,0,"15,000","15,000",0,"15,000",0,0,0,"654,000",2020-09-24
3661,世芯-KY         ,"1,944,000","1,612,000","332,000",0.0,0.0,0.0,"316,000",0,"316,000",0,"12,000","6,000","6,000","12,000","18,000","-6,000","648,000",2020-09-24
6116,彩晶            ,"11,795,000","10,481,000","1,314,000",0.0,0.0,0.0,0,0,0,"-669,000","152,000","330,000","-178,000","246,000","737,000","-491,000","645,000",2020-09-24
9103,美德醫療-DR     ,"1,386,000","1,211,000","175,000",0.0,0.0,0.0,0,0,0,"460,000",0,0,0,"510,000","50,000","460,000","635,000",2020-09-24
4906,正文            ,"1,902,000","1,065,000","837,000",0.0,0.0,0.0,0,0,0,"-215,000","157,000","361,000","-204,000","43,000","54,000","-11,000","622,000",2020-09-24
3665,貿聯-KY         ,"1,176,000","278,000","898,000",0.0,0.0,0.0,"10,000","189,000","-179,000","-112,161","20,000","129,000","-109,000","13,000","16,161","-3,161","606,839",2020-09-24
"=""00634R""",富邦上証反1     ,"280,000","34,000","246,000",0.0,0.0,0.0,0,0,0,"332,000",0,0,0,"843,000","511,000","332,000","578,000",2020-09-24
1760,寶齡富錦        ,"859,000","473,000","386,000",0.0,0.0,0.0,"191,000",0,"191,000",0,0,0,0,0,0,0,"577,000",2020-09-24
