證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00672L""",元大S&P原油正2  ,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,"40,495,663",0,0,0,"43,196,000","2,700,337","40,495,663","40,496,663",2020-10-06
"=""00632R""",元大台灣50反1   ,"38,412,000","11,215,000","27,197,000",0.0,0.0,0.0,0,0,0,"-4,402,000","300,000","13,040,000","-12,740,000","30,328,000","21,990,000","8,338,000","22,795,000",2020-10-06
2888,新光金          ,"24,640,167","3,722,464","20,917,703",0.0,0.0,0.0,"20,000",0,"20,000","-391,000","6,000","20,000","-14,000","328,000","705,000","-377,000","20,546,703",2020-10-06
6116,彩晶            ,"25,476,000","5,063,000","20,413,000",0.0,0.0,0.0,0,0,0,"-556,000","227,000","228,000","-1,000","2,969,000","3,524,000","-555,000","19,857,000",2020-10-06
3481,群創            ,"59,851,417","41,064,000","18,787,417",0.0,0.0,0.0,0,"3,416,000","-3,416,000","4,250,000","679,000","2,088,000","-1,409,000","6,356,000","697,000","5,659,000","19,621,417",2020-10-06
2330,台積電          ,"26,526,763","13,670,705","12,856,058",0.0,0.0,0.0,"114,000","18,000","96,000","-102,000","347,000","380,000","-33,000","83,000","152,000","-69,000","12,850,058",2020-10-06
2344,華邦電          ,"23,138,891","9,472,000","13,666,891",0.0,0.0,0.0,0,0,0,"-1,231,000","129,000","402,000","-273,000","13,000","971,000","-958,000","12,435,891",2020-10-06
"=""00637L""",元大滬深300正2  ,"9,812,000","1,482,000","8,330,000",0.0,0.0,0.0,0,0,0,"2,887,000",0,0,0,"5,257,000","2,370,000","2,887,000","11,217,000",2020-10-06
2883,開發金          ,"12,110,641","1,290,000","10,820,641",0.0,0.0,0.0,"22,000",0,"22,000","115,000","58,000","44,000","14,000","105,000","4,000","101,000","10,957,641",2020-10-06
1605,華新            ,"10,262,000","2,577,000","7,685,000",0.0,0.0,0.0,0,0,0,"206,000",0,"492,000","-492,000","941,000","243,000","698,000","7,891,000",2020-10-06
"=""00876""",元大未來關鍵科技,0,"1,000","-1,000",0.0,0.0,0.0,0,0,0,"7,738,000",0,0,0,"7,822,000","84,000","7,738,000","7,737,000",2020-10-06
2353,宏碁            ,"9,610,857","2,167,000","7,443,857",0.0,0.0,0.0,0,0,0,"5,000","90,000","92,000","-2,000","68,000","61,000","7,000","7,448,857",2020-10-06
2002,中鋼            ,"9,430,334","4,230,000","5,200,334",0.0,0.0,0.0,"23,000",0,"23,000",0,0,0,0,0,0,0,"5,223,334",2020-10-06
2103,台橡            ,"6,875,000","3,576,000","3,299,000",0.0,0.0,0.0,"219,000",0,"219,000","1,271,000","800,000",0,"800,000","514,000","43,000","471,000","4,789,000",2020-10-06
"=""00653L""",富邦印度正2     ,"76,000","173,000","-97,000",0.0,0.0,0.0,0,0,0,"4,688,900",0,0,0,"4,797,000","108,100","4,688,900","4,591,900",2020-10-06
2891,中信金          ,"11,095,322","6,732,000","4,363,322",0.0,0.0,0.0,"29,000",0,"29,000","-16,000",0,"16,000","-16,000",0,0,0,"4,376,322",2020-10-06
2609,陽明            ,"4,235,000","130,000","4,105,000",0.0,0.0,0.0,0,0,0,"130,000","130,000",0,"130,000",0,0,0,"4,235,000",2020-10-06
