證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
3481,群創            ,"83,227,844","59,706,622","23,521,222",0.0,0.0,0.0,"49,576,000","3,000","49,573,000","2,087,000","1,291,000","1,490,000","-199,000","4,761,000","2,475,000","2,286,000","75,181,222",2020-11-30
2409,友達            ,"86,578,500","66,056,628","20,521,872",0.0,0.0,0.0,"44,900,000","3,000","44,897,000","3,730,783","1,414,000","38,000","1,376,000","2,943,783","589,000","2,354,783","69,149,655",2020-11-30
"=""00637L""",元大滬深300正2  ,"33,017,000","9,508,000","23,509,000",0.0,0.0,0.0,0,0,0,"32,084,470","125,000",0,"125,000","45,823,670","13,864,200","31,959,470","55,593,470",2020-11-30
6116,彩晶            ,"50,305,001","10,018,405","40,286,596",0.0,0.0,0.0,0,0,0,"4,609,992","1,540,000","1,138,000","402,000","5,664,992","1,457,000","4,207,992","44,896,588",2020-11-30
"=""00632R""",元大台灣50反1   ,"8,977,000","603,000","8,374,000",0.0,0.0,0.0,0,0,0,"26,414,873","467,000","2,800,000","-2,333,000","38,395,000","9,647,127","28,747,873","34,788,873",2020-11-30
3711,日月光投控      ,"41,779,544","29,956,556","11,822,988",0.0,0.0,0.0,"888,000","135,000","753,000","560,974","649,000","264,000","385,000","282,250","106,276","175,974","13,136,962",2020-11-30
2323,中環            ,"12,329,001","2,391,000","9,938,001",0.0,0.0,0.0,0,0,0,"-50,772","96,228","161,000","-64,772","30,000","16,000","14,000","9,887,229",2020-11-30
2337,旺宏            ,"19,420,000","15,589,069","3,830,931",0.0,0.0,0.0,"3,600,000","125,000","3,475,000","644,360","1,425,000","654,000","771,000","695,308","821,948","-126,640","7,950,291",2020-11-30
6443,元晶            ,"10,955,250","3,272,000","7,683,250",0.0,0.0,0.0,"200,000",0,"200,000",0,0,0,0,0,0,0,"7,883,250",2020-11-30
2449,京元電子        ,"11,429,000","4,737,000","6,692,000",0.0,0.0,0.0,"1,247,000","2,000","1,245,000","-122,000","301,000","396,000","-95,000","203,000","230,000","-27,000","7,815,000",2020-11-30
"=""00633L""",富邦上証正2     ,"4,926,000","1,742,000","3,184,000",0.0,0.0,0.0,0,0,0,"4,616,949",0,"35,000","-35,000","6,392,123","1,740,174","4,651,949","7,800,949",2020-11-30
1718,中纖            ,"9,794,001","2,859,000","6,935,001",0.0,0.0,0.0,0,0,0,"29,000","8,000","55,000","-47,000","92,000","16,000","76,000","6,964,001",2020-11-30
1314,中石化          ,"10,713,001","5,020,000","5,693,001",0.0,0.0,0.0,0,0,0,"937,000","129,000","31,000","98,000","992,000","153,000","839,000","6,630,001",2020-11-30
"=""00878""",國泰永續高股息  ,"6,025","903,000","-896,975",0.0,0.0,0.0,0,0,0,"7,526,688",0,0,0,"8,483,298","956,610","7,526,688","6,629,713",2020-11-30
2332,友訊            ,"8,538,000","2,817,000","5,721,000",0.0,0.0,0.0,0,0,0,"587,014","155,000","149,000","6,000","1,038,014","457,000","581,014","6,308,014",2020-11-30
2027,大成鋼          ,"8,204,929","9,251,000","-1,046,071",0.0,0.0,0.0,"6,674,000",0,"6,674,000","639,852","1,051,852","1,289,000","-237,148","1,271,000","394,000","877,000","6,267,781",2020-11-30
9945,潤泰新          ,"10,910,300","5,990,041","4,920,259",0.0,0.0,0.0,0,0,0,"16,000","14,000","2,000","12,000","46,000","42,000","4,000","4,936,259",2020-11-30
3037,欣興            ,"127,632,288","123,257,613","4,374,675",0.0,0.0,0.0,"46,000","75,000","-29,000","-43,812","1,060,221","865,033","195,188","299,000","538,000","-239,000","4,301,863",2020-11-30
1513,中興電          ,"12,685,000","9,118,000","3,567,000",0.0,0.0,0.0,"999,000","324,000","675,000","-212,410","734,705","442,115","292,590","206,000","711,000","-505,000","4,029,590",2020-11-30
1309,台達化          ,"5,511,200","1,608,000","3,903,200",0.0,0.0,0.0,0,0,0,"-26,026","104,000","101,026","2,974","51,000","80,000","-29,000","3,877,174",2020-11-30
6005,群益證          ,"6,909,000","3,050,000","3,859,000",0.0,0.0,0.0,"1,000",0,"1,000",0,0,0,0,0,0,0,"3,860,000",2020-11-30
4142,國光生          ,"7,345,000","3,643,000","3,702,000",0.0,0.0,0.0,0,0,0,"-9,000",0,"9,000","-9,000",0,0,0,"3,693,000",2020-11-30
3576,聯合再生        ,"7,164,410","3,668,000","3,496,410",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,496,410",2020-11-30
6153,嘉聯益          ,"6,918,647","3,129,000","3,789,647",0.0,0.0,0.0,0,0,0,"-327,564","128,622","181,000","-52,378","128,501","403,687","-275,186","3,462,083",2020-11-30
1312,國喬            ,"7,991,000","4,793,000","3,198,000",0.0,0.0,0.0,"200,000","15,000","185,000",0,"391,000","133,000","258,000","171,000","429,000","-258,000","3,383,000",2020-11-30
2408,南亞科          ,"13,916,746","9,937,703","3,979,043",0.0,0.0,0.0,"44,000","867,000","-823,000","101,959","308,000","141,041","166,959","77,000","142,000","-65,000","3,258,002",2020-11-30
