證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00632R""",元大台灣50反1   ,"165,572,000","10,559,000","155,013,000",0.0,0.0,0.0,0,0,0,"-91,876,043","1,179,000","250,000","929,000","31,045,999","123,851,042","-92,805,043","63,136,957",2020-10-30
"=""00672L""",元大S&P原油正2  ,0,"236,000","-236,000",0.0,0.0,0.0,0,0,0,"24,656,000",0,0,0,"34,019,000","9,363,000","24,656,000","24,420,000",2020-10-30
2601,益航            ,"13,060,100","2,808,000","10,252,100",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"10,252,100",2020-10-30
2603,長榮            ,"17,047,300","23,981,549","-6,934,249",0.0,0.0,0.0,"11,853,000",0,"11,853,000","576,009","2,711,136","2,003,127","708,009","24,000","156,000","-132,000","5,494,760",2020-10-30
"=""00693U""",街口S&P黃豆     ,"6,427,000","456,000","5,971,000",0.0,0.0,0.0,0,0,0,"-750,000",0,0,0,"4,885,000","5,635,000","-750,000","5,221,000",2020-10-30
2456,奇力新          ,"3,923,100","1,490,000","2,433,100",0.0,0.0,0.0,"2,481,000",0,"2,481,000","228,000","173,000","357,000","-184,000","477,000","65,000","412,000","5,142,100",2020-10-30
1312,國喬            ,"10,448,000","6,163,000","4,285,000",0.0,0.0,0.0,"450,000",0,"450,000","-667,523","35,708","296,231","-260,523","185,000","592,000","-407,000","4,067,477",2020-10-30
2356,英業達          ,"7,915,300","5,274,865","2,640,435",0.0,0.0,0.0,0,0,0,"1,200,800",0,"112,200","-112,200","1,420,000","107,000","1,313,000","3,841,235",2020-10-30
2505,國揚            ,"3,354,000","799,000","2,555,000",0.0,0.0,0.0,0,0,0,"359,999",0,"2,001","-2,001","408,000","46,000","362,000","2,914,999",2020-10-30
2027,大成鋼          ,"12,610,171","13,097,574","-487,403",0.0,0.0,0.0,"1,733,000",0,"1,733,000","1,594,000","819,000","269,000","550,000","2,440,000","1,396,000","1,044,000","2,839,597",2020-10-30
4906,正文            ,"3,051,000","682,000","2,369,000",0.0,0.0,0.0,0,0,0,"136,000","59,000","84,000","-25,000","221,000","60,000","161,000","2,505,000",2020-10-30
2327,國巨            ,"3,255,112","1,067,500","2,187,612",0.0,0.0,0.0,"44,000",0,"44,000","-27,000","60,000","62,000","-2,000","43,000","68,000","-25,000","2,204,612",2020-10-30
8046,南電            ,"4,426,000","2,631,000","1,795,000",0.0,0.0,0.0,"379,000","27,000","352,000","-150,000","183,000","213,000","-30,000","26,000","146,000","-120,000","1,997,000",2020-10-30
2492,華新科          ,"2,484,700","843,000","1,641,700",0.0,0.0,0.0,0,0,0,"136,000","60,000","113,000","-53,000","268,000","79,000","189,000","1,777,700",2020-10-30
2108,南帝            ,"4,890,000","5,194,000","-304,000",0.0,0.0,0.0,"1,285,000","50,000","1,235,000","681,800","50,000","74,200","-24,200","827,000","121,000","706,000","1,612,800",2020-10-30
"=""00669R""",國泰美國道瓊反1 ,"611,000",0,"611,000",0.0,0.0,0.0,0,0,0,"970,000",0,0,0,"1,910,000","940,000","970,000","1,581,000",2020-10-30
6477,安集            ,"3,974,000","2,604,000","1,370,000",0.0,0.0,0.0,0,0,0,"90,000",0,"2,000","-2,000","242,000","150,000","92,000","1,460,000",2020-10-30
3576,聯合再生        ,"9,747,000","8,448,750","1,298,250",0.0,0.0,0.0,0,0,0,"-1,405",0,"1,405","-1,405",0,0,0,"1,296,845",2020-10-30
"=""00664R""",國泰臺灣加權反1 ,"10,000","270,000","-260,000",0.0,0.0,0.0,0,0,0,"1,556,000",0,"300,000","-300,000","2,108,000","252,000","1,856,000","1,296,000",2020-10-30
9921,巨大            ,"1,987,920","1,262,000","725,920",0.0,0.0,0.0,"474,000",0,"474,000","58,186","28,186","16,000","12,186","54,000","8,000","46,000","1,258,106",2020-10-30
910861,神州-DR         ,"1,179,000",0,"1,179,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,179,000",2020-10-30
6176,瑞儀            ,"2,316,317","1,457,000","859,317",0.0,0.0,0.0,"50,000",0,"50,000","202,000","4,000","61,000","-57,000","305,000","46,000","259,000","1,111,317",2020-10-30
1590,亞德客-KY       ,"2,708,000","1,465,365","1,242,635",0.0,0.0,0.0,0,"151,000","-151,000","7,200","10,300","7,000","3,300","28,000","24,100","3,900","1,098,835",2020-10-30
4142,國光生          ,"3,143,000","2,030,000","1,113,000",0.0,0.0,0.0,0,0,0,"-17,031",0,"14,031","-14,031",0,"3,000","-3,000","1,095,969",2020-10-30
"=""00653L""",富邦印度正2     ,"993,000","465,000","528,000",0.0,0.0,0.0,0,0,0,"555,900",0,0,0,"1,100,000","544,100","555,900","1,083,900",2020-10-30
1714,和桐            ,"2,145,000","1,182,000","963,000",0.0,0.0,0.0,0,0,0,"77,000",0,"2,000","-2,000","196,000","117,000","79,000","1,040,000",2020-10-30
3596,智易            ,"1,401,000","544,000","857,000",0.0,0.0,0.0,"193,000",0,"193,000","-20,000","84,000","64,000","20,000","23,000","63,000","-40,000","1,030,000",2020-10-30
3189,景碩            ,"4,526,000","3,889,000","637,000",0.0,0.0,0.0,"171,000",0,"171,000","146,000","437,000","234,000","203,000","8,000","65,000","-57,000","954,000",2020-10-30
"=""00648R""",元大S&P500反1   ,0,0,0,0.0,0.0,0.0,0,0,0,"919,000",0,0,0,"1,188,000","269,000","919,000","919,000",2020-10-30
1101,台泥            ,"5,474,400","4,865,925","608,475",0.0,0.0,0.0,0,0,0,"254,000","14,000","516,000","-502,000","835,000","79,000","756,000","862,475",2020-10-30
2347,聯強            ,"2,273,142","1,998,345","274,797",0.0,0.0,0.0,0,0,0,"557,600","11,600","95,000","-83,400","672,000","31,000","641,000","832,397",2020-10-30
8039,台虹            ,"925,000","224,000","701,000",0.0,0.0,0.0,"165,000",0,"165,000","-38,800","20,200","118,000","-97,800","63,000","4,000","59,000","827,200",2020-10-30
2355,敬鵬            ,"2,429,000","1,326,000","1,103,000",0.0,0.0,0.0,0,0,0,"-280,271","18,000","284,271","-266,271","60,000","74,000","-14,000","822,729",2020-10-30
"=""00766L""",台新MSCI中國正2 ,0,0,0,0.0,0.0,0.0,0,0,0,"761,000",0,0,0,"803,000","42,000","761,000","761,000",2020-10-30
"=""00650L""",FH香港正2       ,"66,000","72,000","-6,000",0.0,0.0,0.0,0,0,0,"729,000",0,0,0,"952,000","223,000","729,000","723,000",2020-10-30
"=""00665L""",富邦恒生國企正2 ,"184,000","8,000","176,000",0.0,0.0,0.0,0,0,0,"528,000",0,0,0,"583,000","55,000","528,000","704,000",2020-10-30
6202,盛群            ,"1,046,000","345,000","701,000",0.0,0.0,0.0,0,0,0,"-15,100","13,000","6,000","7,000",0,"22,100","-22,100","685,900",2020-10-30
6141,柏承            ,"874,000","423,000","451,000",0.0,0.0,0.0,"53,000",0,"53,000","170,000","172,000","2,000","170,000",0,0,0,"674,000",2020-10-30
2614,東森            ,"1,211,000","548,000","663,000",0.0,0.0,0.0,0,0,0,"-84,000",0,0,0,0,"84,000","-84,000","579,000",2020-10-30
"=""00671R""",富邦NASDAQ反1   ,"514,000","429,000","85,000",0.0,0.0,0.0,0,0,0,"482,000",0,0,0,"2,170,000","1,688,000","482,000","567,000",2020-10-30
3036A,文曄甲特        ,0,0,0,0.0,0.0,0.0,0,0,0,"565,000","565,000",0,"565,000",0,0,0,"565,000",2020-10-30
"=""00639""",富邦深100       ,"444,000","5,000","439,000",0.0,0.0,0.0,0,0,0,"120,050",0,0,0,"426,250","306,200","120,050","559,050",2020-10-30
2467,志聖            ,"587,000","102,000","485,000",0.0,0.0,0.0,0,0,0,"56,900","60,000","3,100","56,900",0,0,0,"541,900",2020-10-30
3673,TPK-KY          ,"1,148,000","615,000","533,000",0.0,0.0,0.0,0,0,0,"-18,000","8,000","31,000","-23,000","29,000","24,000","5,000","515,000",2020-10-30
3605,宏致            ,"932,000","422,000","510,000",0.0,0.0,0.0,0,0,0,"3,000","4,000","1,000","3,000",0,0,0,"513,000",2020-10-30
1605,華新            ,"2,873,000","4,256,000","-1,383,000",0.0,0.0,0.0,0,0,0,"1,889,152","6,152","178,000","-171,848","2,165,000","104,000","2,061,000","506,152",2020-10-30
"=""00676R""",富邦臺灣加權反1 ,"2,000",0,"2,000",0.0,0.0,0.0,0,0,0,"491,000",0,0,0,"2,370,000","1,879,000","491,000","493,000",2020-10-30
2006,東和鋼鐵        ,"3,469,731","2,599,000","870,731",0.0,0.0,0.0,0,0,0,"-418,000","15,000","398,000","-383,000","30,000","65,000","-35,000","452,731",2020-10-30
"=""00686R""",群益臺灣加權反1 ,0,0,0,0.0,0.0,0.0,0,0,0,"450,000",0,0,0,"574,000","124,000","450,000","450,000",2020-10-30
1717,長興            ,"1,759,000","1,208,298","550,702",0.0,0.0,0.0,0,0,0,"-110,000","1,000","41,000","-40,000","32,000","102,000","-70,000","440,702",2020-10-30
6251,定穎            ,"1,716,000","1,271,000","445,000",0.0,0.0,0.0,0,0,0,"-5,000",0,"5,000","-5,000",0,0,0,"440,000",2020-10-30
2888A,新光金甲特      ,0,0,0,0.0,0.0,0.0,0,0,0,"416,000","482,000","66,000","416,000",0,0,0,"416,000",2020-10-30
2385,群光            ,"1,189,015","1,172,820","16,195",0.0,0.0,0.0,0,0,0,"364,000","17,000","21,000","-4,000","378,000","10,000","368,000","380,195",2020-10-30
2478,大毅            ,"485,000","193,000","292,000",0.0,0.0,0.0,0,0,0,"65,000",0,"5,000","-5,000","82,000","12,000","70,000","357,000",2020-10-30
5264,鎧勝-KY         ,"778,000","391,400","386,600",0.0,0.0,0.0,0,0,0,"-41,000",0,"6,000","-6,000",0,"35,000","-35,000","345,600",2020-10-30
6491,晶碩            ,"598,000","561,000","37,000",0.0,0.0,0.0,"227,000",0,"227,000","65,910",0,90,-90,"95,000","29,000","66,000","329,910",2020-10-30
3006,晶豪科          ,"670,000","647,000","23,000",0.0,0.0,0.0,0,0,0,"305,029","48,030","9,001","39,029","328,000","62,000","266,000","328,029",2020-10-30
5871,中租-KY         ,"2,568,900","2,220,131","348,769",0.0,0.0,0.0,0,0,0,"-63,000","4,000","24,000","-20,000","1,000","44,000","-43,000","285,769",2020-10-30
"=""00641R""",富邦日本反1     ,0,0,0,0.0,0.0,0.0,0,0,0,"282,600",0,0,0,"462,600","180,000","282,600","282,600",2020-10-30
1477,聚陽            ,"1,104,000","811,000","293,000",0.0,0.0,0.0,0,0,0,"-10,998",2,"15,000","-14,998","11,000","7,000","4,000","282,002",2020-10-30
"=""00660""",元大歐洲50      ,0,0,0,0.0,0.0,0.0,0,0,0,"267,000",0,0,0,"323,000","56,000","267,000","267,000",2020-10-30
2351,順德            ,"271,000","236,000","35,000",0.0,0.0,0.0,"200,000",0,"200,000","28,000",0,"3,000","-3,000","35,000","4,000","31,000","263,000",2020-10-30
"=""00670L""",富邦NASDAQ正2   ,"16,000","16,000",0,0.0,0.0,0.0,0,0,0,"257,000",0,0,0,"1,014,000","757,000","257,000","257,000",2020-10-30
9933,中鼎            ,"374,000","591,000","-217,000",0.0,0.0,0.0,0,0,0,"472,000",0,"13,000","-13,000","494,000","9,000","485,000","255,000",2020-10-30
2888B,新光金乙特      ,0,0,0,0.0,0.0,0.0,0,0,0,"246,000","246,000",0,"246,000",0,0,0,"246,000",2020-10-30
9910,豐泰            ,"1,574,111","1,273,079","301,032",0.0,0.0,0.0,0,"38,000","-38,000","-19,405","3,000","17,200","-14,200","1,000","6,205","-5,205","243,627",2020-10-30
2723,美食-KY         ,"487,000","213,456","273,544",0.0,0.0,0.0,0,0,0,"-31,000",0,"39,000","-39,000","13,000","5,000","8,000","242,544",2020-10-30
1466,聚隆            ,"717,010","478,000","239,010",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"239,010",2020-10-30
2377,微星            ,"2,402,300","2,349,300","53,000",0.0,0.0,0.0,0,"20,000","-20,000","203,000","13,000","40,000","-27,000","253,000","23,000","230,000","236,000",2020-10-30
2535,達欣工          ,"455,000","397,000","58,000",0.0,0.0,0.0,0,0,0,"178,000","380,000","148,000","232,000","2,000","56,000","-54,000","236,000",2020-10-30
