證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
3481,群創            ,"274,838,469","118,401,701","156,436,768",0.0,0.0,0.0,"49,006,000",0,"49,006,000","12,168,234","5,289,234","2,435,000","2,854,234","11,410,000","2,096,000","9,314,000","217,611,002",2020-12-01
2409,友達            ,"110,879,911","60,207,000","50,672,911",0.0,0.0,0.0,"43,028,000","2,800,000","40,228,000","15,053,909","6,450,396","4,346,000","2,104,396","14,352,513","1,403,000","12,949,513","105,954,820",2020-12-01
2344,華邦電          ,"50,650,889","34,099,000","16,551,889",0.0,0.0,0.0,"2,967,000",0,"2,967,000","7,485,556","4,933,115","1,532,000","3,401,115","5,824,541","1,740,100","4,084,441","27,004,445",2020-12-01
6116,彩晶            ,"46,317,000","29,703,000","16,614,000",0.0,0.0,0.0,"5,000,000",0,"5,000,000","-1,565,827","2,341,000","1,684,889","656,111","5,289,062","7,511,000","-2,221,938","20,048,173",2020-12-01
2337,旺宏            ,"21,778,300","14,933,360","6,844,940",0.0,0.0,0.0,"4,131,000",0,"4,131,000","3,002,275","3,489,611","2,035,000","1,454,611","2,233,000","685,336","1,547,664","13,978,215",2020-12-01
"=""00878""",國泰永續高股息  ,"464,000","22,000","442,000",0.0,0.0,0.0,0,0,0,"8,545,503",0,0,0,"8,873,760","328,257","8,545,503","8,987,503",2020-12-01
2603,長榮            ,"39,417,422","24,393,000","15,024,422",0.0,0.0,0.0,"54,000","1,614,000","-1,560,000","-4,888,827","1,364,957","6,844,784","-5,479,827","731,000","140,000","591,000","8,575,595",2020-12-01
2317,鴻海            ,"16,944,610","10,836,087","6,108,523",0.0,0.0,0.0,"75,000",0,"75,000","630,895","34,000","103,000","-69,000","862,895","163,000","699,895","6,814,418",2020-12-01
2363,矽統            ,"9,439,716","2,822,000","6,617,716",0.0,0.0,0.0,0,0,0,"35,000","1,000",0,"1,000","34,000",0,"34,000","6,652,716",2020-12-01
2885,元大金          ,"15,004,385","9,035,760","5,968,625",0.0,0.0,0.0,"206,000","509,000","-303,000","-169,000","7,000","66,000","-59,000","40,000","150,000","-110,000","5,496,625",2020-12-01
