證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00672L""",元大S&P原油正2  ,0,0,0,0.0,0.0,0.0,0,0,0,"108,329,000",0,0,0,"109,629,000","1,300,000","108,329,000","108,329,000",2020-11-11
2888,新光金          ,"82,028,176","4,508,886","77,519,290",0.0,0.0,0.0,0,"53,000","-53,000","836,090","1,458,933",0,"1,458,933","1,399,157","2,022,000","-622,843","78,302,380",2020-11-11
2002,中鋼            ,"38,647,900","4,511,000","34,136,900",0.0,0.0,0.0,"1,783,000","54,000","1,729,000","5,226,444","5,102,444","13,000","5,089,444","137,000",0,"137,000","41,092,344",2020-11-11
2891,中信金          ,"48,053,800","17,463,614","30,590,186",0.0,0.0,0.0,0,"782,000","-782,000","1,790,754","1,190,754","6,000","1,184,754","710,000","104,000","606,000","31,598,940",2020-11-11
2610,華航            ,"42,499,000","15,363,000","27,136,000",0.0,0.0,0.0,"982,000","1,192,000","-210,000","-749,200","478,000","1,227,000","-749,000",0,200,-200,"26,176,800",2020-11-11
"=""00878""",國泰永續高股息  ,"210,000","219,000","-9,000",0.0,0.0,0.0,0,0,0,"26,116,725",0,"50,000","-50,000","26,742,565","575,840","26,166,725","26,107,725",2020-11-11
2885,元大金          ,"31,513,500","7,819,840","23,693,660",0.0,0.0,0.0,0,"52,000","-52,000","885,000","681,000","58,000","623,000","337,000","75,000","262,000","24,526,660",2020-11-11
2618,長榮航          ,"34,174,403","10,612,712","23,561,691",0.0,0.0,0.0,0,"10,000","-10,000","669,464","2,509,600","2,139,136","370,464","314,000","15,000","299,000","24,221,155",2020-11-11
2882,國泰金          ,"24,928,300","3,527,993","21,400,307",0.0,0.0,0.0,"1,513,000","325,000","1,188,000","823,000","677,000","76,000","601,000","435,000","213,000","222,000","23,411,307",2020-11-11
2884,玉山金          ,"46,031,740","24,677,904","21,353,836",0.0,0.0,0.0,"277,000","53,000","224,000","971,903","926,903","280,000","646,903","352,000","27,000","325,000","22,549,739",2020-11-11
1301,台塑            ,"17,516,533","4,019,000","13,497,533",0.0,0.0,0.0,"5,356,000","637,000","4,719,000","1,610,944","1,850,944","325,000","1,525,944","188,000","103,000","85,000","19,827,477",2020-11-11
2886,兆豐金          ,"22,706,900","8,282,000","14,424,900",0.0,0.0,0.0,"4,787,000","816,000","3,971,000","995,302","747,302","12,000","735,302","260,000",0,"260,000","19,391,202",2020-11-11
1718,中纖            ,"18,178,000","1,354,100","16,823,900",0.0,0.0,0.0,0,0,0,"189,874","38,874","166,000","-127,126","379,000","62,000","317,000","17,013,774",2020-11-11
1314,中石化          ,"21,241,050","9,998,000","11,243,050",0.0,0.0,0.0,0,0,0,"3,550,441","534,441","47,000","487,441","3,231,000","168,000","3,063,000","14,793,491",2020-11-11
2881,富邦金          ,"19,974,300","10,082,947","9,891,353",0.0,0.0,0.0,"3,099,000","317,000","2,782,000","2,044,000","692,000","24,000","668,000","1,466,000","90,000","1,376,000","14,717,353",2020-11-11
2834,臺企銀          ,"13,590,000","1,606,000","11,984,000",0.0,0.0,0.0,0,"22,000","-22,000","891,000","851,000",0,"851,000","40,000",0,"40,000","12,853,000",2020-11-11
2317,鴻海            ,"17,013,700","9,687,042","7,326,658",0.0,0.0,0.0,0,"53,000","-53,000","5,106,837","1,047,000","42,000","1,005,000","4,222,837","121,000","4,101,837","12,380,495",2020-11-11
3711,日月光投控      ,"17,330,774","7,544,000","9,786,774",0.0,0.0,0.0,"518,000","17,000","501,000","105,117","300,000","135,000","165,000","37,117","97,000","-59,883","10,392,891",2020-11-11
2887,台新金          ,"13,740,109","3,965,000","9,775,109",0.0,0.0,0.0,0,"46,000","-46,000","360,000","714,000","10,000","704,000","53,000","397,000","-344,000","10,089,109",2020-11-11
1326,台化            ,"8,384,100","2,007,000","6,377,100",0.0,0.0,0.0,"2,420,000","25,000","2,395,000","1,066,490","1,047,490","177,000","870,490","201,000","5,000","196,000","9,838,590",2020-11-11
