證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00672L""",元大S&P原油正2  ,"320,000","320,000",0,0.0,0.0,0.0,0,0,0,"50,071,000",0,0,0,"50,276,000","205,000","50,071,000","50,071,000",2020-09-25
3481,群創            ,"113,242,000","49,581,553","63,660,447",0.0,0.0,0.0,"400,000","10,450,000","-10,050,000","-5,862,000","1,282,000","5,117,000","-3,835,000","688,000","2,715,000","-2,027,000","47,748,447",2020-09-25
"=""00637L""",元大滬深300正2  ,"6,842,000","326,000","6,516,000",0.0,0.0,0.0,0,0,0,"3,010,000",0,0,0,"11,327,000","8,317,000","3,010,000","9,526,000",2020-09-25
2353,宏碁            ,"17,265,000","6,895,541","10,369,459",0.0,0.0,0.0,"9,000",0,"9,000","-1,014,000","102,000","651,000","-549,000","43,000","508,000","-465,000","9,364,459",2020-09-25
1609,大亞            ,"11,861,000","4,060,000","7,801,000",0.0,0.0,0.0,0,0,0,"-20,000",0,"20,000","-20,000",0,0,0,"7,781,000",2020-09-25
"=""00642U""",元大S&P石油     ,0,"10,000","-10,000",0.0,0.0,0.0,0,0,0,"7,007,000",0,0,0,"7,009,000","2,000","7,007,000","6,997,000",2020-09-25
2884,玉山金          ,"12,776,260","7,404,099","5,372,161",0.0,0.0,0.0,"98,000",0,"98,000","52,000","10,000","4,000","6,000","49,000","3,000","46,000","5,522,161",2020-09-25
2885,元大金          ,"12,890,000","7,694,080","5,195,920",0.0,0.0,0.0,"95,000",0,"95,000","-36,000","2,000","64,000","-62,000","41,000","15,000","26,000","5,254,920",2020-09-25
"=""00693U""",街口S&P黃豆     ,"1,581,000","14,000","1,567,000",0.0,0.0,0.0,0,0,0,"3,108,000",0,0,0,"4,718,000","1,610,000","3,108,000","4,675,000",2020-09-25
1312,國喬            ,"6,039,000","1,818,100","4,220,900",0.0,0.0,0.0,0,0,0,"-74,000","2,000","86,000","-84,000","39,000","29,000","10,000","4,146,900",2020-09-25
1309,台達化          ,"8,683,000","3,801,000","4,882,000",0.0,0.0,0.0,0,0,0,"-805,000","6,000","811,000","-805,000",0,0,0,"4,077,000",2020-09-25
2449,京元電子        ,"6,597,000","3,639,368","2,957,632",0.0,0.0,0.0,"6,000",0,"6,000","681,000","46,000","46,000",0,"840,000","159,000","681,000","3,644,632",2020-09-25
3017,奇鋐            ,"8,802,000","5,119,396","3,682,604",0.0,0.0,0.0,0,"32,000","-32,000","-52,000","5,000","70,000","-65,000","247,000","234,000","13,000","3,598,604",2020-09-25
2887,台新金          ,"7,133,000","3,437,362","3,695,638",0.0,0.0,0.0,"84,000",0,"84,000","-199,000",0,"6,000","-6,000","15,000","208,000","-193,000","3,580,638",2020-09-25
1802,台玻            ,"6,780,477","3,258,000","3,522,477",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,522,477",2020-09-25
2376,技嘉            ,"5,845,000","2,471,888","3,373,112",0.0,0.0,0.0,"2,000",0,"2,000","140,000","54,000","252,000","-198,000","400,000","62,000","338,000","3,515,112",2020-09-25
2615,萬海            ,"5,134,000","1,596,000","3,538,000",0.0,0.0,0.0,"790,000","709,000","81,000","-216,000",0,"216,000","-216,000",0,0,0,"3,403,000",2020-09-25
2890,永豐金          ,"8,478,000","6,436,320","2,041,680",0.0,0.0,0.0,"1,248,000",0,"1,248,000","16,000","2,000",0,"2,000","14,000",0,"14,000","3,305,680",2020-09-25
3037,欣興            ,"16,950,000","12,237,510","4,712,490",0.0,0.0,0.0,"274,000","49,000","225,000","-1,713,000","347,000","1,672,000","-1,325,000","112,000","500,000","-388,000","3,224,490",2020-09-25
2417,圓剛            ,"6,545,000","3,426,000","3,119,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,119,000",2020-09-25
3702,大聯大          ,"2,943,000","1,250,680","1,692,320",0.0,0.0,0.0,"372,000",0,"372,000","783,000","8,000","14,000","-6,000","789,000",0,"789,000","2,847,320",2020-09-25
3047,訊舟            ,"3,751,000","952,000","2,799,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,799,000",2020-09-25
1444,力麗            ,"20,720,000","18,037,000","2,683,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"2,683,000",2020-09-25
"=""00876""",元大未來關鍵科技,0,"5,000","-5,000",0.0,0.0,0.0,0,0,0,"2,675,000",0,0,0,"3,104,000","429,000","2,675,000","2,670,000",2020-09-25
3703,欣陸            ,"4,561,000","1,931,000","2,630,000",0.0,0.0,0.0,0,0,0,"-51,000",0,"51,000","-51,000",0,0,0,"2,579,000",2020-09-25
3704,合勤控          ,"4,440,000","1,821,000","2,619,000",0.0,0.0,0.0,0,0,0,"-91,000","10,000","101,000","-91,000",0,0,0,"2,528,000",2020-09-25
2892,第一金          ,"6,865,490","5,051,456","1,814,034",0.0,0.0,0.0,"684,000",0,"684,000","10,000","6,000","11,000","-5,000","15,000",0,"15,000","2,508,034",2020-09-25
2481,強茂            ,"5,998,000","3,617,000","2,381,000",0.0,0.0,0.0,0,0,0,"-32,000","10,000","37,000","-27,000","117,000","122,000","-5,000","2,349,000",2020-09-25
2883,開發金          ,"7,994,000","7,327,000","667,000",0.0,0.0,0.0,"1,729,380",0,"1,729,380","-60,000",0,"6,000","-6,000","11,000","65,000","-54,000","2,336,380",2020-09-25
1605,華新            ,"1,975,000","1,491,000","484,000",0.0,0.0,0.0,0,0,0,"1,713,000",0,"292,000","-292,000","2,083,000","78,000","2,005,000","2,197,000",2020-09-25
3231,緯創            ,"4,717,000","3,947,400","769,600",0.0,0.0,0.0,"460,000",0,"460,000","904,000",0,"105,000","-105,000","1,097,000","88,000","1,009,000","2,133,600",2020-09-25
5876,上海商銀        ,"3,726,000","1,644,931","2,081,069",0.0,0.0,0.0,"14,000",0,"14,000","10,000",0,0,0,"12,000","2,000","10,000","2,105,069",2020-09-25
"=""00861""",元大全球未來通訊,"1,738,000","2,000","1,736,000",0.0,0.0,0.0,0,0,0,"340,000",0,0,0,"949,000","609,000","340,000","2,076,000",2020-09-25
2313,華通            ,"7,240,000","3,134,100","4,105,900",0.0,0.0,0.0,"4,000","555,000","-551,000","-1,518,000","230,000","1,091,000","-861,000","75,000","732,000","-657,000","2,036,900",2020-09-25
2002,中鋼            ,"5,919,000","4,419,646","1,499,354",0.0,0.0,0.0,"450,000",0,"450,000","39,000","22,000",0,"22,000","17,000",0,"17,000","1,988,354",2020-09-25
6191,精成科          ,"3,408,000","1,455,000","1,953,000",0.0,0.0,0.0,0,0,0,"-18,000","90,000","30,000","60,000","40,000","118,000","-78,000","1,935,000",2020-09-25
5471,松翰            ,"6,400,000","4,515,000","1,885,000",0.0,0.0,0.0,0,0,0,"44,000","3,000","59,000","-56,000","255,000","155,000","100,000","1,929,000",2020-09-25
2382,廣達            ,"3,333,000","1,996,000","1,337,000",0.0,0.0,0.0,"208,000","27,000","181,000","398,000","84,000","44,000","40,000","385,000","27,000","358,000","1,916,000",2020-09-25
1904,正隆            ,"3,882,000","3,300,632","581,368",0.0,0.0,0.0,"1,189,000",0,"1,189,000","114,000","22,000","15,000","7,000","163,000","56,000","107,000","1,884,368",2020-09-25
1101,台泥            ,"5,979,000","4,044,258","1,934,742",0.0,0.0,0.0,"144,000","1,082,000","-938,000","862,000","172,000","107,000","65,000","816,000","19,000","797,000","1,858,742",2020-09-25
"=""00715L""",街口布蘭特油正2 ,"210,000","272,000","-62,000",0.0,0.0,0.0,0,0,0,"1,902,000",0,0,0,"2,052,000","150,000","1,902,000","1,840,000",2020-09-25
3708,上緯投控        ,"5,192,000","3,187,000","2,005,000",0.0,0.0,0.0,0,"20,000","-20,000","-156,000","236,000","309,000","-73,000","42,000","125,000","-83,000","1,829,000",2020-09-25
1714,和桐            ,"4,135,000","2,282,884","1,852,116",0.0,0.0,0.0,0,0,0,"-131,000","31,000","156,000","-125,000",0,"6,000","-6,000","1,721,116",2020-09-25
2377,微星            ,"3,134,400","1,634,000","1,500,400",0.0,0.0,0.0,"217,000","300,000","-83,000","164,000","38,000","73,000","-35,000","250,000","51,000","199,000","1,581,400",2020-09-25
1440,南紡            ,"3,323,000","1,092,000","2,231,000",0.0,0.0,0.0,0,0,0,"-668,000",0,"489,000","-489,000","43,000","222,000","-179,000","1,563,000",2020-09-25
"=""00670L""",富邦NASDAQ正2   ,"243,000","142,000","101,000",0.0,0.0,0.0,0,0,0,"1,426,000",0,0,0,"1,569,000","143,000","1,426,000","1,527,000",2020-09-25
"=""00636""",國泰中國A50     ,"282,000","3,000","279,000",0.0,0.0,0.0,0,0,0,"1,234,000",0,0,0,"1,388,000","154,000","1,234,000","1,513,000",2020-09-25
2324,仁寶            ,"3,162,000","4,206,242","-1,044,242",0.0,0.0,0.0,"914,000",0,"914,000","1,637,000",0,"2,000","-2,000","1,649,000","10,000","1,639,000","1,506,758",2020-09-25
5880,合庫金          ,"5,150,000","3,733,842","1,416,158",0.0,0.0,0.0,"78,000",0,"78,000","11,630",0,"2,370","-2,370","14,000",0,"14,000","1,505,788",2020-09-25
2889,國票金          ,"2,241,000","747,493","1,493,507",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,493,507",2020-09-25
1519,華城            ,"3,473,000","1,988,000","1,485,000",0.0,0.0,0.0,0,0,0,"-47,000",0,"29,000","-29,000","48,000","66,000","-18,000","1,438,000",2020-09-25
