證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
2317,鴻海            ,"21,080,703","11,338,064","9,742,639",0.0,0.0,0.0,"4,763,840","5,000","4,758,840","-1,183,840","695,000","852,000","-157,000","989,729","2,016,569","-1,026,840","13,317,639",2020-12-11
2881,富邦金          ,"16,633,000","5,657,893","10,975,107",0.0,0.0,0.0,"10,000","211,000","-201,000","2,459,000","807,000","333,000","474,000","2,032,000","47,000","1,985,000","13,233,107",2020-12-11
2885,元大金          ,"24,630,013","10,766,400","13,863,613",0.0,0.0,0.0,"16,180","200,000","-183,820","-826,000","697,000","1,411,000","-714,000","214,000","326,000","-112,000","12,853,793",2020-12-11
"=""00632R""",元大台灣50反1   ,"601,000","1,000","600,000",0.0,0.0,0.0,0,0,0,"11,314,287","800,000","8,150,000","-7,350,000","29,850,494","11,186,207","18,664,287","11,914,287",2020-12-11
2891,中信金          ,"21,742,000","10,031,178","11,710,822",0.0,0.0,0.0,"24,240","58,000","-33,760","66,000","25,000","103,000","-78,000","144,000",0,"144,000","11,743,062",2020-12-11
2344,華邦電          ,"46,698,000","31,553,400","15,144,600",0.0,0.0,0.0,0,"2,893,000","-2,893,000","-700,021","1,638,400","1,910,421","-272,021","399,000","827,000","-428,000","11,551,579",2020-12-11
2883,開發金          ,"23,213,000","4,397,814","18,815,186",0.0,0.0,0.0,"18,720","101,000","-82,280","-7,416,000","388,000","8,456,000","-8,068,000","702,000","50,000","652,000","11,316,906",2020-12-11
2882,國泰金          ,"11,261,000","4,835,616","6,425,384",0.0,0.0,0.0,"11,530","235,000","-223,470","1,135,741","204,741","76,000","128,741","1,093,000","86,000","1,007,000","7,337,655",2020-12-11
2887,台新金          ,"9,895,000","2,163,400","7,731,600",0.0,0.0,0.0,"13,770","1,000","12,770","-419,000","20,000","110,000","-90,000",0,"329,000","-329,000","7,325,370",2020-12-11
"=""00878""",國泰永續高股息  ,"808,090","64,000","744,090",0.0,0.0,0.0,0,0,0,"6,540,371",0,0,0,"6,955,057","414,686","6,540,371","7,284,461",2020-12-11
2027,大成鋼          ,"16,827,000","6,967,000","9,860,000",0.0,0.0,0.0,"275,000","856,000","-581,000","-2,087,564","1,498,192","3,295,756","-1,797,564","149,000","439,000","-290,000","7,191,436",2020-12-11
"=""00715L""",街口布蘭特油正2 ,"3,902,000","3,625,000","277,000",0.0,0.0,0.0,0,0,0,"6,474,000",0,0,0,"7,009,000","535,000","6,474,000","6,751,000",2020-12-11
2324,仁寶            ,"7,553,065","2,205,412","5,347,653",0.0,0.0,0.0,"1,667,000","289,000","1,378,000","-104,391","15,609","78,000","-62,391","52,000","94,000","-42,000","6,621,262",2020-12-11
2886,兆豐金          ,"10,787,000","3,774,746","7,012,254",0.0,0.0,0.0,"14,690","168,000","-153,310","-361,000","69,000","80,000","-11,000",0,"350,000","-350,000","6,497,944",2020-12-11
