證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00677U""",富邦VIX         ,"50,457,000","8,063,000","42,394,000",0.0,0.0,0.0,0,0,0,"9,419,000",0,0,0,"10,424,000","1,005,000","9,419,000","51,813,000",2020-10-20
"=""00672L""",元大S&P原油正2  ,0,0,0,0.0,0.0,0.0,0,0,0,"26,561,000",0,0,0,"33,753,000","7,192,000","26,561,000","26,561,000",2020-10-20
2603,長榮            ,"26,666,893","5,846,969","20,819,924",0.0,0.0,0.0,"300,000",0,"300,000","-945,000","642,000","1,587,000","-945,000",0,0,0,"20,174,924",2020-10-20
3037,欣興            ,"16,829,351","7,252,468","9,576,883",0.0,0.0,0.0,"250,000","204,776","45,224","680,000","735,000","81,000","654,000","256,000","230,000","26,000","10,302,107",2020-10-20
"=""00671R""",富邦NASDAQ反1   ,"98,000",0,"98,000",0.0,0.0,0.0,0,0,0,"4,784,000",0,0,0,"5,175,000","391,000","4,784,000","4,882,000",2020-10-20
3596,智易            ,"4,352,000","1,511,000","2,841,000",0.0,0.0,0.0,"334,000",0,"334,000","215,000","72,000","97,000","-25,000","378,000","138,000","240,000","3,390,000",2020-10-20
"=""00876""",元大未來關鍵科技,0,0,0,0.0,0.0,0.0,0,0,0,"3,296,000",0,0,0,"4,300,000","1,004,000","3,296,000","3,296,000",2020-10-20
1312,國喬            ,"3,695,000","1,039,649","2,655,351",0.0,0.0,0.0,0,0,0,"291,000","131,000","24,000","107,000","356,000","172,000","184,000","2,946,351",2020-10-20
"=""00636""",國泰中國A50     ,"1,867,000","1,000","1,866,000",0.0,0.0,0.0,0,0,0,"1,022,888",0,0,0,"1,301,888","279,000","1,022,888","2,888,888",2020-10-20
2504,國產            ,"3,598,000","1,871,047","1,726,953",0.0,0.0,0.0,"1,033,000","741,990","291,010","797,000",0,"1,000","-1,000","810,000","12,000","798,000","2,814,963",2020-10-20
2344,華邦電          ,"11,513,000","8,731,200","2,781,800",0.0,0.0,0.0,"1,000",0,"1,000","-90,000","10,000","9,000","1,000","40,000","131,000","-91,000","2,692,800",2020-10-20
2340,光磊            ,"4,182,000","1,588,000","2,594,000",0.0,0.0,0.0,"15,000",0,"15,000","-64,000","9,000","115,000","-106,000","100,000","58,000","42,000","2,545,000",2020-10-20
2002,中鋼            ,"7,499,914","5,030,705","2,469,209",0.0,0.0,0.0,0,0,0,"68,000","106,000","31,000","75,000",0,"7,000","-7,000","2,537,209",2020-10-20
6191,精成科          ,"3,143,000","835,000","2,308,000",0.0,0.0,0.0,0,0,0,"171,000","100,000","1,000","99,000","108,000","36,000","72,000","2,479,000",2020-10-20
910861,神州-DR         ,"2,436,000","15,000","2,421,000",0.0,0.0,0.0,0,0,0,"40,000",0,0,0,"40,000",0,"40,000","2,461,000",2020-10-20
2303,聯電            ,"29,119,812","26,929,577","2,190,235",0.0,0.0,0.0,"877,000","1,497,000","-620,000","700,000","1,223,000","189,000","1,034,000","248,000","582,000","-334,000","2,270,235",2020-10-20
1904,正隆            ,"3,580,000","1,636,013","1,943,987",0.0,0.0,0.0,0,0,0,"261,000",0,"21,000","-21,000","297,000","15,000","282,000","2,204,987",2020-10-20
"=""00669R""",國泰美國道瓊反1 ,0,0,0,0.0,0.0,0.0,0,0,0,"2,102,000",0,0,0,"2,236,000","134,000","2,102,000","2,102,000",2020-10-20
1447,力鵬            ,"3,892,000","1,885,000","2,007,000",0.0,0.0,0.0,0,0,0,"3,000","3,000",0,"3,000",0,0,0,"2,010,000",2020-10-20
6251,定穎            ,"2,910,000","911,000","1,999,000",0.0,0.0,0.0,0,0,0,"4,000","4,000",0,"4,000",0,0,0,"2,003,000",2020-10-20
