證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00637L""",元大滬深300正2  ,"27,067,000","9,873,000","17,194,000",0.0,0.0,0.0,0,0,0,"73,040,000","200,000",0,"200,000","77,387,000","4,547,000","72,840,000","90,234,000",2020-10-12
"=""00672L""",元大S&P原油正2  ,"4,520,000",0,"4,520,000",0.0,0.0,0.0,0,0,0,"63,203,000",0,0,0,"65,253,000","2,050,000","63,203,000","67,723,000",2020-10-12
"=""00876""",元大未來關鍵科技,0,"2,000","-2,000",0.0,0.0,0.0,0,0,0,"24,017,000",0,"50,000","-50,000","24,195,000","128,000","24,067,000","24,015,000",2020-10-12
2603,長榮            ,"33,597,238","7,238,402","26,358,836",0.0,0.0,0.0,"512,000","2,300,000","-1,788,000","-6,449,000","814,000","7,243,000","-6,429,000",0,"20,000","-20,000","18,121,836",2020-10-12
2330,台積電          ,"44,432,709","26,686,443","17,746,266",0.0,0.0,0.0,"202,000","158,000","44,000","-92,000","956,000","841,000","115,000","280,000","487,000","-207,000","17,698,266",2020-10-12
3576,聯合再生        ,"20,346,155","3,702,000","16,644,155",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"16,644,155",2020-10-12
"=""00633L""",富邦上証正2     ,"4,805,000","1,327,000","3,478,000",0.0,0.0,0.0,0,0,0,"8,548,000",0,0,0,"9,705,000","1,157,000","8,548,000","12,026,000",2020-10-12
2317,鴻海            ,"27,374,281","16,720,126","10,654,155",0.0,0.0,0.0,0,"72,000","-72,000","229,000","135,000","20,000","115,000","266,000","152,000","114,000","10,811,155",2020-10-12
2408,南亞科          ,"15,687,058","8,257,000","7,430,058",0.0,0.0,0.0,"881,000","4,000","877,000","648,000","780,000","462,000","318,000","398,000","68,000","330,000","8,955,058",2020-10-12
6116,彩晶            ,"14,492,611","3,740,000","10,752,611",0.0,0.0,0.0,0,0,0,"-2,173,000","40,000","174,000","-134,000","360,000","2,399,000","-2,039,000","8,579,611",2020-10-12
1605,華新            ,"8,450,000","1,409,000","7,041,000",0.0,0.0,0.0,0,"28,000","-28,000","1,529,000",0,"85,000","-85,000","1,670,000","56,000","1,614,000","8,542,000",2020-10-12
"=""00852L""",國泰美國道瓊正2 ,"391,000",0,"391,000",0.0,0.0,0.0,0,0,0,"7,596,000","942,000",0,"942,000","7,393,000","739,000","6,654,000","7,987,000",2020-10-12
"=""00655L""",國泰中國A50正2  ,"3,084,000","38,000","3,046,000",0.0,0.0,0.0,0,0,0,"4,667,000",0,0,0,"5,048,000","381,000","4,667,000","7,713,000",2020-10-12
2454,聯發科          ,"15,209,550","8,008,197","7,201,353",0.0,0.0,0.0,"219,000","207,000","12,000","-176,000","112,000","255,000","-143,000","91,000","124,000","-33,000","7,037,353",2020-10-12
3017,奇鋐            ,"8,000,683","1,223,000","6,777,683",0.0,0.0,0.0,0,0,0,"127,000","115,000","73,000","42,000","319,000","234,000","85,000","6,904,683",2020-10-12
"=""0050""",元大台灣50      ,"7,011,047","726,000","6,285,047",0.0,0.0,0.0,"170,000","90,000","80,000","67,000","10,000","154,000","-144,000","949,000","738,000","211,000","6,432,047",2020-10-12
"=""00642U""",元大S&P石油     ,"6,000","62,000","-56,000",0.0,0.0,0.0,0,0,0,"6,047,000",0,0,0,"6,697,000","650,000","6,047,000","5,991,000",2020-10-12
"=""00653L""",富邦印度正2     ,"240,000","136,000","104,000",0.0,0.0,0.0,0,0,0,"5,528,000",0,0,0,"5,774,000","246,000","5,528,000","5,632,000",2020-10-12
3711,日月光投控      ,"15,673,249","10,404,630","5,268,619",0.0,0.0,0.0,0,"70,000","-70,000","98,000","245,000","129,000","116,000","143,000","161,000","-18,000","5,296,619",2020-10-12
2481,強茂            ,"6,248,007","1,043,000","5,205,007",0.0,0.0,0.0,0,0,0,"-101,000","75,000","261,000","-186,000","263,000","178,000","85,000","5,104,007",2020-10-12
"=""020019""",統一特選台灣5GN ,0,0,0,0.0,0.0,0.0,0,0,0,"4,763,000",0,0,0,"4,797,000","34,000","4,763,000","4,763,000",2020-10-12
1609,大亞            ,"13,699,000","8,783,000","4,916,000",0.0,0.0,0.0,0,0,0,"-438,000","20,000","793,000","-773,000","335,000",0,"335,000","4,478,000",2020-10-12
1904,正隆            ,"5,043,610","2,352,000","2,691,610",0.0,0.0,0.0,"1,285,000",0,"1,285,000","467,000","45,000","27,000","18,000","481,000","32,000","449,000","4,443,610",2020-10-12
6443,元晶            ,"4,219,200","2,295,000","1,924,200",0.0,0.0,0.0,"2,177,000",0,"2,177,000","222,000","282,000","60,000","222,000",0,0,0,"4,323,200",2020-10-12
"=""00861""",元大全球未來通訊,"5,000",0,"5,000",0.0,0.0,0.0,0,0,0,"4,101,000",0,"80,000","-80,000","4,278,000","97,000","4,181,000","4,106,000",2020-10-12
3704,合勤控          ,"3,783,000","609,000","3,174,000",0.0,0.0,0.0,0,0,0,"130,000","70,000",0,"70,000","60,000",0,"60,000","3,304,000",2020-10-12
"=""00708L""",元大S&P黃金正2  ,"1,265,000","31,000","1,234,000",0.0,0.0,0.0,0,0,0,"2,019,000",0,0,0,"2,341,000","322,000","2,019,000","3,253,000",2020-10-12
2887,台新金          ,"6,371,293","2,994,331","3,376,962",0.0,0.0,0.0,0,"63,000","-63,000","-296,000",0,0,0,0,"296,000","-296,000","3,017,962",2020-10-12
3703,欣陸            ,"6,355,000","3,476,000","2,879,000",0.0,0.0,0.0,0,0,0,"127,000",0,"185,000","-185,000","312,000",0,"312,000","3,006,000",2020-10-12
2417,圓剛            ,"4,216,000","1,635,000","2,581,000",0.0,0.0,0.0,0,0,0,"50,000","50,000",0,"50,000",0,0,0,"2,631,000",2020-10-12
"=""00738U""",元大道瓊白銀    ,"747,000","367,000","380,000",0.0,0.0,0.0,0,0,0,"2,241,000",0,0,0,"3,012,000","771,000","2,241,000","2,621,000",2020-10-12
2885,元大金          ,"11,852,194","9,081,653","2,770,541",0.0,0.0,0.0,0,"69,000","-69,000","-97,000","22,000","59,000","-37,000",0,"60,000","-60,000","2,604,541",2020-10-12
3708,上緯投控        ,"3,379,000","1,843,000","1,536,000",0.0,0.0,0.0,"750,000",0,"750,000","289,000","244,000","155,000","89,000","217,000","17,000","200,000","2,575,000",2020-10-12
1440,南紡            ,"3,457,000","1,244,000","2,213,000",0.0,0.0,0.0,0,0,0,"263,000","234,000","3,000","231,000","32,000",0,"32,000","2,476,000",2020-10-12
2332,友訊            ,"3,096,000","717,000","2,379,000",0.0,0.0,0.0,0,0,0,"77,000","26,000","20,000","6,000","75,000","4,000","71,000","2,456,000",2020-10-12
