證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00632R""",元大台灣50反1   ,"64,825,000","6,669,000","58,156,000",0.0,0.0,0.0,0,0,0,"-24,869,000","760,000","2,959,000","-2,199,000","2,150,000","24,820,000","-22,670,000","33,287,000",2020-09-23
2303,聯電            ,"50,525,437","38,439,581","12,085,856",0.0,0.0,0.0,"8,981,000","28,027","8,952,973","919,000","4,573,000","2,905,000","1,668,000","872,000","1,621,000","-749,000","21,957,829",2020-09-23
"=""00677U""",富邦VIX         ,"16,493,000","9,469,000","7,024,000",0.0,0.0,0.0,0,0,0,"4,888,000","7,100,000",0,"7,100,000","3,245,000","5,457,000","-2,212,000","11,912,000",2020-09-23
"=""00672L""",元大S&P原油正2  ,0,0,0,0.0,0.0,0.0,0,0,0,"11,336,000",0,0,0,"14,536,000","3,200,000","11,336,000","11,336,000",2020-09-23
"=""00852L""",國泰美國道瓊正2 ,"295,000","15,000","280,000",0.0,0.0,0.0,0,0,0,"4,103,000",0,0,0,"8,161,000","4,058,000","4,103,000","4,383,000",2020-09-23
3576,聯合再生        ,"6,698,000","2,362,000","4,336,000",0.0,0.0,0.0,0,"2,143","-2,143",0,0,0,0,0,0,0,"4,333,857",2020-09-23
"=""00676R""",富邦臺灣加權反1 ,"1,757,000","102,000","1,655,000",0.0,0.0,0.0,0,0,0,"1,773,000",0,0,0,"3,023,000","1,250,000","1,773,000","3,428,000",2020-09-23
3017,奇鋐            ,"8,999,000","7,069,238","1,929,762",0.0,0.0,0.0,"1,560,000","1,400","1,558,600","-96,000","100,000","191,000","-91,000","399,000","404,000","-5,000","3,392,362",2020-09-23
2363,矽統            ,"7,161,000","3,979,000","3,182,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,182,000",2020-09-23
3037,欣興            ,"9,194,000","5,555,000","3,639,000",0.0,0.0,0.0,"2,000","1,763",237,"-485,000","268,000","629,000","-361,000","115,000","239,000","-124,000","3,154,237",2020-09-23
"=""006205""",富邦上証        ,"916,000","91,000","825,000",0.0,0.0,0.0,0,"1,209,000","-1,209,000","3,146,000",0,0,0,"3,895,000","749,000","3,146,000","2,762,000",2020-09-23
5471,松翰            ,"5,750,000","2,397,000","3,353,000",0.0,0.0,0.0,0,"641,000","-641,000","-9,000",0,"25,000","-25,000","123,000","107,000","16,000","2,703,000",2020-09-23
2387,精元            ,"3,648,000","1,430,000","2,218,000",0.0,0.0,0.0,"24,000",0,"24,000","131,000","77,000","109,000","-32,000","187,000","24,000","163,000","2,373,000",2020-09-23
"=""00876""",元大未來關鍵科技,"1,208,000",0,"1,208,000",0.0,0.0,0.0,0,0,0,"1,015,000",0,0,0,"1,572,000","557,000","1,015,000","2,223,000",2020-09-23
3481,群創            ,"32,271,000","29,769,912","2,501,088",0.0,0.0,0.0,"400,000","7,026","392,974","-851,000","416,000","491,000","-75,000","322,000","1,098,000","-776,000","2,043,062",2020-09-23
"=""00636""",國泰中國A50     ,"408,000","41,000","367,000",0.0,0.0,0.0,0,0,0,"1,502,000",0,0,0,"1,846,000","344,000","1,502,000","1,869,000",2020-09-23
"=""00693U""",街口S&P黃豆     ,"1,016,000","289,000","727,000",0.0,0.0,0.0,0,0,0,"961,000",0,0,0,"3,242,000","2,281,000","961,000","1,688,000",2020-09-23
6443,元晶            ,"4,836,000","3,598,000","1,238,000",0.0,0.0,0.0,"110,000",0,"110,000","179,000","209,000","30,000","179,000",0,0,0,"1,527,000",2020-09-23
2454,聯發科          ,"3,223,365","1,806,326","1,417,039",0.0,0.0,0.0,"236,000","56,992","179,008","-108,000","77,000","192,000","-115,000","53,000","46,000","7,000","1,488,047",2020-09-23
2353,宏碁            ,"5,778,000","3,510,373","2,267,627",0.0,0.0,0.0,0,"3,625","-3,625","-827,000","17,000","401,000","-384,000","49,000","492,000","-443,000","1,437,002",2020-09-23
2379,瑞昱            ,"1,927,015","531,381","1,395,634",0.0,0.0,0.0,"2,000",322,"1,678","35,000","151,000","95,000","56,000","3,000","24,000","-21,000","1,432,312",2020-09-23
9910,豐泰            ,"1,989,024","750,600","1,238,424",0.0,0.0,0.0,"259,000","1,514","257,486","-76,000","52,000","122,000","-70,000",0,"6,000","-6,000","1,419,910",2020-09-23
4968,立積            ,"1,568,000","600,000","968,000",0.0,0.0,0.0,"294,000",0,"294,000","144,000","15,000","7,000","8,000","145,000","9,000","136,000","1,406,000",2020-09-23
"=""00861""",元大全球未來通訊,"273,000","33,000","240,000",0.0,0.0,0.0,0,0,0,"1,069,000",0,0,0,"1,302,000","233,000","1,069,000","1,309,000",2020-09-23
3533,嘉澤            ,"1,238,000","385,000","853,000",0.0,0.0,0.0,"403,000","70,243","332,757","88,000","32,000","14,000","18,000","75,000","5,000","70,000","1,273,757",2020-09-23
"=""00670L""",富邦NASDAQ正2   ,"6,000","6,000",0,0.0,0.0,0.0,0,0,0,"1,190,000",0,0,0,"1,400,000","210,000","1,190,000","1,190,000",2020-09-23
3702,大聯大          ,"1,790,000","1,133,959","656,041",0.0,0.0,0.0,"357,000","4,303","352,697","176,000","52,000","202,000","-150,000","336,000","10,000","326,000","1,184,738",2020-09-23
