證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00672L""",元大S&P原油正2  ,0,"845,000","-845,000",0.0,0.0,0.0,0,0,0,"87,156,000",0,0,0,"92,556,000","5,400,000","87,156,000","86,311,000",2020-10-21
3481,群創            ,"70,103,000","41,011,237","29,091,763",0.0,0.0,0.0,"13,853,000","3,791,000","10,062,000","4,853,000","837,000","2,404,000","-1,567,000","6,776,000","356,000","6,420,000","44,006,763",2020-10-21
2409,友達            ,"35,532,000","15,552,484","19,979,516",0.0,0.0,0.0,"6,095,000","2,196,000","3,899,000","-3,763,000","362,000","4,375,000","-4,013,000","587,000","337,000","250,000","20,115,516",2020-10-21
3711,日月光投控      ,"20,801,000","12,626,903","8,174,097",0.0,0.0,0.0,"568,000","5,000","563,000","163,000","130,000","790,000","-660,000","1,006,000","183,000","823,000","8,900,097",2020-10-21
1309,台達化          ,"8,258,000","977,000","7,281,000",0.0,0.0,0.0,"31,671",0,"31,671","-177,800","262,000","467,800","-205,800","37,000","9,000","28,000","7,134,871",2020-10-21
"=""00637L""",元大滬深300正2  ,"3,578,000","5,247,000","-1,669,000",0.0,0.0,0.0,0,0,0,"6,241,000",0,0,0,"19,154,000","12,913,000","6,241,000","4,572,000",2020-10-21
2330,台積電          ,"23,125,206","14,988,441","8,136,765",0.0,0.0,0.0,"30,000","78,000","-48,000","-3,908,000","424,000","3,746,000","-3,322,000","76,000","662,000","-586,000","4,180,765",2020-10-21
"=""00642U""",元大S&P石油     ,"1,704,000",0,"1,704,000",0.0,0.0,0.0,0,0,0,"2,444,000",0,0,0,"2,517,000","73,000","2,444,000","4,148,000",2020-10-21
2603,長榮            ,"12,446,000","7,801,000","4,645,000",0.0,0.0,0.0,0,0,0,"-684,000","1,993,000","2,687,000","-694,000","10,000",0,"10,000","3,961,000",2020-10-21
6191,精成科          ,"8,405,000","6,397,000","2,008,000",0.0,0.0,0.0,0,0,0,"1,816,000","390,000","120,000","270,000","1,691,000","145,000","1,546,000","3,824,000",2020-10-21
1304,台聚            ,"3,573,000","551,000","3,022,000",0.0,0.0,0.0,"151,900",0,"151,900","-41,000",0,"43,000","-43,000","99,000","97,000","2,000","3,132,900",2020-10-21
2312,金寶            ,"3,318,000","435,000","2,883,000",0.0,0.0,0.0,0,0,0,"53,000","47,000",0,"47,000","34,000","28,000","6,000","2,936,000",2020-10-21
1718,中纖            ,"3,839,000","422,000","3,417,000",0.0,0.0,0.0,0,0,0,"-502,000","24,000","169,000","-145,000","6,000","363,000","-357,000","2,915,000",2020-10-21
6153,嘉聯益          ,"2,535,000","593,000","1,942,000",0.0,0.0,0.0,0,0,0,"689,000","15,000","69,000","-54,000","853,000","110,000","743,000","2,631,000",2020-10-21
1312,國喬            ,"3,644,000","908,000","2,736,000",0.0,0.0,0.0,"353,000",0,"353,000","-655,000","1,000","119,000","-118,000","146,000","683,000","-537,000","2,434,000",2020-10-21
"=""00715L""",街口布蘭特油正2 ,"2,827,000","3,110,000","-283,000",0.0,0.0,0.0,0,0,0,"2,573,000",0,0,0,"2,573,000",0,"2,573,000","2,290,000",2020-10-21
1714,和桐            ,"2,686,000","657,000","2,029,000",0.0,0.0,0.0,0,0,0,"134,000",0,"11,000","-11,000","149,000","4,000","145,000","2,163,000",2020-10-21
2006,東和鋼鐵        ,"3,151,000","534,000","2,617,000",0.0,0.0,0.0,0,"474,000","-474,000","-79,000","26,000","375,000","-349,000","270,000",0,"270,000","2,064,000",2020-10-21
"=""00693U""",街口S&P黃豆     ,"2,083,000",0,"2,083,000",0.0,0.0,0.0,0,0,0,"-43,000",0,0,0,"874,000","917,000","-43,000","2,040,000",2020-10-21
