證券代號,證券名稱,外陸資買進股數(不含外資自營商),外陸資賣出股數(不含外資自營商),外陸資買賣超股數(不含外資自營商),外資自營商買進股數,外資自營商賣出股數,外資自營商買賣超股數,投信買進股數,投信賣出股數,投信買賣超股數,自營商買賣超股數,自營商買進股數(自行買賣),自營商賣出股數(自行買賣),自營商買賣超股數(自行買賣),自營商買進股數(避險),自營商賣出股數(避險),自營商買賣超股數(避險),三大法人買賣超股數,date
"=""00632R""",元大台灣50反1   ,"4,812,000","893,000","3,919,000",0.0,0.0,0.0,0,0,0,"16,115,903","16,647,000","1,300,000","15,347,000","24,406,101","23,637,198","768,903","20,034,903",2020-12-15
2344,華邦電          ,"39,713,368","19,914,000","19,799,368",0.0,0.0,0.0,"450,000",0,"450,000","-801,726","1,404,775","1,726,501","-321,726","162,000","642,000","-480,000","19,447,642",2020-12-15
2353,宏碁            ,"27,228,000","8,766,835","18,461,165",0.0,0.0,0.0,0,0,0,"125,174","86,174","102,000","-15,826","228,000","87,000","141,000","18,586,339",2020-12-15
3037,欣興            ,"28,158,000","15,215,000","12,943,000",0.0,0.0,0.0,"465,000","44,000","421,000","1,203,645","863,839","245,000","618,839","940,806","356,000","584,806","14,567,645",2020-12-15
6116,彩晶            ,"30,919,000","16,587,000","14,332,000",0.0,0.0,0.0,0,0,0,"-3,263,325","346,000","1,970,325","-1,624,325","523,000","2,162,000","-1,639,000","11,068,675",2020-12-15
2324,仁寶            ,"10,214,000","5,790,000","4,424,000",0.0,0.0,0.0,"375,000",0,"375,000","355,000","17,000","76,000","-59,000","508,000","94,000","414,000","5,154,000",2020-12-15
3711,日月光投控      ,"10,876,866","2,650,007","8,226,859",0.0,0.0,0.0,"24,210","3,752,000","-3,727,790","-295,763","24,237","288,000","-263,763","55,000","87,000","-32,000","4,203,306",2020-12-15
"=""00708L""",元大S&P黃金正2  ,"860,000",0,"860,000",0.0,0.0,0.0,0,0,0,"3,336,000",0,0,0,"3,839,000","503,000","3,336,000","4,196,000",2020-12-15
2436,偉詮電          ,"7,234,000","3,132,000","4,102,000",0.0,0.0,0.0,0,0,0,"-30,000","22,000","52,000","-30,000",0,0,0,"4,072,000",2020-12-15
1467,南緯            ,"3,949,000","475,000","3,474,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"3,474,000",2020-12-15
2308,台達電          ,"12,154,665","9,004,371","3,150,294",0.0,0.0,0.0,"8,880","95,000","-86,120","263,180","404,000","132,160","271,840","10,340","19,000","-8,660","3,327,354",2020-12-15
2492,華新科          ,"8,598,710","5,188,712","3,409,998",0.0,0.0,0.0,"723,000","357,000","366,000","-872,983","756,000","1,534,207","-778,207","68,000","162,776","-94,776","2,903,015",2020-12-15
2337,旺宏            ,"11,065,590","6,229,000","4,836,590",0.0,0.0,0.0,"111,000","600,000","-489,000","-1,490,556","705,000","1,551,330","-846,330","187,774","832,000","-644,226","2,857,034",2020-12-15
"=""006206""",元大上證50      ,"105,000","65,000","40,000",0.0,0.0,0.0,0,0,0,"2,781,920","30,000",0,"30,000","3,011,000","259,080","2,751,920","2,821,920",2020-12-15
8112,至上            ,"3,245,000","826,000","2,419,000",0.0,0.0,0.0,0,0,0,"5,288","6,000",712,"5,288",0,0,0,"2,424,288",2020-12-15
2505,國揚            ,"2,438,000","559,000","1,879,000",0.0,0.0,0.0,0,0,0,"479,125",44,0,44,"588,081","109,000","479,081","2,358,125",2020-12-15
9904,寶成            ,"6,631,844","3,728,000","2,903,844",0.0,0.0,0.0,"2,000",0,"2,000","-557,791","27,209","529,000","-501,791",0,"56,000","-56,000","2,348,053",2020-12-15
2332,友訊            ,"4,125,000","1,664,000","2,461,000",0.0,0.0,0.0,0,0,0,"-212,745","32,000","25,000","7,000","64,255","284,000","-219,745","2,248,255",2020-12-15
2376,技嘉            ,"4,357,000","2,247,000","2,110,000",0.0,0.0,0.0,0,0,0,"124,640","245,000","183,360","61,640","116,000","53,000","63,000","2,234,640",2020-12-15
6191,精成科          ,"3,877,000","1,440,000","2,437,000",0.0,0.0,0.0,0,0,0,"-261,594","4,000","5,000","-1,000","41,000","301,594","-260,594","2,175,406",2020-12-15
2610,華航            ,"39,153,173","44,735,000","-5,581,827",0.0,0.0,0.0,"6,660,000",0,"6,660,000","1,092,000","1,781,000","789,000","992,000","100,000",0,"100,000","2,170,173",2020-12-15
8150,南茂            ,"7,040,000","3,108,000","3,932,000",0.0,0.0,0.0,0,"1,570,000","-1,570,000","-273,528","6,000","187,528","-181,528","4,000","96,000","-92,000","2,088,472",2020-12-15
1907,永豐餘          ,"2,862,000","992,000","1,870,000",0.0,0.0,0.0,0,0,0,"184,115","61,355","396,240","-334,885","585,000","66,000","519,000","2,054,115",2020-12-15
6153,嘉聯益          ,"3,621,000","1,229,460","2,391,540",0.0,0.0,0.0,0,0,0,"-364,901","112,000","333,050","-221,050","2,000","145,851","-143,851","2,026,639",2020-12-15
1905,華紙            ,"2,568,000","558,000","2,010,000",0.0,0.0,0.0,0,0,0,"-1,000",0,"1,000","-1,000",0,0,0,"2,009,000",2020-12-15
2352,佳世達          ,"4,101,000","1,838,000","2,263,000",0.0,0.0,0.0,"2,000",0,"2,000","-303,000","281,000","377,000","-96,000","27,000","234,000","-207,000","1,962,000",2020-12-15
2542,興富發          ,"2,930,100","1,040,000","1,890,100",0.0,0.0,0.0,0,0,0,"-41,000","38,000","79,000","-41,000",0,0,0,"1,849,100",2020-12-15
2368,金像電          ,"6,193,000","5,653,000","540,000",0.0,0.0,0.0,"480,000",0,"480,000","719,195","1,117,065","236,083","880,982","467,213","629,000","-161,787","1,739,195",2020-12-15
2317,鴻海            ,"14,255,040","10,202,007","4,053,033",0.0,0.0,0.0,"1,086,480","1,104,000","-17,520","-2,356,723","147,000","1,403,000","-1,256,000","41,000","1,141,723","-1,100,723","1,678,790",2020-12-15
2601,益航            ,"2,882,000","1,211,000","1,671,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,671,000",2020-12-15
5264,鎧勝-KY         ,"1,894,000","229,000","1,665,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"1,665,000",2020-12-15
5871,中租-KY         ,"4,181,851","2,531,784","1,650,067",0.0,0.0,0.0,"4,450",0,"4,450","-11,850","11,150","27,000","-15,850","9,000","5,000","4,000","1,642,667",2020-12-15
1909,榮成            ,"7,412,000","7,857,000","-445,000",0.0,0.0,0.0,"970,000",0,"970,000","1,055,000","338,000","435,000","-97,000","1,471,000","319,000","1,152,000","1,580,000",2020-12-15
2312,金寶            ,"3,141,000","1,668,000","1,473,000",0.0,0.0,0.0,0,0,0,"-24,000","11,000","11,000",0,"24,000","48,000","-24,000","1,449,000",2020-12-15
2636,台驊投控        ,"3,077,638","1,621,000","1,456,638",0.0,0.0,0.0,0,0,0,"-19,000","14,000","33,000","-19,000",0,0,0,"1,437,638",2020-12-15
3545,敦泰            ,"1,613,000","330,000","1,283,000",0.0,0.0,0.0,"5,000",0,"5,000","13,000","75,000","43,000","32,000","64,000","83,000","-19,000","1,301,000",2020-12-15
4960,誠美材          ,"3,238,000","1,971,000","1,267,000",0.0,0.0,0.0,0,0,0,"-2,000","5,000","7,000","-2,000",0,0,0,"1,265,000",2020-12-15
2027,大成鋼          ,"5,304,000","8,764,169","-3,460,169",0.0,0.0,0.0,"4,550,000","760,000","3,790,000","860,696","1,223,336","865,640","357,696","594,000","91,000","503,000","1,190,527",2020-12-15
2108,南帝            ,"3,429,000","2,196,344","1,232,656",0.0,0.0,0.0,0,0,0,"-91,900",100,"3,000","-2,900","9,000","98,000","-89,000","1,140,756",2020-12-15
"=""00642U""",元大S&P石油     ,"787,000","6,000","781,000",0.0,0.0,0.0,0,0,0,"348,000",0,0,0,"428,000","80,000","348,000","1,129,000",2020-12-15
2455,全新            ,"2,062,000","901,000","1,161,000",0.0,0.0,0.0,"14,000","257,000","-243,000","163,278","360,000","183,722","176,278","24,000","37,000","-13,000","1,081,278",2020-12-15
8016,矽創            ,"734,000","287,000","447,000",0.0,0.0,0.0,"555,000",0,"555,000","54,000","2,000","7,000","-5,000","70,000","11,000","59,000","1,056,000",2020-12-15
2049,上銀            ,"2,155,500","1,151,110","1,004,390",0.0,0.0,0.0,"10,000",0,"10,000","-13,000","4,000","13,000","-9,000","29,000","33,000","-4,000","1,001,390",2020-12-15
3006,晶豪科          ,"5,978,000","3,299,703","2,678,297",0.0,0.0,0.0,0,"1,622,000","-1,622,000","-56,036","222,000","215,970","6,030","100,000","162,066","-62,066","1,000,261",2020-12-15
2823,中壽            ,"4,569,000","3,564,736","1,004,264",0.0,0.0,0.0,"5,000",0,"5,000","-40,000","2,000","52,000","-50,000","10,000",0,"10,000","969,264",2020-12-15
2105,正新            ,"3,135,000","1,962,000","1,173,000",0.0,0.0,0.0,"4,990",0,"4,990","-210,672","12,000","71,672","-59,672","8,000","159,000","-151,000","967,318",2020-12-15
2615,萬海            ,"6,079,000","6,483,069","-404,069",0.0,0.0,0.0,"1,378,000",0,"1,378,000","-48,000","1,505,200","1,230,200","275,000","129,000","452,000","-323,000","925,931",2020-12-15
2345,智邦            ,"3,139,104","2,176,348","962,756",0.0,0.0,0.0,"49,000",0,"49,000","-113,371","77,188","163,000","-85,812","9,441","37,000","-27,559","898,385",2020-12-15
2377,微星            ,"4,156,089","2,939,000","1,217,089",0.0,0.0,0.0,"26,000","450,000","-424,000","64,061","34,106","32,000","2,106","84,000","22,045","61,955","857,150",2020-12-15
9945,潤泰新          ,"1,412,500","501,000","911,500",0.0,0.0,0.0,0,0,0,"-59,000",0,"10,000","-10,000","4,000","53,000","-49,000","852,500",2020-12-15
"=""00876""",元大未來關鍵科技,"28,110","26,000","2,110",0.0,0.0,0.0,0,0,0,"810,768",0,0,0,"1,022,000","211,232","810,768","812,878",2020-12-15
3010,華立            ,"932,000","290,000","642,000",0.0,0.0,0.0,0,0,0,"169,468","1,100",0,"1,100","236,000","67,632","168,368","811,468",2020-12-15
2401,凌陽            ,"1,642,000","977,000","665,000",0.0,0.0,0.0,0,0,0,"120,062","93,102","27,040","66,062","176,000","122,000","54,000","785,062",2020-12-15
2399,映泰            ,"1,662,000","938,000","724,000",0.0,0.0,0.0,0,0,0,"1,000","1,000",0,"1,000",0,0,0,"725,000",2020-12-15
2515,中工            ,"5,834,000","4,057,000","1,777,000",0.0,0.0,0.0,0,0,0,"-1,061,112","23,000","128,112","-105,112","75,000","1,031,000","-956,000","715,888",2020-12-15
8103,瀚荃            ,"2,030,000","1,336,000","694,000",0.0,0.0,0.0,0,0,0,"16,000","2,000",0,"2,000","14,000",0,"14,000","710,000",2020-12-15
2356,英業達          ,"2,716,000","2,950,000","-234,000",0.0,0.0,0.0,"285,000",0,"285,000","608,000","288,000","34,000","254,000","396,000","42,000","354,000","659,000",2020-12-15
3530,晶相光          ,"1,144,000","502,000","642,000",0.0,0.0,0.0,0,"36,000","-36,000",179,"5,000","4,821",179,0,0,0,"606,179",2020-12-15
9921,巨大            ,"1,096,000","593,000","503,000",0.0,0.0,0.0,"59,000",0,"59,000","11,000",105,"1,105","-1,000","13,000","1,000","12,000","573,000",2020-12-15
"=""00655L""",國泰中國A50正2  ,"35,000","94,000","-59,000",0.0,0.0,0.0,0,0,0,"631,450",0,0,0,"2,647,450","2,016,000","631,450","572,450",2020-12-15
2360,致茂            ,"1,546,000","1,036,100","509,900",0.0,0.0,0.0,"35,000",0,"35,000","15,013","3,013","4,000",-987,"26,000","10,000","16,000","559,913",2020-12-15
2617,台航            ,"953,000","573,000","380,000",0.0,0.0,0.0,0,0,0,"159,016","160,016","1,000","159,016",0,0,0,"539,016",2020-12-15
3443,創意            ,"751,240","329,000","422,240",0.0,0.0,0.0,"155,000","56,000","99,000","-13,383","29,024","40,292","-11,268","9,000","11,115","-2,115","507,857",2020-12-15
2104,國際中橡        ,"1,283,000","715,000","568,000",0.0,0.0,0.0,0,0,0,"-73,000",0,"1,000","-1,000",0,"72,000","-72,000","495,000",2020-12-15
1460,宏遠            ,"663,000","172,000","491,000",0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,"491,000",2020-12-15
1536,和大            ,"2,330,100","1,207,383","1,122,717",0.0,0.0,0.0,"10,000","117,000","-107,000","-526,004","52,000","554,004","-502,004","8,000","32,000","-24,000","489,713",2020-12-15
2363,矽統            ,"1,490,001","1,019,000","471,001",0.0,0.0,0.0,0,0,0,"-1,000","5,000","6,000","-1,000",0,0,0,"470,001",2020-12-15
"=""00757""",統一FANG+       ,"16,000","15,000","1,000",0.0,0.0,0.0,0,0,0,"450,720","10,000",0,"10,000","909,000","468,280","440,720","451,720",2020-12-15
"=""00861""",元大全球未來通訊,"1,000",0,"1,000",0.0,0.0,0.0,0,0,0,"449,006",0,0,0,"588,000","138,994","449,006","450,006",2020-12-15
"=""00875""",國泰網路資安    ,"83,000",0,"83,000",0.0,0.0,0.0,0,0,0,"352,998",0,0,0,"710,000","357,002","352,998","435,998",2020-12-15
4968,立積            ,"1,303,000","899,000","404,000",0.0,0.0,0.0,"59,000",0,"59,000","-35,810","78,090","111,000","-32,910","34,100","37,000","-2,900","427,190",2020-12-15
"=""00738U""",元大道瓊白銀    ,"231,000","226,000","5,000",0.0,0.0,0.0,0,0,0,"417,000",0,0,0,"881,000","464,000","417,000","422,000",2020-12-15
9958,世紀鋼          ,"2,120,000","540,000","1,580,000",0.0,0.0,0.0,0,"602,000","-602,000","-569,080","10,000","267,080","-257,080","12,000","324,000","-312,000","408,920",2020-12-15
9910,豐泰            ,"1,329,329","935,000","394,329",0.0,0.0,0.0,"1,200",0,"1,200",-881,"1,119","4,000","-2,881","2,000",0,"2,000","394,648",2020-12-15
2449,京元電子        ,"1,199,000","2,495,000","-1,296,000",0.0,0.0,0.0,0,"300,000","-300,000","1,989,000","2,010,000","105,000","1,905,000","220,000","136,000","84,000","393,000",2020-12-15
4919,新唐            ,"1,761,656","2,355,000","-593,344",0.0,0.0,0.0,0,0,0,"981,000",0,"58,000","-58,000","1,123,000","84,000","1,039,000","387,656",2020-12-15
2723,美食-KY         ,"2,469,908","2,220,000","249,908",0.0,0.0,0.0,"40,000",0,"40,000","75,000","42,000","17,000","25,000","61,000","11,000","50,000","364,908",2020-12-15
8464,億豐            ,"1,315,986","952,000","363,986",0.0,0.0,0.0,0,"2,000","-2,000","2,699",0,"1,301","-1,301","6,000","2,000","4,000","364,685",2020-12-15
2329,華泰            ,"1,052,000","689,000","363,000",0.0,0.0,0.0,0,0,0,-799,"3,301","4,100",-799,0,0,0,"362,201",2020-12-15
9914,美利達          ,"577,000","220,200","356,800",0.0,0.0,0.0,0,0,0,"-8,000",0,"4,000","-4,000","5,000","9,000","-4,000","348,800",2020-12-15
