證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.94,108.0,10.3,1.33,109/3,2020-12-10
1102,亞泥,6.87,108.0,10.22,1.03,109/3,2020-12-10
1103,嘉泥,5.49,108.0,34.34,0.53,109/3,2020-12-10
1104,環泥,4.46,108.0,11.2,0.82,109/3,2020-12-10
1108,幸福,1.28,108.0,12.72,1.03,109/3,2020-12-10
1109,信大,5.29,108.0,7.79,1.02,109/3,2020-12-10
1110,東泥,0.57,108.0,,1.19,109/3,2020-12-10
1201,味全,6.36,108.0,27.87,1.61,109/3,2020-12-10
1203,味王,2.74,108.0,18.72,1.72,109/3,2020-12-10
1210,大成,4.63,108.0,13.42,1.98,109/3,2020-12-10
1213,大飲,0.0,108.0,,0.77,109/3,2020-12-10
1215,卜蜂,5.57,108.0,10.91,2.42,109/3,2020-12-10
1216,統一,3.82,108.0,17.9,3.37,109/3,2020-12-10
1217,愛之味,0.0,108.0,20.0,0.68,109/3,2020-12-10
1218,泰山,3.76,108.0,15.16,1.7,109/3,2020-12-10
1219,福壽,2.07,108.0,10.29,1.46,109/3,2020-12-10
1220,台榮,4.84,108.0,12.92,0.95,109/3,2020-12-10
1225,福懋油,4.08,108.0,21.55,2.22,109/3,2020-12-10
1227,佳格,4.35,108.0,15.74,3.29,109/3,2020-12-10
1229,聯華,7.71,108.0,19.67,1.82,109/3,2020-12-10
1231,聯華食,4.65,108.0,12.72,2.18,109/3,2020-12-10
1232,大統益,4.02,108.0,18.12,4.83,109/3,2020-12-10
1233,天仁,4.49,108.0,46.84,2.23,109/3,2020-12-10
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-10
1235,興泰,4.19,108.0,33.65,1.01,109/3,2020-12-10
1236,宏亞,2.14,108.0,46.83,0.94,109/3,2020-12-10
1256,鮮活果汁-KY,2.11,108.0,14.13,4.11,109/3,2020-12-10
1301,台塑,4.89,108.0,45.87,1.96,109/3,2020-12-10
1303,南亞,3.24,108.0,30.4,1.7,109/3,2020-12-10
1304,台聚,2.45,108.0,15.69,1.13,109/3,2020-12-10
1305,華夏,4.25,108.0,15.29,1.5,109/3,2020-12-10
1307,三芳,3.62,108.0,41.7,1.12,109/3,2020-12-10
1308,亞聚,5.67,108.0,13.57,1.05,109/3,2020-12-10
1309,台達化,1.87,108.0,9.13,2.06,109/3,2020-12-10
1310,台苯,5.49,108.0,,1.54,109/3,2020-12-10
1312,國喬,0.0,108.0,8.54,0.81,109/3,2020-12-10
1313,聯成,1.19,108.0,27.46,0.96,109/3,2020-12-10
1314,中石化,3.26,108.0,46.05,0.43,109/3,2020-12-10
1315,達新,5.11,108.0,1.79,0.79,109/3,2020-12-10
1316,上曜,0.0,108.0,,1.16,109/3,2020-12-10
1319,東陽,4.76,108.0,19.71,1.04,109/3,2020-12-10
1321,大洋,0.0,108.0,13.39,1.27,109/3,2020-12-10
1323,永裕,4.86,108.0,10.15,1.42,109/3,2020-12-10
1324,地球,3.0,108.0,45.45,0.78,109/3,2020-12-10
1325,恆大,0.31,108.0,5.85,2.6,109/3,2020-12-10
1326,台化,4.79,108.0,37.23,1.54,109/3,2020-12-10
1337,再生-KY,0.0,108.0,,0.38,109/3,2020-12-10
1338,廣華-KY,6.01,108.0,20.57,0.81,109/3,2020-12-10
1339,昭輝,4.69,108.0,28.03,0.92,109/3,2020-12-10
1340,勝悅-KY,0.0,108.0,,0.35,109/3,2020-12-10
1341,富林-KY,8.58,108.0,10.58,2.54,109/3,2020-12-10
1342,八貫,4.15,108.0,20.51,3.53,109/3,2020-12-10
1402,遠東新,5.42,108.0,16.59,0.74,109/3,2020-12-10
1409,新纖,4.42,108.0,8.25,0.66,109/3,2020-12-10
1410,南染,2.94,108.0,40.0,2.0,109/3,2020-12-10
1413,宏洲,0.0,108.0,,1.06,109/3,2020-12-10
1414,東和,1.44,108.0,31.59,0.99,109/3,2020-12-10
1416,廣豐,0.0,108.0,,0.61,109/3,2020-12-10
1417,嘉裕,4.52,108.0,39.46,0.83,109/3,2020-12-10
1418,東華,0.0,108.0,,0.85,109/3,2020-12-10
1419,新紡,2.42,108.0,37.89,1.48,109/3,2020-12-10
1423,利華,0.81,108.0,,0.91,109/3,2020-12-10
1432,大魯閣,25.24,108.0,,1.08,109/3,2020-12-10
1434,福懋,8.2,108.0,13.8,0.96,109/3,2020-12-10
1435,中福,0.0,108.0,,2.67,109/3,2020-12-10
1436,華友聯,6.59,108.0,8.27,1.33,109/3,2020-12-10
1437,勤益控,4.56,108.0,16.62,0.78,109/3,2020-12-10
1438,三地開發,0.0,108.0,26.17,2.23,109/3,2020-12-10
1439,中和,18.25,108.0,62.27,1.1,109/3,2020-12-10
1440,南紡,1.39,108.0,84.41,0.98,109/3,2020-12-10
1441,大東,0.0,108.0,,1.0,109/3,2020-12-10
1442,名軒,5.56,108.0,127.14,1.1,109/3,2020-12-10
1443,立益,0.0,108.0,,1.3,109/3,2020-12-10
1444,力麗,0.0,108.0,,1.25,109/3,2020-12-10
1445,大宇,1.88,108.0,,0.87,109/3,2020-12-10
1446,宏和,1.01,108.0,371.88,2.71,109/3,2020-12-10
1447,力鵬,0.0,108.0,,0.78,109/3,2020-12-10
1449,佳和,0.0,108.0,,2.46,109/3,2020-12-10
1451,年興,0.0,108.0,,0.47,109/3,2020-12-10
1452,宏益,7.29,108.0,30.46,0.9,109/3,2020-12-10
1453,大將,2.29,108.0,,0.69,109/3,2020-12-10
1454,台富,3.13,108.0,,0.69,109/3,2020-12-10
1455,集盛,0.0,108.0,,0.83,109/3,2020-12-10
1456,怡華,0.0,108.0,,1.17,109/3,2020-12-10
1457,宜進,6.87,108.0,5.16,0.71,109/3,2020-12-10
1459,聯發,0.0,108.0,,0.99,109/3,2020-12-10
1460,宏遠,0.0,108.0,,1.06,109/3,2020-12-10
