證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.9,108.0,10.36,1.33,109/3,2020-12-03
1102,亞泥,6.88,108.0,10.21,1.03,109/3,2020-12-03
1103,嘉泥,5.49,108.0,34.34,0.53,109/3,2020-12-03
1104,環泥,4.44,108.0,11.25,0.83,109/3,2020-12-03
1108,幸福,1.29,108.0,12.66,1.03,109/3,2020-12-03
1109,信大,5.34,108.0,7.72,1.01,109/3,2020-12-03
1110,東泥,0.57,108.0,,1.18,109/3,2020-12-03
1201,味全,6.27,108.0,28.27,1.64,109/3,2020-12-03
1203,味王,2.73,108.0,18.77,1.72,109/3,2020-12-03
1210,大成,4.76,108.0,13.06,1.93,109/3,2020-12-03
1213,大飲,0.0,108.0,,0.85,109/3,2020-12-03
1215,卜蜂,5.67,108.0,10.73,2.38,109/3,2020-12-03
1216,統一,3.81,108.0,17.95,3.38,109/3,2020-12-03
1217,愛之味,0.0,108.0,20.1,0.69,109/3,2020-12-03
1218,泰山,3.82,108.0,14.91,1.67,109/3,2020-12-03
1219,福壽,2.06,108.0,10.35,1.46,109/3,2020-12-03
1220,台榮,4.8,108.0,13.02,0.95,109/3,2020-12-03
1225,福懋油,4.09,108.0,21.49,2.21,109/3,2020-12-03
1227,佳格,4.31,108.0,15.89,3.33,109/3,2020-12-03
1229,聯華,7.76,108.0,19.55,1.81,109/3,2020-12-03
1231,聯華食,4.67,108.0,12.66,2.17,109/3,2020-12-03
1232,大統益,4.03,108.0,18.05,4.81,109/3,2020-12-03
1233,天仁,4.46,108.0,47.17,2.25,109/3,2020-12-03
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-03
1235,興泰,4.17,108.0,33.85,1.01,109/3,2020-12-03
1236,宏亞,2.15,108.0,46.5,0.94,109/3,2020-12-03
1256,鮮活果汁-KY,1.97,108.0,15.17,4.41,109/3,2020-12-03
1301,台塑,4.97,108.0,45.15,1.93,109/3,2020-12-03
1303,南亞,3.3,108.0,29.87,1.67,109/3,2020-12-03
1304,台聚,2.52,108.0,15.27,1.1,109/3,2020-12-03
1305,華夏,4.42,108.0,14.71,1.45,109/3,2020-12-03
1307,三芳,3.51,108.0,43.02,1.15,109/3,2020-12-03
1308,亞聚,5.76,108.0,13.36,1.03,109/3,2020-12-03
1309,台達化,1.92,108.0,8.88,2.0,109/3,2020-12-03
1310,台苯,5.76,108.0,,1.46,109/3,2020-12-03
1312,國喬,0.0,108.0,8.54,0.81,109/3,2020-12-03
1313,聯成,1.17,108.0,27.95,0.98,109/3,2020-12-03
1314,中石化,3.23,108.0,46.45,0.44,109/3,2020-12-03
1315,達新,5.03,108.0,1.82,0.8,109/3,2020-12-03
1316,上曜,0.0,108.0,,1.18,109/3,2020-12-03
1319,東陽,4.66,108.0,20.1,1.07,109/3,2020-12-03
1321,大洋,0.0,108.0,13.78,1.3,109/3,2020-12-03
1323,永裕,4.86,108.0,10.17,1.42,109/3,2020-12-03
1324,地球,2.94,108.0,46.36,0.8,109/3,2020-12-03
1325,恆大,0.3,108.0,5.96,2.65,109/3,2020-12-03
1326,台化,4.77,108.0,37.37,1.55,109/3,2020-12-03
1337,再生-KY,0.0,108.0,,0.39,109/3,2020-12-03
1338,廣華-KY,6.02,108.0,20.53,0.81,109/3,2020-12-03
1339,昭輝,4.73,108.0,27.83,0.92,109/3,2020-12-03
1340,勝悅-KY,0.0,108.0,,0.36,109/3,2020-12-03
1341,富林-KY,8.52,108.0,10.65,2.56,109/3,2020-12-03
1342,八貫,4.05,108.0,20.99,3.61,109/3,2020-12-03
1402,遠東新,5.47,108.0,16.41,0.73,109/3,2020-12-03
1409,新纖,4.45,108.0,8.18,0.65,109/3,2020-12-03
