證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.03,108.0,10.17,1.31,109/3,2020-11-20
1102,亞泥,6.8,108.0,10.33,1.04,109/3,2020-11-20
1103,嘉泥,5.71,108.0,33.02,0.5,109/3,2020-11-20
1104,環泥,4.3,108.0,11.63,0.85,109/3,2020-11-20
1108,幸福,1.34,108.0,12.17,0.99,109/3,2020-11-20
1109,信大,5.45,108.0,7.57,0.99,109/3,2020-11-20
1110,東泥,0.59,108.0,,1.15,109/3,2020-11-20
1201,味全,6.44,108.0,27.53,1.59,109/3,2020-11-20
1203,味王,2.74,108.0,18.72,1.72,109/3,2020-11-20
1210,大成,4.77,108.0,13.04,1.92,109/3,2020-11-20
1213,大飲,0.0,108.0,,0.91,109/3,2020-11-20
1215,卜蜂,5.6,108.0,10.85,2.41,109/3,2020-11-20
1216,統一,3.67,108.0,18.61,3.5,109/3,2020-11-20
1217,愛之味,0.0,108.0,20.02,0.68,109/3,2020-11-20
1218,泰山,3.89,108.0,14.65,1.64,109/3,2020-11-20
1219,福壽,2.1,108.0,10.13,1.43,109/3,2020-11-20
1220,台榮,4.92,108.0,12.71,0.93,109/3,2020-11-20
1225,福懋油,3.98,108.0,22.06,2.27,109/3,2020-11-20
1227,佳格,4.3,108.0,15.92,3.33,109/3,2020-11-20
1229,聯華,7.8,108.0,19.43,1.8,109/3,2020-11-20
1231,聯華食,4.74,108.0,12.48,2.14,109/3,2020-11-20
1232,大統益,3.98,108.0,18.27,4.87,109/3,2020-11-20
1233,天仁,4.45,108.0,47.3,2.25,109/3,2020-11-20
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-11-20
1235,興泰,4.39,108.0,32.12,0.96,109/3,2020-11-20
1236,宏亞,2.22,108.0,45.0,0.91,109/3,2020-11-20
1256,鮮活果汁-KY,1.99,108.0,15.0,4.36,109/3,2020-11-20
1301,台塑,4.98,108.0,45.05,1.92,109/3,2020-11-20
1303,南亞,3.35,108.0,29.46,1.65,109/3,2020-11-20
1304,台聚,2.53,108.0,15.23,1.1,109/3,2020-11-20
1305,華夏,4.39,108.0,14.81,1.46,109/3,2020-11-20
1307,三芳,3.52,108.0,42.83,1.15,109/3,2020-11-20
1308,亞聚,5.76,108.0,13.36,1.03,109/3,2020-11-20
1309,台達化,1.94,108.0,8.78,1.98,109/3,2020-11-20
1310,台苯,5.92,108.0,,1.43,109/3,2020-11-20
1312,國喬,0.0,108.0,8.94,0.84,109/3,2020-11-20
1313,聯成,1.28,108.0,25.66,0.9,109/3,2020-11-20
1314,中石化,3.46,108.0,43.35,0.41,109/3,2020-11-20
1315,達新,4.84,108.0,1.89,0.83,109/3,2020-11-20
1316,上曜,0.0,108.0,,1.13,109/3,2020-11-20
1319,東陽,4.66,108.0,20.1,1.07,109/3,2020-11-20
1321,大洋,0.0,108.0,13.72,1.3,109/3,2020-11-20
1323,永裕,4.84,108.0,10.2,1.43,109/3,2020-11-20
1324,地球,3.01,108.0,45.27,0.78,109/3,2020-11-20
1325,恆大,0.27,108.0,6.64,2.95,109/3,2020-11-20
1326,台化,4.76,108.0,37.46,1.55,109/3,2020-11-20
1337,再生-KY,0.0,108.0,,0.33,109/3,2020-11-20
1338,廣華-KY,5.93,108.0,20.85,0.82,109/3,2020-11-20
1339,昭輝,4.62,108.0,28.45,0.94,109/3,2020-11-20
1340,勝悅-KY,0.0,108.0,,0.35,109/3,2020-11-20
1341,富林-KY,8.55,108.0,10.62,2.55,109/3,2020-11-20
1402,遠東新,5.33,108.0,16.86,0.75,109/3,2020-11-20
1409,新纖,4.64,108.0,7.85,0.63,109/3,2020-11-20
1410,南染,3.0,108.0,39.18,1.96,109/3,2020-11-20
1413,宏洲,0.0,108.0,,1.06,109/3,2020-11-20
1414,東和,1.25,108.0,36.36,1.15,109/3,2020-11-20
1416,廣豐,0.0,108.0,,0.61,109/3,2020-11-20
1417,嘉裕,4.46,108.0,40.0,0.84,109/3,2020-11-20
1418,東華,0.0,108.0,,0.89,109/3,2020-11-20
1419,新紡,2.37,108.0,38.72,1.51,109/3,2020-11-20
1423,利華,0.76,108.0,,0.97,109/3,2020-11-20
1432,大魯閣,23.26,108.0,,1.17,109/3,2020-11-20
1434,福懋,7.89,108.0,14.34,1.0,109/3,2020-11-20
1435,中福,0.0,108.0,,2.8,109/3,2020-11-20
1436,華友聯,6.38,108.0,8.54,1.38,109/3,2020-11-20
1437,勤益控,4.62,108.0,16.41,0.77,109/3,2020-11-20
1438,三地開發,0.0,108.0,25.96,2.21,109/3,2020-11-20
1439,中和,17.57,108.0,64.66,1.14,109/3,2020-11-20
1440,南紡,1.38,108.0,85.29,0.99,109/3,2020-11-20
1441,大東,0.0,108.0,,0.95,109/3,2020-11-20
1442,名軒,5.44,108.0,130.0,1.12,109/3,2020-11-20
1443,立益,0.0,108.0,,1.17,109/3,2020-11-20
1444,力麗,0.0,108.0,,1.18,109/3,2020-11-20
1445,大宇,1.77,108.0,,0.93,109/3,2020-11-20
1446,宏和,0.99,108.0,378.75,2.76,109/3,2020-11-20
1447,力鵬,0.0,108.0,,0.7,109/3,2020-11-20
1451,年興,0.0,108.0,,0.45,109/3,2020-11-20
1452,宏益,7.69,108.0,28.89,0.85,109/3,2020-11-20
1453,大將,2.36,108.0,,0.67,109/3,2020-11-20
1454,台富,3.08,108.0,,0.7,109/3,2020-11-20
1455,集盛,0.0,108.0,,0.79,109/3,2020-11-20
1456,怡華,0.0,108.0,,0.8,109/3,2020-11-20
1457,宜進,6.71,108.0,5.28,0.73,109/3,2020-11-20
1459,聯發,0.0,108.0,,0.99,109/3,2020-11-20
1460,宏遠,0.0,108.0,,1.06,109/3,2020-11-20
1463,強盛,4.96,108.0,57.62,0.94,109/3,2020-11-20
1464,得力,8.17,108.0,367.0,1.47,109/3,2020-11-20
1465,偉全,11.63,108.0,,0.78,109/3,2020-11-20
1466,聚隆,0.0,108.0,,1.38,109/3,2020-11-20
1467,南緯,0.0,108.0,,1.52,109/3,2020-11-20
1468,昶和,0.0,108.0,40.83,1.57,109/3,2020-11-20
1470,大統新創,4.46,108.0,48.51,1.63,109/3,2020-11-20
1471,首利,0.0,108.0,3.43,0.92,109/3,2020-11-20
1472,三洋紡,0.0,108.0,,2.59,109/3,2020-11-20
1473,台南,2.78,108.0,,0.75,109/3,2020-11-20
1474,弘裕,0.0,108.0,14.94,0.86,109/3,2020-11-20
1475,業旺,0.0,108.0,,3.83,109/3,2020-11-20
1476,儒鴻,2.67,108.0,29.8,6.42,109/3,2020-11-20
1477,聚陽,2.63,108.0,20.95,4.41,109/3,2020-11-20
1503,士電,3.13,108.0,15.9,1.08,109/3,2020-11-20
1504,東元,3.35,108.0,17.08,0.93,109/3,2020-11-20
1506,正道,0.0,108.0,,1.92,109/3,2020-11-20
1507,永大,3.32,108.0,22.83,2.35,109/3,2020-11-20
1512,瑞利,0.0,108.0,,5.36,109/3,2020-11-20
1513,中興電,2.42,108.0,24.46,2.24,109/3,2020-11-20
1514,亞力,4.45,108.0,17.06,1.82,109/3,2020-11-20
1515,力山,3.86,108.0,21.55,4.24,109/3,2020-11-20
1516,川飛,1.78,108.0,26.65,1.87,109/3,2020-11-20
1517,利奇,1.37,108.0,97.33,1.05,109/3,2020-11-20
1519,華城,1.99,108.0,26.34,3.88,109/3,2020-11-20
1521,大億,7.07,108.0,28.88,2.55,109/3,2020-11-20
1522,堤維西,6.51,108.0,26.54,1.07,109/3,2020-11-20
1524,耿鼎,4.24,108.0,23.58,0.71,109/3,2020-11-20
1525,江申,2.9,108.0,17.31,1.22,109/3,2020-11-20
1526,日馳,1.57,108.0,17.61,2.77,109/3,2020-11-20
1527,鑽全,2.89,108.0,25.78,1.43,109/3,2020-11-20
1528,恩德,1.23,108.0,,0.74,109/3,2020-11-20
1529,樂士,3.48,108.0,15.6,1.3,109/3,2020-11-20
1530,亞崴,4.99,108.0,8.42,0.94,109/3,2020-11-20
1531,高林股,1.68,108.0,,0.62,109/3,2020-11-20
1532,勤美,2.78,108.0,52.46,1.09,109/3,2020-11-20
1533,車王電,1.53,108.0,55.51,1.33,109/3,2020-11-20
1535,中宇,3.54,108.0,24.74,1.45,109/3,2020-11-20
1536,和大,2.07,108.0,98.47,3.96,109/3,2020-11-20
1537,廣隆,7.19,108.0,12.81,2.99,109/3,2020-11-20
1538,正峰,0.0,108.0,,0.9,109/3,2020-11-20
1539,巨庭,4.09,108.0,,1.0,109/3,2020-11-20
1540,喬福,6.71,108.0,,0.96,109/3,2020-11-20
1541,錩泰,0.0,108.0,10.76,2.58,109/3,2020-11-20
1558,伸興,6.33,108.0,11.47,1.76,109/3,2020-11-20
1560,中砂,4.65,108.0,15.28,1.98,109/3,2020-11-20
1568,倉佑,2.73,108.0,261.43,1.26,109/3,2020-11-20
1582,信錦,5.18,108.0,10.8,1.92,109/3,2020-11-20
1583,程泰,5.0,108.0,15.04,1.4,109/3,2020-11-20
1587,吉茂,1.82,108.0,13.03,1.44,109/3,2020-11-20
