證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.18,108.0,9.86,1.29,109/2,2020-09-22
1102,亞泥,7.23,108.0,10.15,1.02,109/2,2020-09-22
1103,嘉泥,6.06,108.0,21.15,0.5,109/2,2020-09-22
1104,環泥,5.04,108.0,11.21,0.75,109/2,2020-09-22
1108,幸福,1.2,108.0,17.29,1.12,109/2,2020-09-22
1109,信大,5.49,108.0,7.43,1.03,109/2,2020-09-22
1110,東泥,0.61,108.0,,1.13,109/2,2020-09-22
1201,味全,6.62,108.0,34.66,1.62,109/2,2020-09-22
1203,味王,2.9,108.0,18.85,1.65,109/2,2020-09-22
1210,大成,5.06,108.0,13.43,1.93,109/2,2020-09-22
1213,大飲,0.0,108.0,,0.96,109/2,2020-09-22
1215,卜蜂,5.95,108.0,11.75,2.32,109/2,2020-09-22
1216,統一,3.91,108.0,19.34,3.53,109/2,2020-09-22
1217,愛之味,0.0,108.0,36.71,0.67,109/2,2020-09-22
1218,泰山,4.04,108.0,15.56,1.66,109/2,2020-09-22
1219,福壽,2.04,108.0,12.6,1.53,109/2,2020-09-22
1220,台榮,5.17,108.0,12.75,0.91,109/2,2020-09-22
1225,福懋油,3.93,108.0,21.92,2.38,109/2,2020-09-22
1227,佳格,4.23,108.0,15.79,3.64,109/2,2020-09-22
1229,聯華,7.96,108.0,16.28,1.61,109/2,2020-09-22
1231,聯華食,5.01,108.0,13.09,2.04,109/2,2020-09-22
1232,大統益,4.2,108.0,19.35,5.04,109/2,2020-09-22
1233,天仁,4.37,108.0,39.78,2.31,109/2,2020-09-22
1234,黑松,5.2,108.0,16.35,0.75,109/2,2020-09-22
1235,興泰,4.34,108.0,27.26,0.79,109/2,2020-09-22
1236,宏亞,2.25,108.0,70.26,0.89,109/2,2020-09-22
1256,鮮活果汁-KY,2.28,108.0,18.53,4.63,109/2,2020-09-22
1301,台塑,5.41,108.0,29.07,1.79,109/2,2020-09-22
1303,南亞,3.65,108.0,31.24,1.55,109/2,2020-09-22
1304,台聚,2.94,108.0,16.67,0.99,109/2,2020-09-22
1305,華夏,4.66,108.0,17.02,1.37,109/2,2020-09-22
1307,三芳,3.75,108.0,33.36,1.08,109/2,2020-09-22
1308,亞聚,5.8,108.0,12.39,1.05,109/2,2020-09-22
1309,台達化,2.06,108.0,17.22,2.11,109/2,2020-09-22
1310,台苯,6.13,108.0,116.43,1.38,109/2,2020-09-22
1312,國喬,0.0,108.0,11.89,0.73,109/2,2020-09-22
1313,聯成,1.48,108.0,96.43,0.87,109/2,2020-09-22
