證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.29,108.0,9.71,1.27,109/2,2020-10-08
1102,亞泥,7.3,108.0,10.05,1.01,109/2,2020-10-08
1103,嘉泥,6.25,108.0,20.51,0.48,109/2,2020-10-08
1104,環泥,5.13,108.0,11.02,0.73,109/2,2020-10-08
1108,幸福,1.33,108.0,15.69,1.02,109/2,2020-10-08
1109,信大,5.56,108.0,7.33,1.01,109/2,2020-10-08
1110,東泥,0.6,108.0,,1.13,109/2,2020-10-08
1201,味全,6.62,108.0,34.66,1.62,109/2,2020-10-08
1203,味王,2.97,108.0,18.39,1.61,109/2,2020-10-08
1210,大成,4.94,108.0,13.75,1.98,109/2,2020-10-08
1213,大飲,0.0,108.0,,1.0,109/2,2020-10-08
1215,卜蜂,5.91,108.0,11.84,2.34,109/2,2020-10-08
1216,統一,3.96,108.0,19.06,3.48,109/2,2020-10-08
1217,愛之味,0.0,108.0,35.76,0.65,109/2,2020-10-08
1218,泰山,4.04,108.0,15.59,1.66,109/2,2020-10-08
1219,福壽,2.09,108.0,12.24,1.49,109/2,2020-10-08
1220,台榮,5.15,108.0,12.8,0.91,109/2,2020-10-08
1225,福懋油,4.05,108.0,21.26,2.3,109/2,2020-10-08
1227,佳格,4.31,108.0,15.49,3.57,109/2,2020-10-08
1229,聯華,7.96,108.0,16.28,1.61,109/2,2020-10-08
1231,聯華食,4.94,108.0,13.3,2.07,109/2,2020-10-08
1232,大統益,4.2,108.0,19.35,5.04,109/2,2020-10-08
1233,天仁,4.41,108.0,39.46,2.29,109/2,2020-10-08
1234,黑松,5.15,108.0,16.5,0.76,109/2,2020-10-08
1235,興泰,4.34,108.0,27.26,0.79,109/2,2020-10-08
1236,宏亞,2.23,108.0,70.79,0.89,109/2,2020-10-08
1256,鮮活果汁-KY,2.21,108.0,19.18,4.79,109/2,2020-10-08
1301,台塑,5.43,108.0,28.93,1.78,109/2,2020-10-08
1303,南亞,3.62,108.0,31.45,1.56,109/2,2020-10-08
1304,台聚,3.06,108.0,16.03,0.95,109/2,2020-10-08
1305,華夏,5.0,108.0,15.87,1.28,109/2,2020-10-08
1307,三芳,3.8,108.0,32.89,1.07,109/2,2020-10-08
1308,亞聚,6.08,108.0,11.83,1.0,109/2,2020-10-08
1309,台達化,2.21,108.0,16.09,1.98,109/2,2020-10-08
1310,台苯,6.13,108.0,116.43,1.38,109/2,2020-10-08
1312,國喬,0.0,108.0,11.8,0.72,109/2,2020-10-08
1313,聯成,1.56,108.0,91.79,0.83,109/2,2020-10-08
1314,中石化,3.54,108.0,22.29,0.4,109/2,2020-10-08
1315,達新,6.82,108.0,1.87,0.8,109/2,2020-10-08
1316,上曜,0.0,108.0,,1.23,109/2,2020-10-08
1319,東陽,4.86,108.0,16.59,1.05,109/2,2020-10-08
1321,大洋,0.0,108.0,14.61,1.32,109/2,2020-10-08
1323,永裕,4.87,108.0,9.52,1.48,109/2,2020-10-08
1324,地球,3.03,108.0,70.71,0.78,109/2,2020-10-08
1325,恆大,0.23,108.0,14.97,4.38,109/2,2020-10-08
1326,台化,5.49,108.0,33.92,1.37,109/2,2020-10-08
1337,再生-KY,0.0,108.0,,0.33,109/2,2020-10-08
1338,廣華-KY,6.46,108.0,20.15,0.78,109/2,2020-10-08
1339,昭輝,4.62,108.0,21.02,0.95,109/2,2020-10-08
1340,勝悅-KY,0.0,108.0,,0.32,109/2,2020-10-08
1341,富林-KY,8.49,108.0,10.89,2.77,109/2,2020-10-08
1402,遠東新,5.74,108.0,15.75,0.71,109/2,2020-10-08
1409,新纖,4.93,108.0,7.38,0.6,109/2,2020-10-08
1410,南染,3.02,108.0,35.21,1.97,109/2,2020-10-08
1413,宏洲,0.0,108.0,,1.09,109/2,2020-10-08
1414,東和,2.34,108.0,35.63,0.62,109/2,2020-10-08
1416,廣豐,0.0,108.0,,0.7,109/2,2020-10-08
1417,嘉裕,4.57,108.0,7.66,0.73,109/2,2020-10-08
1418,東華,0.0,108.0,,0.85,109/2,2020-10-08
1419,新紡,2.33,108.0,35.45,1.57,109/2,2020-10-08
1423,利華,0.82,108.0,,0.88,109/2,2020-10-08
1432,大魯閣,0.0,108.0,,3.09,109/2,2020-10-08
1434,福懋,7.84,108.0,12.86,0.95,109/2,2020-10-08
1435,中福,0.0,108.0,,2.23,109/2,2020-10-08
1436,華友聯,6.55,108.0,14.84,1.43,109/2,2020-10-08
1437,勤益控,4.56,108.0,18.26,0.78,109/2,2020-10-08
1438,三地開發,0.0,108.0,33.17,2.46,109/2,2020-10-08
1439,中和,17.7,108.0,166.18,1.12,109/2,2020-10-08
1440,南紡,1.7,108.0,,0.81,109/2,2020-10-08
1441,大東,0.0,108.0,,0.98,109/2,2020-10-08
1442,名軒,4.81,108.0,44.78,1.32,109/2,2020-10-08
1443,立益,0.0,108.0,,1.07,109/2,2020-10-08
1444,力麗,0.0,108.0,,1.27,109/2,2020-10-08
1445,大宇,2.12,108.0,,0.76,109/2,2020-10-08
1446,宏和,0.94,108.0,,2.95,109/2,2020-10-08
1447,力鵬,0.0,108.0,,0.67,109/2,2020-10-08
1449,佳和,0.0,108.0,,2.79,109/2,2020-10-08
1451,年興,0.0,108.0,,0.46,109/2,2020-10-08
1452,宏益,7.72,108.0,28.27,0.89,109/2,2020-10-08
1453,大將,2.31,108.0,,0.68,109/2,2020-10-08
1454,台富,3.17,108.0,,0.68,109/2,2020-10-08
1455,集盛,0.0,108.0,,0.77,109/2,2020-10-08
1456,怡華,0.0,108.0,333.33,0.78,109/2,2020-10-08
1457,宜進,7.3,108.0,6.12,0.68,109/2,2020-10-08
1459,聯發,0.0,108.0,,0.98,109/2,2020-10-08
1460,宏遠,0.0,108.0,,1.09,109/2,2020-10-08
1463,強盛,4.72,108.0,26.46,0.98,109/2,2020-10-08
1464,得力,8.33,108.0,64.29,1.46,109/2,2020-10-08
1465,偉全,11.45,108.0,,0.78,109/2,2020-10-08
1466,聚隆,0.0,108.0,,1.79,109/2,2020-10-08
1467,南緯,0.0,108.0,,1.67,109/2,2020-10-08
1468,昶和,0.0,108.0,59.05,1.66,109/2,2020-10-08
1470,大統新創,4.44,108.0,38.3,1.67,109/2,2020-10-08
1471,首利,0.0,108.0,,1.69,109/2,2020-10-08
1472,三洋紡,0.0,108.0,,2.19,109/2,2020-10-08
1473,台南,2.76,108.0,,0.74,109/2,2020-10-08
1474,弘裕,0.0,108.0,20.08,0.88,109/2,2020-10-08
1475,業旺,0.0,108.0,,7.01,109/2,2020-10-08
1476,儒鴻,3.13,108.0,25.79,5.85,109/2,2020-10-08
1477,聚陽,3.03,108.0,19.69,4.16,109/2,2020-10-08
1503,士電,3.29,108.0,15.12,1.05,109/2,2020-10-08
1504,東元,3.33,108.0,17.2,0.93,109/2,2020-10-08
1506,正道,0.0,108.0,,1.94,109/2,2020-10-08
1507,永大,3.46,108.0,20.89,2.42,109/2,2020-10-08
1512,瑞利,0.0,108.0,,5.0,109/2,2020-10-08
1513,中興電,2.55,108.0,26.11,2.58,109/2,2020-10-08
1514,亞力,4.49,108.0,16.61,1.79,109/2,2020-10-08
1515,力山,3.49,108.0,27.18,5.06,109/2,2020-10-08
1516,川飛,2.07,108.0,25.41,1.59,109/2,2020-10-08
