證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.94,108.0,10.29,1.32,109/3,2020-12-02
1102,亞泥,6.94,108.0,10.13,1.02,109/3,2020-12-02
1103,嘉泥,5.46,108.0,34.53,0.53,109/3,2020-12-02
1104,環泥,4.41,108.0,11.35,0.83,109/3,2020-12-02
1108,幸福,1.29,108.0,12.66,1.03,109/3,2020-12-02
1109,信大,5.31,108.0,7.75,1.01,109/3,2020-12-02
1110,東泥,0.57,108.0,,1.18,109/3,2020-12-02
1201,味全,6.21,108.0,28.53,1.65,109/3,2020-12-02
1203,味王,2.75,108.0,18.62,1.71,109/3,2020-12-02
1210,大成,4.75,108.0,13.09,1.93,109/3,2020-12-02
1213,大飲,0.0,108.0,,0.87,109/3,2020-12-02
1215,卜蜂,5.64,108.0,10.78,2.39,109/3,2020-12-02
1216,統一,3.83,108.0,17.84,3.36,109/3,2020-12-02
1217,愛之味,0.0,108.0,20.12,0.69,109/3,2020-12-02
1218,泰山,3.83,108.0,14.87,1.67,109/3,2020-12-02
1219,福壽,2.04,108.0,10.43,1.48,109/3,2020-12-02
1220,台榮,4.82,108.0,12.97,0.95,109/3,2020-12-02
1225,福懋油,4.04,108.0,21.72,2.23,109/3,2020-12-02
1227,佳格,4.32,108.0,15.87,3.32,109/3,2020-12-02
1229,聯華,7.75,108.0,19.57,1.82,109/3,2020-12-02
1231,聯華食,4.7,108.0,12.58,2.16,109/3,2020-12-02
1232,大統益,4.05,108.0,17.98,4.79,109/3,2020-12-02
1233,天仁,4.47,108.0,47.11,2.24,109/3,2020-12-02
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-02
1235,興泰,4.3,108.0,32.82,0.98,109/3,2020-12-02
1236,宏亞,2.11,108.0,47.33,0.95,109/3,2020-12-02
1256,鮮活果汁-KY,1.97,108.0,15.17,4.41,109/3,2020-12-02
1301,台塑,5.02,108.0,44.74,1.91,109/3,2020-12-02
1303,南亞,3.35,108.0,29.42,1.65,109/3,2020-12-02
1304,台聚,2.53,108.0,15.19,1.09,109/3,2020-12-02
1305,華夏,4.43,108.0,14.64,1.44,109/3,2020-12-02
1307,三芳,3.51,108.0,43.02,1.15,109/3,2020-12-02
1308,亞聚,5.73,108.0,13.43,1.04,109/3,2020-12-02
1309,台達化,1.91,108.0,8.92,2.01,109/3,2020-12-02
1310,台苯,5.73,108.0,,1.47,109/3,2020-12-02
1312,國喬,0.0,108.0,8.63,0.82,109/3,2020-12-02
1313,聯成,1.19,108.0,27.54,0.97,109/3,2020-12-02
1314,中石化,3.19,108.0,46.95,0.44,109/3,2020-12-02
1315,達新,5.04,108.0,1.81,0.8,109/3,2020-12-02
1316,上曜,0.0,108.0,,1.19,109/3,2020-12-02
1319,東陽,4.65,108.0,20.18,1.07,109/3,2020-12-02
1321,大洋,0.0,108.0,13.78,1.3,109/3,2020-12-02
1323,永裕,4.84,108.0,10.2,1.43,109/3,2020-12-02
1324,地球,2.91,108.0,46.82,0.81,109/3,2020-12-02
1325,恆大,0.29,108.0,6.13,2.73,109/3,2020-12-02
1326,台化,4.82,108.0,37.04,1.53,109/3,2020-12-02
1337,再生-KY,0.0,108.0,,0.44,109/3,2020-12-02
1338,廣華-KY,6.03,108.0,20.49,0.81,109/3,2020-12-02
1339,昭輝,4.68,108.0,28.13,0.93,109/3,2020-12-02
1340,勝悅-KY,0.0,108.0,,0.37,109/3,2020-12-02
1341,富林-KY,8.52,108.0,10.65,2.56,109/3,2020-12-02
1342,八貫,4.0,108.0,21.26,3.66,109/3,2020-12-02
1402,遠東新,5.47,108.0,16.41,0.73,109/3,2020-12-02
1409,新纖,4.4,108.0,8.28,0.66,109/3,2020-12-02
1410,南染,2.96,108.0,39.71,1.99,109/3,2020-12-02
1413,宏洲,0.0,108.0,,1.07,109/3,2020-12-02
1414,東和,1.41,108.0,32.16,1.01,109/3,2020-12-02
1416,廣豐,0.0,108.0,,0.62,109/3,2020-12-02
1417,嘉裕,4.41,108.0,40.54,0.85,109/3,2020-12-02
1418,東華,0.0,108.0,,0.9,109/3,2020-12-02
1419,新紡,2.4,108.0,38.26,1.49,109/3,2020-12-02
1423,利華,0.78,108.0,,0.95,109/3,2020-12-02
1432,大魯閣,23.95,108.0,,1.14,109/3,2020-12-02
1434,福懋,8.08,108.0,14.0,0.98,109/3,2020-12-02
1435,中福,0.0,108.0,,2.82,109/3,2020-12-02
1436,華友聯,6.27,108.0,8.69,1.4,109/3,2020-12-02
1437,勤益控,4.49,108.0,16.9,0.8,109/3,2020-12-02
1438,三地開發,0.0,108.0,26.6,2.27,109/3,2020-12-02
1439,中和,17.42,108.0,65.23,1.15,109/3,2020-12-02
1440,南紡,1.39,108.0,84.41,0.98,109/3,2020-12-02
1441,大東,0.0,108.0,,0.98,109/3,2020-12-02
1442,名軒,5.41,108.0,130.71,1.13,109/3,2020-12-02
1443,立益,0.0,108.0,,1.24,109/3,2020-12-02
1444,力麗,0.0,108.0,,1.16,109/3,2020-12-02
1445,大宇,1.87,108.0,,0.88,109/3,2020-12-02
1446,宏和,0.98,108.0,381.25,2.78,109/3,2020-12-02
1447,力鵬,0.0,108.0,,0.74,109/3,2020-12-02
1449,佳和,0.0,108.0,,2.61,109/3,2020-12-02
