證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.03,108.0,10.17,1.31,109/3,2020-11-18
1102,亞泥,6.74,108.0,10.42,1.05,109/3,2020-11-18
1103,嘉泥,5.7,108.0,33.11,0.51,109/3,2020-11-18
1104,環泥,4.29,108.0,11.65,0.86,109/3,2020-11-18
1108,幸福,1.32,108.0,12.34,1.0,109/3,2020-11-18
1109,信大,5.45,108.0,7.57,0.99,109/3,2020-11-18
1110,東泥,0.59,108.0,,1.15,109/3,2020-11-18
1201,味全,6.46,108.0,27.47,1.59,109/3,2020-11-18
1203,味王,2.74,108.0,18.74,1.72,109/3,2020-11-18
1210,大成,4.71,108.0,13.21,1.95,109/3,2020-11-18
1213,大飲,0.0,108.0,,0.88,109/3,2020-11-18
1215,卜蜂,5.58,108.0,10.9,2.42,109/3,2020-11-18
1216,統一,3.66,108.0,18.66,3.51,109/3,2020-11-18
1217,愛之味,0.0,108.0,19.27,0.66,109/3,2020-11-18
1218,泰山,3.85,108.0,14.78,1.65,109/3,2020-11-18
1219,福壽,2.1,108.0,10.13,1.43,109/3,2020-11-18
1220,台榮,4.8,108.0,13.02,0.95,109/3,2020-11-18
1225,福懋油,3.98,108.0,22.09,2.27,109/3,2020-11-18
1227,佳格,4.27,108.0,16.05,3.36,109/3,2020-11-18
1229,聯華,7.77,108.0,19.53,1.81,109/3,2020-11-18
1231,聯華食,4.74,108.0,12.48,2.14,109/3,2020-11-18
1232,大統益,3.98,108.0,18.27,4.87,109/3,2020-11-18
1233,天仁,4.46,108.0,47.24,2.25,109/3,2020-11-18
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-11-18
1235,興泰,4.36,108.0,32.37,0.97,109/3,2020-11-18
1236,宏亞,2.21,108.0,45.33,0.91,109/3,2020-11-18
1256,鮮活果汁-KY,1.92,108.0,15.58,4.53,109/3,2020-11-18
1301,台塑,5.0,108.0,44.9,1.91,109/3,2020-11-18
1303,南亞,3.36,108.0,29.37,1.64,109/3,2020-11-18
1304,台聚,2.63,108.0,14.62,1.05,109/3,2020-11-18
1305,華夏,4.38,108.0,14.84,1.46,109/3,2020-11-18
1307,三芳,3.76,108.0,40.19,1.08,109/3,2020-11-18
1308,亞聚,5.8,108.0,13.25,1.03,109/3,2020-11-18
1309,台達化,1.94,108.0,8.81,1.98,109/3,2020-11-18
1310,台苯,5.88,108.0,,1.43,109/3,2020-11-18
1312,國喬,0.0,108.0,9.13,0.86,109/3,2020-11-18
1313,聯成,1.34,108.0,24.43,0.86,109/3,2020-11-18
1314,中石化,3.44,108.0,43.55,0.41,109/3,2020-11-18
