證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.22,108.0,9.8,1.28,109/2,2020-11-10
1102,亞泥,7.1,108.0,10.33,1.04,109/2,2020-11-10
1103,嘉泥,5.87,108.0,21.86,0.51,109/2,2020-11-10
1104,環泥,4.95,108.0,11.41,0.76,109/2,2020-11-10
1108,幸福,1.31,108.0,15.9,1.03,109/2,2020-11-10
1109,信大,5.7,108.0,7.15,0.99,109/2,2020-11-10
1110,東泥,0.58,108.0,,1.17,109/2,2020-11-10
1201,味全,6.52,108.0,27.2,1.57,109/3,2020-11-10
1203,味王,2.82,108.0,19.34,1.69,109/2,2020-11-10
1210,大成,4.79,108.0,14.17,2.04,109/2,2020-11-10
1213,大飲,0.0,108.0,,0.89,109/2,2020-11-10
1215,卜蜂,5.6,108.0,12.48,2.46,109/2,2020-11-10
1216,統一,3.89,108.0,19.43,3.55,109/2,2020-11-10
1217,愛之味,0.0,108.0,36.24,0.66,109/2,2020-11-10
1218,泰山,4.0,108.0,15.73,1.68,109/2,2020-11-10
1219,福壽,2.11,108.0,12.15,1.47,109/2,2020-11-10
1220,台榮,5.02,108.0,13.13,0.94,109/2,2020-11-10
1225,福懋油,4.15,108.0,20.76,2.25,109/2,2020-11-10
1227,佳格,4.19,108.0,15.94,3.68,109/2,2020-11-10
1229,聯華,7.79,108.0,16.64,1.65,109/2,2020-11-10
1231,聯華食,4.78,108.0,13.73,2.14,109/2,2020-11-10
1232,大統益,4.02,108.0,18.12,4.83,109/3,2020-11-10
1233,天仁,4.44,108.0,39.13,2.28,109/2,2020-11-10
1234,黑松,5.18,108.0,16.43,0.76,109/2,2020-11-10
1235,興泰,4.33,108.0,27.31,0.79,109/2,2020-11-10
1236,宏亞,2.21,108.0,71.58,0.9,109/2,2020-11-10
1256,鮮活果汁-KY,2.12,108.0,19.93,4.98,109/2,2020-11-10
1301,台塑,5.18,108.0,30.32,1.86,109/2,2020-11-10
1303,南亞,3.49,108.0,28.25,1.58,109/3,2020-11-10
1304,台聚,2.62,108.0,18.73,1.11,109/2,2020-11-10
1305,華夏,4.31,108.0,18.41,1.48,109/2,2020-11-10
1307,三芳,3.8,108.0,32.89,1.07,109/2,2020-11-10
1308,亞聚,5.53,108.0,13.01,1.1,109/2,2020-11-10
1309,台達化,1.94,108.0,18.28,2.24,109/2,2020-11-10
1310,台苯,5.95,108.0,,1.42,109/3,2020-11-10
1312,國喬,0.0,108.0,14.38,0.88,109/2,2020-11-10
1313,聯成,1.36,108.0,24.1,0.85,109/3,2020-11-10
1314,中石化,3.35,108.0,23.55,0.42,109/2,2020-11-10
1315,達新,5.52,108.0,2.32,0.99,109/2,2020-11-10
1316,上曜,0.0,108.0,,1.15,109/2,2020-11-10
1319,東陽,4.65,108.0,17.38,1.1,109/2,2020-11-10
1321,大洋,0.0,108.0,14.57,1.32,109/2,2020-11-10
1323,永裕,4.85,108.0,9.57,1.49,109/2,2020-11-10
1324,地球,3.06,108.0,44.55,0.77,109/3,2020-11-10
