證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.87,108.0,10.39,1.34,109/3,2020-12-04
1102,亞泥,6.83,108.0,10.29,1.04,109/3,2020-12-04
1103,嘉泥,5.46,108.0,34.53,0.53,109/3,2020-12-04
1104,環泥,4.46,108.0,11.2,0.82,109/3,2020-12-04
1108,幸福,1.28,108.0,12.77,1.04,109/3,2020-12-04
1109,信大,5.2,108.0,7.92,1.03,109/3,2020-12-04
1110,東泥,0.57,108.0,,1.19,109/3,2020-12-04
1201,味全,6.24,108.0,28.4,1.64,109/3,2020-12-04
1203,味王,2.7,108.0,19.0,1.74,109/3,2020-12-04
1210,大成,4.74,108.0,13.11,1.93,109/3,2020-12-04
1213,大飲,0.0,108.0,,0.85,109/3,2020-12-04
1215,卜蜂,5.62,108.0,10.82,2.4,109/3,2020-12-04
1216,統一,3.77,108.0,18.11,3.41,109/3,2020-12-04
1217,愛之味,0.0,108.0,20.07,0.69,109/3,2020-12-04
1218,泰山,3.8,108.0,15.0,1.68,109/3,2020-12-04
1219,福壽,2.06,108.0,10.32,1.46,109/3,2020-12-04
1220,台榮,4.78,108.0,13.07,0.96,109/3,2020-12-04
1225,福懋油,4.08,108.0,21.52,2.21,109/3,2020-12-04
1227,佳格,4.31,108.0,15.89,3.33,109/3,2020-12-04
1229,聯華,7.7,108.0,19.69,1.83,109/3,2020-12-04
1231,聯華食,4.69,108.0,12.62,2.17,109/3,2020-12-04
1232,大統益,4.03,108.0,18.05,4.81,109/3,2020-12-04
1233,天仁,4.46,108.0,47.24,2.25,109/3,2020-12-04
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-04
1235,興泰,4.17,108.0,33.85,1.01,109/3,2020-12-04
1236,宏亞,2.13,108.0,47.0,0.95,109/3,2020-12-04
1256,鮮活果汁-KY,1.97,108.0,15.17,4.41,109/3,2020-12-04
1301,台塑,4.93,108.0,45.56,1.94,109/3,2020-12-04
1303,南亞,3.25,108.0,30.36,1.7,109/3,2020-12-04
1304,台聚,2.42,108.0,15.88,1.14,109/3,2020-12-04
1305,華夏,4.24,108.0,15.32,1.51,109/3,2020-12-04
1307,三芳,3.5,108.0,43.11,1.16,109/3,2020-12-04
1308,亞聚,5.67,108.0,13.57,1.05,109/3,2020-12-04
