證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.88,108.0,10.38,1.34,109/3,2020-12-08
1102,亞泥,6.82,108.0,10.3,1.04,109/3,2020-12-08
1103,嘉泥,5.52,108.0,34.15,0.52,109/3,2020-12-08
1104,環泥,4.55,108.0,11.0,0.81,109/3,2020-12-08
1108,幸福,1.3,108.0,12.55,1.02,109/3,2020-12-08
1109,信大,5.23,108.0,7.88,1.03,109/3,2020-12-08
1110,東泥,0.58,108.0,,1.17,109/3,2020-12-08
1201,味全,6.3,108.0,28.13,1.63,109/3,2020-12-08
1203,味王,2.74,108.0,18.74,1.72,109/3,2020-12-08
1210,大成,4.78,108.0,13.01,1.92,109/3,2020-12-08
1213,大飲,0.0,108.0,,0.74,109/3,2020-12-08
1215,卜蜂,5.6,108.0,10.85,2.41,109/3,2020-12-08
1216,統一,3.82,108.0,17.87,3.36,109/3,2020-12-08
1217,愛之味,0.0,108.0,20.51,0.7,109/3,2020-12-08
1218,泰山,3.82,108.0,14.91,1.67,109/3,2020-12-08
1219,福壽,2.07,108.0,10.29,1.46,109/3,2020-12-08
1220,台榮,4.78,108.0,13.07,0.96,109/3,2020-12-08
1225,福懋油,4.11,108.0,21.35,2.2,109/3,2020-12-08
1227,佳格,4.32,108.0,15.84,3.32,109/3,2020-12-08
1229,聯華,7.8,108.0,19.45,1.81,109/3,2020-12-08
1231,聯華食,4.72,108.0,12.54,2.15,109/3,2020-12-08
1232,大統益,4.07,108.0,17.9,4.77,109/3,2020-12-08
1233,天仁,4.49,108.0,46.91,2.24,109/3,2020-12-08
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-08
1235,興泰,4.21,108.0,33.46,1.0,109/3,2020-12-08
1236,宏亞,2.14,108.0,46.83,0.94,109/3,2020-12-08
1256,鮮活果汁-KY,2.05,108.0,14.54,4.23,109/3,2020-12-08
1301,台塑,4.92,108.0,45.66,1.95,109/3,2020-12-08
