證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.99,108.0,10.21,1.32,109/3,2020-12-11
1102,亞泥,6.96,108.0,10.09,1.02,109/3,2020-12-11
1103,嘉泥,5.57,108.0,33.87,0.52,109/3,2020-12-11
1104,環泥,4.6,108.0,10.88,0.8,109/3,2020-12-11
1108,幸福,1.3,108.0,12.55,1.02,109/3,2020-12-11
1109,信大,5.47,108.0,7.53,0.98,109/3,2020-12-11
1110,東泥,0.56,108.0,,1.21,109/3,2020-12-11
1201,味全,6.44,108.0,27.53,1.59,109/3,2020-12-11
1203,味王,2.75,108.0,18.67,1.71,109/3,2020-12-11
1210,大成,4.69,108.0,13.25,1.95,109/3,2020-12-11
1213,大飲,0.0,108.0,,0.77,109/3,2020-12-11
1215,卜蜂,5.6,108.0,10.85,2.41,109/3,2020-12-11
1216,統一,3.84,108.0,17.79,3.35,109/3,2020-12-11
1217,愛之味,0.0,108.0,19.76,0.67,109/3,2020-12-11
1218,泰山,3.76,108.0,15.16,1.7,109/3,2020-12-11
1219,福壽,2.08,108.0,10.21,1.45,109/3,2020-12-11
1220,台榮,4.86,108.0,12.86,0.94,109/3,2020-12-11
1225,福懋油,4.07,108.0,21.59,2.22,109/3,2020-12-11
1227,佳格,4.37,108.0,15.68,3.28,109/3,2020-12-11
1229,聯華,7.76,108.0,19.55,1.81,109/3,2020-12-11
1231,聯華食,4.65,108.0,12.73,2.19,109/3,2020-12-11
1232,大統益,4.02,108.0,18.12,4.83,109/3,2020-12-11
1233,天仁,4.51,108.0,46.71,2.23,109/3,2020-12-11
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-11
1235,興泰,4.13,108.0,34.17,1.02,109/3,2020-12-11
1236,宏亞,2.17,108.0,46.0,0.93,109/3,2020-12-11
1256,鮮活果汁-KY,2.13,108.0,14.01,4.08,109/3,2020-12-11
1301,台塑,4.9,108.0,45.82,1.95,109/3,2020-12-11
1303,南亞,3.22,108.0,30.63,1.71,109/3,2020-12-11
1304,台聚,2.47,108.0,15.58,1.12,109/3,2020-12-11
1305,華夏,4.22,108.0,15.39,1.51,109/3,2020-12-11
1307,三芳,3.66,108.0,41.23,1.1,109/3,2020-12-11
1308,亞聚,5.7,108.0,13.5,1.04,109/3,2020-12-11
1309,台達化,1.9,108.0,8.98,2.02,109/3,2020-12-11
1310,台苯,5.6,108.0,,1.51,109/3,2020-12-11
1312,國喬,0.0,108.0,8.37,0.79,109/3,2020-12-11
1313,聯成,1.18,108.0,27.79,0.98,109/3,2020-12-11
1314,中石化,3.26,108.0,46.0,0.43,109/3,2020-12-11
1315,達新,5.18,108.0,1.77,0.78,109/3,2020-12-11
1316,上曜,0.0,108.0,,1.23,109/3,2020-12-11
1319,東陽,4.68,108.0,20.05,1.06,109/3,2020-12-11
1321,大洋,0.0,108.0,13.37,1.27,109/3,2020-12-11
1323,永裕,4.86,108.0,10.17,1.42,109/3,2020-12-11
1324,地球,3.02,108.0,45.09,0.78,109/3,2020-12-11
1325,恆大,0.33,108.0,5.37,2.39,109/3,2020-12-11
1326,台化,4.81,108.0,37.09,1.54,109/3,2020-12-11
1337,再生-KY,0.0,108.0,,0.37,109/3,2020-12-11
1338,廣華-KY,6.12,108.0,20.21,0.8,109/3,2020-12-11
1339,昭輝,4.73,108.0,27.8,0.92,109/3,2020-12-11
1340,勝悅-KY,0.0,108.0,,0.34,109/3,2020-12-11
1341,富林-KY,8.61,108.0,10.54,2.53,109/3,2020-12-11
1342,八貫,4.22,108.0,20.14,3.47,109/3,2020-12-11
1402,遠東新,5.42,108.0,16.59,0.74,109/3,2020-12-11
1409,新纖,4.49,108.0,8.11,0.65,109/3,2020-12-11
1410,南染,2.93,108.0,40.18,2.01,109/3,2020-12-11
1413,宏洲,0.0,108.0,,1.06,109/3,2020-12-11
1414,東和,1.45,108.0,31.36,0.99,109/3,2020-12-11
1416,廣豐,0.0,108.0,,0.61,109/3,2020-12-11
1417,嘉裕,4.67,108.0,38.21,0.8,109/3,2020-12-11
1418,東華,0.0,108.0,,0.86,109/3,2020-12-11
1419,新紡,2.4,108.0,38.3,1.5,109/3,2020-12-11
1423,利華,0.81,108.0,,0.91,109/3,2020-12-11
1432,大魯閣,26.4,108.0,,1.03,109/3,2020-12-11
1434,福懋,8.33,108.0,13.57,0.95,109/3,2020-12-11
1435,中福,0.0,108.0,,2.61,109/3,2020-12-11
1436,華友聯,6.62,108.0,8.22,1.32,109/3,2020-12-11
1437,勤益控,4.63,108.0,16.38,0.77,109/3,2020-12-11
1438,三地開發,0.0,108.0,26.06,2.22,109/3,2020-12-11
1439,中和,18.35,108.0,61.93,1.09,109/3,2020-12-11
1440,南紡,1.38,108.0,85.29,0.99,109/3,2020-12-11
1441,大東,0.0,108.0,,0.97,109/3,2020-12-11
1442,名軒,5.63,108.0,125.71,1.09,109/3,2020-12-11
1443,立益,0.0,108.0,,1.32,109/3,2020-12-11
1444,力麗,0.0,108.0,,1.24,109/3,2020-12-11
1445,大宇,1.9,108.0,,0.86,109/3,2020-12-11
