證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.01,108.0,10.19,1.31,109/3,2020-12-14
1102,亞泥,7.01,108.0,10.02,1.01,109/3,2020-12-14
1103,嘉泥,5.54,108.0,34.06,0.52,109/3,2020-12-14
1104,環泥,4.5,108.0,11.1,0.82,109/3,2020-12-14
1108,幸福,1.29,108.0,12.61,1.02,109/3,2020-12-14
1109,信大,5.53,108.0,7.45,0.97,109/3,2020-12-14
1110,東泥,0.56,108.0,,1.2,109/3,2020-12-14
1201,味全,6.43,108.0,27.6,1.6,109/3,2020-12-14
1203,味王,2.75,108.0,18.67,1.71,109/3,2020-12-14
1210,大成,4.75,108.0,13.08,1.93,109/3,2020-12-14
1213,大飲,0.0,108.0,,0.77,109/3,2020-12-14
1215,卜蜂,5.65,108.0,10.76,2.39,109/3,2020-12-14
1216,統一,3.85,108.0,17.76,3.34,109/3,2020-12-14
1217,愛之味,0.0,108.0,19.98,0.68,109/3,2020-12-14
1218,泰山,3.64,108.0,15.63,1.75,109/3,2020-12-14
1219,福壽,2.09,108.0,10.19,1.44,109/3,2020-12-14
1220,台榮,4.9,108.0,12.76,0.94,109/3,2020-12-14
1225,福懋油,4.08,108.0,21.55,2.22,109/3,2020-12-14
1227,佳格,4.4,108.0,15.56,3.26,109/3,2020-12-14
1229,聯華,7.72,108.0,19.64,1.82,109/3,2020-12-14
1231,聯華食,4.66,108.0,12.7,2.18,109/3,2020-12-14
1232,大統益,3.97,108.0,18.34,4.89,109/3,2020-12-14
1233,天仁,4.48,108.0,46.97,2.24,109/3,2020-12-14
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-14
1235,興泰,4.14,108.0,34.04,1.02,109/3,2020-12-14
1236,宏亞,2.16,108.0,46.33,0.93,109/3,2020-12-14
1256,鮮活果汁-KY,2.14,108.0,13.96,4.06,109/3,2020-12-14
1301,台塑,4.9,108.0,45.82,1.95,109/3,2020-12-14
1303,南亞,3.24,108.0,30.4,1.7,109/3,2020-12-14
1304,台聚,2.42,108.0,15.88,1.14,109/3,2020-12-14
1305,華夏,4.0,108.0,16.23,1.6,109/3,2020-12-14
1307,三芳,3.64,108.0,41.51,1.11,109/3,2020-12-14
1308,亞聚,5.58,108.0,13.78,1.07,109/3,2020-12-14
1309,台達化,1.86,108.0,9.18,2.07,109/3,2020-12-14
1310,台苯,5.62,108.0,,1.5,109/3,2020-12-14
1312,國喬,0.0,108.0,8.46,0.8,109/3,2020-12-14
1313,聯成,1.16,108.0,28.28,0.99,109/3,2020-12-14
1314,中石化,3.12,108.0,48.05,0.45,109/3,2020-12-14
1315,達新,5.19,108.0,1.76,0.78,109/3,2020-12-14
1316,上曜,0.0,108.0,,1.24,109/3,2020-12-14
1319,東陽,4.74,108.0,19.77,1.05,109/3,2020-12-14
1321,大洋,0.0,108.0,13.57,1.28,109/3,2020-12-14
1323,永裕,4.86,108.0,10.17,1.42,109/3,2020-12-14
1324,地球,3.0,108.0,45.45,0.78,109/3,2020-12-14
1325,恆大,0.33,108.0,5.43,2.41,109/3,2020-12-14
1326,台化,4.83,108.0,36.9,1.53,109/3,2020-12-14
1337,再生-KY,0.0,108.0,,0.37,109/3,2020-12-14
1338,廣華-KY,6.16,108.0,20.07,0.79,109/3,2020-12-14
1339,昭輝,4.71,108.0,27.93,0.92,109/3,2020-12-14
1340,勝悅-KY,0.0,108.0,,0.34,109/3,2020-12-14
1341,富林-KY,8.59,108.0,10.56,2.53,109/3,2020-12-14
1342,八貫,4.17,108.0,20.37,3.51,109/3,2020-12-14
1402,遠東新,5.43,108.0,16.53,0.74,109/3,2020-12-14
1409,新纖,4.47,108.0,8.15,0.65,109/3,2020-12-14
1410,南染,2.92,108.0,40.24,2.01,109/3,2020-12-14
1413,宏洲,0.0,108.0,,1.06,109/3,2020-12-14
1414,東和,1.42,108.0,31.93,1.01,109/3,2020-12-14
1416,廣豐,0.0,108.0,,0.61,109/3,2020-12-14
1417,嘉裕,4.63,108.0,38.57,0.81,109/3,2020-12-14
1418,東華,0.0,108.0,,0.86,109/3,2020-12-14
1419,新紡,2.4,108.0,38.26,1.49,109/3,2020-12-14
1423,利華,0.8,108.0,,0.92,109/3,2020-12-14
1432,大魯閣,26.23,108.0,,1.04,109/3,2020-12-14
1434,福懋,8.33,108.0,13.57,0.95,109/3,2020-12-14
1435,中福,0.0,108.0,,2.87,109/3,2020-12-14
1436,華友聯,6.58,108.0,8.28,1.33,109/3,2020-12-14
1437,勤益控,4.59,108.0,16.52,0.78,109/3,2020-12-14
1438,三地開發,0.0,108.0,25.96,2.21,109/3,2020-12-14
1439,中和,18.38,108.0,61.82,1.09,109/3,2020-12-14
1440,南紡,1.37,108.0,85.59,0.99,109/3,2020-12-14
1441,大東,0.0,108.0,,0.97,109/3,2020-12-14
1442,名軒,5.63,108.0,125.71,1.09,109/3,2020-12-14
1443,立益,0.0,108.0,,1.33,109/3,2020-12-14
1444,力麗,0.0,108.0,,1.2,109/3,2020-12-14
1445,大宇,1.87,108.0,,0.88,109/3,2020-12-14
1446,宏和,1.01,108.0,371.25,2.71,109/3,2020-12-14
1447,力鵬,0.0,108.0,,0.76,109/3,2020-12-14
1449,佳和,0.0,108.0,,2.14,109/3,2020-12-14
1451,年興,0.0,108.0,,0.47,109/3,2020-12-14
1452,宏益,7.12,108.0,31.2,0.92,109/3,2020-12-14
1453,大將,2.31,108.0,,0.68,109/3,2020-12-14
1454,台富,3.13,108.0,,0.69,109/3,2020-12-14
1455,集盛,0.0,108.0,,0.86,109/3,2020-12-14
1456,怡華,0.0,108.0,,1.15,109/3,2020-12-14
1457,宜進,6.83,108.0,5.2,0.72,109/3,2020-12-14
1459,聯發,0.0,108.0,,0.99,109/3,2020-12-14
