證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.95,108.0,10.27,1.32,109/3,2020-12-01
1102,亞泥,6.93,108.0,10.14,1.02,109/3,2020-12-01
1103,嘉泥,5.46,108.0,34.53,0.53,109/3,2020-12-01
1104,環泥,4.31,108.0,11.6,0.85,109/3,2020-12-01
1108,幸福,1.26,108.0,12.93,1.05,109/3,2020-12-01
1109,信大,5.31,108.0,7.75,1.01,109/3,2020-12-01
1110,東泥,0.57,108.0,,1.19,109/3,2020-12-01
1201,味全,6.14,108.0,28.87,1.67,109/3,2020-12-01
1203,味王,2.73,108.0,18.79,1.73,109/3,2020-12-01
1210,大成,4.72,108.0,13.16,1.94,109/3,2020-12-01
1213,大飲,0.0,108.0,,0.85,109/3,2020-12-01
1215,卜蜂,5.63,108.0,10.81,2.4,109/3,2020-12-01
1216,統一,3.78,108.0,18.06,3.4,109/3,2020-12-01
1217,愛之味,0.0,108.0,20.2,0.69,109/3,2020-12-01
1218,泰山,3.84,108.0,14.84,1.66,109/3,2020-12-01
1219,福壽,2.05,108.0,10.4,1.47,109/3,2020-12-01
1220,台榮,4.84,108.0,12.92,0.95,109/3,2020-12-01
1225,福懋油,4.06,108.0,21.62,2.22,109/3,2020-12-01
1227,佳格,4.27,108.0,16.02,3.35,109/3,2020-12-01
1229,聯華,7.7,108.0,19.69,1.83,109/3,2020-12-01
1231,聯華食,4.61,108.0,12.85,2.21,109/3,2020-12-01
1232,大統益,4.02,108.0,18.12,4.83,109/3,2020-12-01
1233,天仁,4.46,108.0,47.24,2.25,109/3,2020-12-01
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-01
1235,興泰,4.34,108.0,32.5,0.97,109/3,2020-12-01
1236,宏亞,2.21,108.0,45.33,0.91,109/3,2020-12-01
1256,鮮活果汁-KY,1.94,108.0,15.36,4.47,109/3,2020-12-01
1301,台塑,5.02,108.0,44.69,1.91,109/3,2020-12-01
1303,南亞,3.33,108.0,29.6,1.66,109/3,2020-12-01
1304,台聚,2.48,108.0,15.54,1.12,109/3,2020-12-01
1305,華夏,4.32,108.0,15.03,1.48,109/3,2020-12-01
1307,三芳,3.51,108.0,43.02,1.15,109/3,2020-12-01
1308,亞聚,5.71,108.0,13.46,1.04,109/3,2020-12-01
1309,台達化,1.86,108.0,9.15,2.06,109/3,2020-12-01
1310,台苯,5.71,108.0,,1.48,109/3,2020-12-01
1312,國喬,0.0,108.0,8.95,0.85,109/3,2020-12-01
1313,聯成,1.16,108.0,28.36,1.0,109/3,2020-12-01
1314,中石化,3.28,108.0,45.75,0.43,109/3,2020-12-01
1315,達新,5.08,108.0,1.8,0.79,109/3,2020-12-01
1316,上曜,0.0,108.0,,1.21,109/3,2020-12-01
1319,東陽,4.58,108.0,20.47,1.08,109/3,2020-12-01
1321,大洋,0.0,108.0,13.86,1.31,109/3,2020-12-01
1323,永裕,4.83,108.0,10.22,1.43,109/3,2020-12-01
1324,地球,2.91,108.0,46.82,0.81,109/3,2020-12-01
1325,恆大,0.28,108.0,6.31,2.81,109/3,2020-12-01
1326,台化,4.82,108.0,37.04,1.53,109/3,2020-12-01
1337,再生-KY,0.0,108.0,,0.4,109/3,2020-12-01
1338,廣華-KY,6.0,108.0,20.6,0.81,109/3,2020-12-01
1339,昭輝,4.67,108.0,28.19,0.93,109/3,2020-12-01
1340,勝悅-KY,0.0,108.0,,0.38,109/3,2020-12-01
1341,富林-KY,8.56,108.0,10.6,2.54,109/3,2020-12-01
1342,八貫,4.02,108.0,21.16,3.64,109/3,2020-12-01
1402,遠東新,5.45,108.0,16.47,0.73,109/3,2020-12-01
1409,新纖,4.44,108.0,8.21,0.66,109/3,2020-12-01
1410,南染,2.99,108.0,39.35,1.97,109/3,2020-12-01
1413,宏洲,0.0,108.0,,1.07,109/3,2020-12-01
1414,東和,1.32,108.0,34.43,1.08,109/3,2020-12-01
1416,廣豐,0.0,108.0,,0.63,109/3,2020-12-01
1417,嘉裕,4.31,108.0,41.43,0.87,109/3,2020-12-01
1418,東華,0.0,108.0,,0.87,109/3,2020-12-01
1419,新紡,2.37,108.0,38.67,1.51,109/3,2020-12-01
1423,利華,0.77,108.0,,0.95,109/3,2020-12-01
1432,大魯閣,23.53,108.0,,1.16,109/3,2020-12-01
1434,福懋,8.05,108.0,14.05,0.98,109/3,2020-12-01
1435,中福,0.0,108.0,,2.83,109/3,2020-12-01
1436,華友聯,6.31,108.0,8.64,1.39,109/3,2020-12-01
1437,勤益控,4.49,108.0,16.9,0.8,109/3,2020-12-01
1438,三地開發,0.0,108.0,27.02,2.3,109/3,2020-12-01
1439,中和,17.39,108.0,65.34,1.15,109/3,2020-12-01
1440,南紡,1.37,108.0,85.59,0.99,109/3,2020-12-01
1441,大東,0.0,108.0,,0.97,109/3,2020-12-01
1442,名軒,5.41,108.0,130.71,1.13,109/3,2020-12-01
1443,立益,0.0,108.0,,1.18,109/3,2020-12-01
1444,力麗,0.0,108.0,,1.17,109/3,2020-12-01
1445,大宇,1.84,108.0,,0.89,109/3,2020-12-01
1446,宏和,0.98,108.0,383.13,2.79,109/3,2020-12-01
1447,力鵬,0.0,108.0,,0.73,109/3,2020-12-01
1449,佳和,0.0,108.0,,2.62,109/3,2020-12-01
1451,年興,0.0,108.0,,0.47,109/3,2020-12-01
1452,宏益,7.14,108.0,31.11,0.92,109/3,2020-12-01
1453,大將,2.31,108.0,,0.68,109/3,2020-12-01
1454,台富,3.13,108.0,,0.69,109/3,2020-12-01
1455,集盛,0.0,108.0,,0.8,109/3,2020-12-01
1456,怡華,0.0,108.0,,1.54,109/3,2020-12-01
1457,宜進,6.67,108.0,5.32,0.73,109/3,2020-12-01
1459,聯發,0.0,108.0,,1.02,109/3,2020-12-01
1460,宏遠,0.0,108.0,,1.06,109/3,2020-12-01
1463,強盛,4.94,108.0,57.86,0.94,109/3,2020-12-01
1464,得力,7.92,108.0,379.0,1.52,109/3,2020-12-01
1465,偉全,11.49,108.0,,0.79,109/3,2020-12-01
1466,聚隆,0.0,108.0,,1.28,109/3,2020-12-01
1467,南緯,0.0,108.0,,1.44,109/3,2020-12-01
1468,昶和,0.0,108.0,40.83,1.57,109/3,2020-12-01
1470,大統新創,4.43,108.0,48.78,1.64,109/3,2020-12-01
1471,首利,0.0,108.0,3.46,0.92,109/3,2020-12-01
1472,三洋紡,0.0,108.0,,2.69,109/3,2020-12-01
1473,台南,2.76,108.0,,0.75,109/3,2020-12-01
1474,弘裕,0.0,108.0,15.29,0.88,109/3,2020-12-01
1475,業旺,0.0,108.0,,3.94,109/3,2020-12-01
1476,儒鴻,2.75,108.0,28.87,6.22,109/3,2020-12-01
1477,聚陽,2.67,108.0,20.62,4.34,109/3,2020-12-01
1503,士電,3.21,108.0,15.48,1.05,109/3,2020-12-01
1504,東元,3.35,108.0,17.08,0.93,109/3,2020-12-01
1506,正道,0.0,108.0,,1.89,109/3,2020-12-01
1507,永大,3.6,108.0,21.07,2.17,109/3,2020-12-01
1512,瑞利,0.0,108.0,,5.23,109/3,2020-12-01
1513,中興電,2.07,108.0,28.57,2.61,109/3,2020-12-01
1514,亞力,4.4,108.0,17.25,1.84,109/3,2020-12-01
1515,力山,3.9,108.0,21.33,4.2,109/3,2020-12-01
1516,川飛,1.92,108.0,24.82,1.74,109/3,2020-12-01
1517,利奇,1.33,108.0,100.0,1.08,109/3,2020-12-01
1519,華城,1.87,108.0,28.06,4.14,109/3,2020-12-01
1521,大億,7.12,108.0,28.67,2.53,109/3,2020-12-01
1522,堤維西,6.42,108.0,26.91,1.08,109/3,2020-12-01
1524,耿鼎,4.02,108.0,24.85,0.75,109/3,2020-12-01
1525,江申,2.87,108.0,17.51,1.24,109/3,2020-12-01
1526,日馳,1.58,108.0,17.54,2.76,109/3,2020-12-01
1527,鑽全,2.79,108.0,26.71,1.48,109/3,2020-12-01
1528,恩德,1.2,108.0,,0.76,109/3,2020-12-01
1529,樂士,2.91,108.0,18.7,1.55,109/3,2020-12-01
1530,亞崴,4.92,108.0,8.54,0.95,109/3,2020-12-01
1531,高林股,1.61,108.0,,0.65,109/3,2020-12-01
1532,勤美,2.67,108.0,54.68,1.14,109/3,2020-12-01
1533,車王電,1.49,108.0,56.78,1.36,109/3,2020-12-01
1535,中宇,3.48,108.0,25.18,1.47,109/3,2020-12-01
1536,和大,2.06,108.0,98.88,3.98,109/3,2020-12-01
1537,廣隆,7.07,108.0,13.04,3.04,109/3,2020-12-01
1538,正峰,0.0,108.0,,0.9,109/3,2020-12-01
1539,巨庭,4.0,108.0,,1.03,109/3,2020-12-01
1540,喬福,6.62,108.0,,0.98,109/3,2020-12-01
1541,錩泰,0.0,108.0,10.68,2.56,109/3,2020-12-01
1558,伸興,6.33,108.0,11.47,1.76,109/3,2020-12-01
1560,中砂,4.47,108.0,15.89,2.06,109/3,2020-12-01
1568,倉佑,2.01,108.0,355.0,1.72,109/3,2020-12-01
1582,信錦,5.23,108.0,10.71,1.9,109/3,2020-12-01
1583,程泰,4.95,108.0,15.19,1.42,109/3,2020-12-01
1587,吉茂,1.8,108.0,13.15,1.45,109/3,2020-12-01
1589,永冠-KY,0.57,108.0,20.46,1.19,109/3,2020-12-01
1590,亞德客-KY,0.56,108.0,39.26,7.88,109/3,2020-12-01
1592,英瑞-KY,0.0,108.0,,0.69,109/3,2020-12-01
1598,岱宇,0.93,108.0,21.36,4.08,109/3,2020-12-01
1603,華電,1.77,108.0,11.37,0.84,109/3,2020-12-01
1604,聲寶,5.68,108.0,5.73,1.31,109/3,2020-12-01
1605,華新,2.66,108.0,10.79,0.81,109/3,2020-12-01
1608,華榮,5.37,108.0,12.95,0.82,109/3,2020-12-01
1609,大亞,1.44,108.0,15.22,1.64,109/3,2020-12-01
1611,中電,10.3,108.0,4.66,0.9,109/3,2020-12-01
1612,宏泰,2.75,108.0,14.52,1.15,109/3,2020-12-01
1614,三洋電,2.14,108.0,26.51,1.9,109/3,2020-12-01
1615,大山,8.33,108.0,9.52,1.55,109/3,2020-12-01
1616,億泰,0.0,108.0,,0.79,109/3,2020-12-01
1617,榮星,2.05,108.0,15.05,1.21,109/3,2020-12-01
1618,合機,2.26,108.0,13.3,0.76,109/3,2020-12-01
1626,艾美特-KY,3.85,108.0,34.67,1.2,109/3,2020-12-01
1701,中化,3.42,108.0,13.07,1.06,109/3,2020-12-01
1702,南僑,4.43,108.0,11.36,1.86,109/3,2020-12-01
1707,葡萄王,3.68,108.0,18.8,3.89,109/3,2020-12-01
1708,東鹼,7.08,108.0,29.74,0.89,109/3,2020-12-01
1709,和益,3.39,108.0,15.86,1.0,109/3,2020-12-01
1710,東聯,1.69,108.0,,1.24,109/3,2020-12-01
1711,永光,1.76,108.0,53.13,1.19,109/3,2020-12-01
1712,興農,6.25,108.0,11.43,1.23,109/3,2020-12-01
1713,國化,3.14,108.0,38.54,1.23,109/3,2020-12-01
1714,和桐,0.0,108.0,5.73,0.83,109/3,2020-12-01
1717,長興,4.01,108.0,18.76,2.03,109/3,2020-12-01
1718,中纖,0.0,108.0,7.32,0.51,109/3,2020-12-01
1720,生達,3.86,108.0,15.06,1.82,109/3,2020-12-01
1721,三晃,0.0,108.0,4.1,0.82,109/3,2020-12-01
1722,台肥,4.14,108.0,19.96,1.02,109/3,2020-12-01
1723,中碳,4.93,108.0,35.61,3.82,109/3,2020-12-01
1724,台硝,3.89,108.0,49.42,0.85,109/3,2020-12-01
1725,元禎,5.36,108.0,16.59,0.86,109/3,2020-12-01
1726,永記,4.44,108.0,14.15,1.38,109/3,2020-12-01
1727,中華化,1.8,108.0,,0.96,109/3,2020-12-01
1730,花仙子,5.24,108.0,12.64,2.67,109/3,2020-12-01
1731,美吾華,3.5,108.0,14.66,1.24,109/3,2020-12-01
1732,毛寶,0.0,108.0,26.46,1.93,109/3,2020-12-01
1733,五鼎,4.37,108.0,17.64,1.56,109/3,2020-12-01
1734,杏輝,0.63,108.0,88.47,1.98,109/3,2020-12-01
1735,日勝化,3.78,108.0,37.39,1.21,109/3,2020-12-01
1736,喬山,1.69,108.0,28.04,2.88,109/3,2020-12-01
1737,臺鹽,4.61,108.0,20.47,1.07,109/3,2020-12-01
1760,寶齡富錦,1.9,108.0,153.06,6.05,109/3,2020-12-01
1762,中化生,1.26,108.0,10.46,2.05,109/3,2020-12-01
1773,勝一,4.04,108.0,16.99,3.46,109/3,2020-12-01
1776,展宇,5.31,108.0,29.09,1.18,109/3,2020-12-01
1783,和康生,3.34,108.0,31.99,1.93,109/3,2020-12-01
1786,科妍,2.87,108.0,29.82,2.87,109/3,2020-12-01
1789,神隆,0.93,108.0,70.73,2.19,109/3,2020-12-01
1795,美時,0.0,108.0,24.28,2.5,109/3,2020-12-01
1802,台玻,0.0,108.0,192.22,1.25,109/3,2020-12-01
1805,寶徠,0.0,108.0,,1.62,109/3,2020-12-01
1806,冠軍,0.0,108.0,,0.56,109/3,2020-12-01
1808,潤隆,4.88,108.0,22.53,3.89,109/3,2020-12-01
1809,中釉,1.48,108.0,,0.78,109/3,2020-12-01
1810,和成,0.0,108.0,56.88,0.63,109/3,2020-12-01
1817,凱撒衛,5.19,108.0,11.13,1.43,109/3,2020-12-01
1903,士紙,0.0,108.0,,6.29,109/3,2020-12-01
1904,正隆,3.76,108.0,10.44,1.45,109/3,2020-12-01
1905,華紙,0.0,108.0,,0.76,109/3,2020-12-01
1906,寶隆,3.19,108.0,31.3,0.53,109/3,2020-12-01
1907,永豐餘,2.86,108.0,8.89,0.97,109/3,2020-12-01
1909,榮成,1.55,108.0,24.56,1.07,109/3,2020-12-01
2002,中鋼,2.16,108.0,,1.25,109/3,2020-12-01
2006,東和鋼鐵,3.99,108.0,14.05,1.38,109/3,2020-12-01
