證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.06,108.0,10.12,1.3,109/3,2020-12-15
1102,亞泥,6.98,108.0,10.06,1.01,109/3,2020-12-15
1103,嘉泥,5.6,108.0,33.68,0.52,109/3,2020-12-15
1104,環泥,4.47,108.0,11.18,0.82,109/3,2020-12-15
1108,幸福,1.3,108.0,12.5,1.02,109/3,2020-12-15
1109,信大,5.54,108.0,7.43,0.97,109/3,2020-12-15
1110,東泥,0.57,108.0,,1.19,109/3,2020-12-15
1201,味全,6.43,108.0,27.6,1.6,109/3,2020-12-15
1203,味王,2.74,108.0,18.69,1.72,109/3,2020-12-15
1210,大成,4.81,108.0,12.91,1.9,109/3,2020-12-15
1213,大飲,0.0,108.0,,0.79,109/3,2020-12-15
1215,卜蜂,5.68,108.0,10.7,2.37,109/3,2020-12-15
1216,統一,3.85,108.0,17.76,3.34,109/3,2020-12-15
1217,愛之味,0.0,108.0,19.9,0.68,109/3,2020-12-15
1218,泰山,3.63,108.0,15.7,1.76,109/3,2020-12-15
1219,福壽,2.11,108.0,10.08,1.43,109/3,2020-12-15
1220,台榮,4.96,108.0,12.6,0.92,109/3,2020-12-15
1225,福懋油,4.12,108.0,21.32,2.19,109/3,2020-12-15
1227,佳格,4.42,108.0,15.48,3.24,109/3,2020-12-15
1229,聯華,7.79,108.0,19.48,1.81,109/3,2020-12-15
1231,聯華食,4.69,108.0,12.61,2.16,109/3,2020-12-15
1232,大統益,3.97,108.0,18.34,4.89,109/3,2020-12-15
1233,天仁,4.49,108.0,46.84,2.23,109/3,2020-12-15
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-12-15
1235,興泰,4.57,108.0,30.83,0.92,109/3,2020-12-15
1236,宏亞,2.17,108.0,46.17,0.93,109/3,2020-12-15
1256,鮮活果汁-KY,2.18,108.0,13.7,3.98,109/3,2020-12-15
1301,台塑,4.93,108.0,45.51,1.94,109/3,2020-12-15
1303,南亞,3.27,108.0,30.13,1.69,109/3,2020-12-15
1304,台聚,2.43,108.0,15.81,1.14,109/3,2020-12-15
1305,華夏,4.28,108.0,15.16,1.49,109/3,2020-12-15
1307,三芳,3.7,108.0,40.85,1.09,109/3,2020-12-15
1308,亞聚,5.67,108.0,13.57,1.05,109/3,2020-12-15
1309,台達化,1.89,108.0,9.02,2.03,109/3,2020-12-15
1310,台苯,5.76,108.0,,1.46,109/3,2020-12-15
1312,國喬,0.0,108.0,8.14,0.77,109/3,2020-12-15
1313,聯成,1.16,108.0,28.28,0.99,109/3,2020-12-15
1314,中石化,3.19,108.0,46.95,0.44,109/3,2020-12-15
1315,達新,5.21,108.0,1.75,0.77,109/3,2020-12-15
1316,上曜,0.0,108.0,,1.2,109/3,2020-12-15
1319,東陽,4.81,108.0,19.51,1.03,109/3,2020-12-15
1321,大洋,0.0,108.0,13.37,1.27,109/3,2020-12-15
1323,永裕,4.87,108.0,10.14,1.42,109/3,2020-12-15
1324,地球,3.01,108.0,45.32,0.78,109/3,2020-12-15
1325,恆大,0.34,108.0,5.28,2.35,109/3,2020-12-15
1326,台化,4.85,108.0,36.76,1.52,109/3,2020-12-15
1337,再生-KY,0.0,108.0,,0.37,109/3,2020-12-15
1338,廣華-KY,6.33,108.0,19.54,0.77,109/3,2020-12-15
1339,昭輝,4.74,108.0,27.73,0.91,109/3,2020-12-15
1340,勝悅-KY,0.0,108.0,,0.34,109/3,2020-12-15
1341,富林-KY,8.7,108.0,10.44,2.5,109/3,2020-12-15
1342,八貫,4.19,108.0,20.31,3.5,109/3,2020-12-15
1402,遠東新,5.52,108.0,16.26,0.72,109/3,2020-12-15
1409,新纖,4.45,108.0,8.18,0.65,109/3,2020-12-15
1410,南染,2.93,108.0,40.18,2.01,109/3,2020-12-15
1413,宏洲,0.0,108.0,,1.06,109/3,2020-12-15
1414,東和,1.49,108.0,30.45,0.96,109/3,2020-12-15
1416,廣豐,0.0,108.0,,0.61,109/3,2020-12-15
1417,嘉裕,4.67,108.0,38.21,0.8,109/3,2020-12-15
1418,東華,0.0,108.0,,0.87,109/3,2020-12-15
1419,新紡,2.41,108.0,38.03,1.49,109/3,2020-12-15
1423,利華,0.8,108.0,,0.92,109/3,2020-12-15
1432,大魯閣,26.76,108.0,,1.02,109/3,2020-12-15
1434,福懋,8.36,108.0,13.53,0.94,109/3,2020-12-15
1435,中福,0.0,108.0,,3.16,109/3,2020-12-15
1436,華友聯,6.58,108.0,8.28,1.33,109/3,2020-12-15
1437,勤益控,4.62,108.0,16.41,0.77,109/3,2020-12-15
1438,三地開發,0.0,108.0,25.96,2.21,109/3,2020-12-15
1439,中和,18.38,108.0,61.82,1.09,109/3,2020-12-15
1440,南紡,1.39,108.0,84.71,0.98,109/3,2020-12-15
1441,大東,0.0,108.0,,0.96,109/3,2020-12-15
1442,名軒,5.61,108.0,126.07,1.09,109/3,2020-12-15
1443,立益,0.0,108.0,,1.34,109/3,2020-12-15
1444,力麗,0.0,108.0,,1.16,109/3,2020-12-15
1445,大宇,1.89,108.0,,0.87,109/3,2020-12-15
1446,宏和,1.02,108.0,369.38,2.69,109/3,2020-12-15
1447,力鵬,0.0,108.0,,0.73,109/3,2020-12-15
1449,佳和,0.0,108.0,,2.2,109/3,2020-12-15
1451,年興,0.0,108.0,,0.46,109/3,2020-12-15
1452,宏益,7.19,108.0,30.93,0.92,109/3,2020-12-15
1453,大將,2.33,108.0,,0.67,109/3,2020-12-15
1454,台富,3.14,108.0,,0.69,109/3,2020-12-15
1455,集盛,0.0,108.0,,0.83,109/3,2020-12-15
1456,怡華,0.0,108.0,,1.07,109/3,2020-12-15
1457,宜進,6.92,108.0,5.12,0.71,109/3,2020-12-15
1459,聯發,0.0,108.0,,0.99,109/3,2020-12-15
1460,宏遠,0.0,108.0,,1.07,109/3,2020-12-15
1463,強盛,4.84,108.0,59.05,0.96,109/3,2020-12-15
1464,得力,8.22,108.0,365.0,1.47,109/3,2020-12-15
1465,偉全,11.72,108.0,,0.77,109/3,2020-12-15
1466,聚隆,0.0,108.0,,1.18,109/3,2020-12-15
1467,南緯,0.0,108.0,,1.62,109/3,2020-12-15
1468,昶和,0.0,108.0,40.33,1.55,109/3,2020-12-15
1470,大統新創,4.51,108.0,47.97,1.61,109/3,2020-12-15
1471,首利,0.0,108.0,3.19,0.85,109/3,2020-12-15
1472,三洋紡,0.0,108.0,,2.62,109/3,2020-12-15
1473,台南,2.78,108.0,,0.75,109/3,2020-12-15
1474,弘裕,0.0,108.0,14.76,0.85,109/3,2020-12-15
1475,業旺,0.0,108.0,,3.96,109/3,2020-12-15
1476,儒鴻,2.83,108.0,28.11,6.05,109/3,2020-12-15
1477,聚陽,2.65,108.0,20.84,4.39,109/3,2020-12-15
1503,士電,3.19,108.0,15.56,1.06,109/3,2020-12-15
1504,東元,3.61,108.0,15.84,0.86,109/3,2020-12-15
1506,正道,0.0,108.0,,1.99,109/3,2020-12-15
1507,永大,3.64,108.0,20.86,2.15,109/3,2020-12-15
1512,瑞利,0.0,108.0,,4.86,109/3,2020-12-15
1513,中興電,2.32,108.0,25.52,2.34,109/3,2020-12-15
1514,亞力,4.61,108.0,16.49,1.76,109/3,2020-12-15
1515,力山,3.91,108.0,21.25,4.18,109/3,2020-12-15
1516,川飛,1.79,108.0,26.52,1.86,109/3,2020-12-15
1517,利奇,1.39,108.0,96.0,1.04,109/3,2020-12-15
1519,華城,1.97,108.0,26.54,3.92,109/3,2020-12-15
1521,大億,7.27,108.0,28.06,2.48,109/3,2020-12-15
1522,堤維西,6.53,108.0,26.48,1.07,109/3,2020-12-15
1524,耿鼎,4.18,108.0,23.95,0.73,109/3,2020-12-15
1525,江申,3.1,108.0,16.23,1.15,109/3,2020-12-15
1526,日馳,1.61,108.0,17.21,2.71,109/3,2020-12-15
1527,鑽全,2.93,108.0,25.47,1.41,109/3,2020-12-15
1528,恩德,1.13,108.0,,0.81,109/3,2020-12-15
1529,樂士,3.03,108.0,17.93,1.49,109/3,2020-12-15
1530,亞崴,4.93,108.0,8.52,0.95,109/3,2020-12-15
1531,高林股,1.54,108.0,,0.68,109/3,2020-12-15
1532,勤美,2.96,108.0,49.37,1.03,109/3,2020-12-15
1533,車王電,1.53,108.0,55.42,1.33,109/3,2020-12-15
1535,中宇,3.57,108.0,24.53,1.43,109/3,2020-12-15
1536,和大,1.9,108.0,107.14,4.31,109/3,2020-12-15
1537,廣隆,7.07,108.0,13.04,3.04,109/3,2020-12-15
1538,正峰,0.0,108.0,,0.82,109/3,2020-12-15
1539,巨庭,4.18,108.0,,0.98,109/3,2020-12-15
1540,喬福,6.71,108.0,,0.96,109/3,2020-12-15
1541,錩泰,0.0,108.0,10.97,2.63,109/3,2020-12-15
1558,伸興,6.31,108.0,11.51,1.76,109/3,2020-12-15
1560,中砂,4.38,108.0,16.22,2.11,109/3,2020-12-15
1568,倉佑,2.24,108.0,318.57,1.54,109/3,2020-12-15
1582,信錦,5.32,108.0,10.52,1.87,109/3,2020-12-15
1583,程泰,5.04,108.0,14.91,1.39,109/3,2020-12-15
1587,吉茂,1.94,108.0,12.23,1.35,109/3,2020-12-15
1589,永冠-KY,0.62,108.0,18.7,1.09,109/3,2020-12-15
1590,亞德客-KY,0.55,108.0,39.54,7.93,109/3,2020-12-15
1592,英瑞-KY,0.0,108.0,,0.66,109/3,2020-12-15
1598,岱宇,1.0,108.0,19.93,3.81,109/3,2020-12-15
1603,華電,1.79,108.0,11.22,0.83,109/3,2020-12-15
1604,聲寶,5.86,108.0,5.55,1.27,109/3,2020-12-15
1605,華新,2.76,108.0,10.37,0.78,109/3,2020-12-15
1608,華榮,5.52,108.0,12.58,0.8,109/3,2020-12-15
1609,大亞,1.52,108.0,14.38,1.55,109/3,2020-12-15
1611,中電,10.39,108.0,4.62,0.89,109/3,2020-12-15
1612,宏泰,2.83,108.0,14.12,1.12,109/3,2020-12-15
1614,三洋電,2.33,108.0,24.38,1.75,109/3,2020-12-15
1615,大山,8.6,108.0,9.23,1.5,109/3,2020-12-15
1616,億泰,0.0,108.0,,0.75,109/3,2020-12-15
1617,榮星,2.2,108.0,14.07,1.14,109/3,2020-12-15
1618,合機,2.45,108.0,12.25,0.7,109/3,2020-12-15
1626,艾美特-KY,4.52,108.0,29.47,1.02,109/3,2020-12-15
1701,中化,3.51,108.0,12.74,1.04,109/3,2020-12-15
1702,南僑,4.52,108.0,11.13,1.82,109/3,2020-12-15
1707,葡萄王,3.64,108.0,19.01,3.94,109/3,2020-12-15
