證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.1,108.0,10.06,1.3,109/3,2020-11-13
1102,亞泥,6.86,108.0,10.23,1.03,109/3,2020-11-13
1103,嘉泥,5.85,108.0,32.26,0.49,109/3,2020-11-13
1104,環泥,4.71,108.0,12.01,0.8,109/2,2020-11-13
1108,幸福,1.29,108.0,16.11,1.05,109/2,2020-11-13
1109,信大,5.51,108.0,7.47,0.97,109/3,2020-11-13
1110,東泥,0.58,108.0,,1.16,109/3,2020-11-13
1201,味全,6.39,108.0,27.73,1.6,109/3,2020-11-13
1203,味王,2.82,108.0,18.21,1.67,109/3,2020-11-13
1210,大成,4.72,108.0,13.16,1.94,109/3,2020-11-13
1213,大飲,0.0,108.0,,0.88,109/3,2020-11-13
1215,卜蜂,5.55,108.0,10.96,2.43,109/3,2020-11-13
1216,統一,3.65,108.0,18.69,3.52,109/3,2020-11-13
1217,愛之味,0.0,108.0,19.0,0.65,109/3,2020-11-13
1218,泰山,3.91,108.0,14.56,1.63,109/3,2020-11-13
1219,福壽,2.11,108.0,10.08,1.43,109/3,2020-11-13
1220,台榮,4.92,108.0,12.71,0.93,109/3,2020-11-13
1225,福懋油,4.12,108.0,21.32,2.19,109/3,2020-11-13
1227,佳格,4.15,108.0,16.49,3.45,109/3,2020-11-13
1229,聯華,7.6,108.0,17.04,1.69,109/2,2020-11-13
1231,聯華食,4.72,108.0,12.54,2.15,109/3,2020-11-13
1232,大統益,4.02,108.0,18.12,4.83,109/3,2020-11-13
1233,天仁,4.45,108.0,47.3,2.25,109/3,2020-11-13
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-11-13
1235,興泰,4.34,108.0,27.26,0.79,109/2,2020-11-13
1236,宏亞,2.22,108.0,45.0,0.91,109/3,2020-11-13
1256,鮮活果汁-KY,1.99,108.0,15.0,4.36,109/3,2020-11-13
1301,台塑,5.06,108.0,44.39,1.89,109/3,2020-11-13
1303,南亞,3.43,108.0,28.74,1.61,109/3,2020-11-13
1304,台聚,2.6,108.0,14.81,1.06,109/3,2020-11-13
1305,華夏,4.33,108.0,15.0,1.48,109/3,2020-11-13
1307,三芳,3.74,108.0,40.38,1.08,109/3,2020-11-13
1308,亞聚,5.58,108.0,13.78,1.07,109/3,2020-11-13
1309,台達化,1.92,108.0,8.86,2.0,109/3,2020-11-13
1310,台苯,5.93,108.0,,1.42,109/3,2020-11-13
1312,國喬,0.0,108.0,8.76,0.83,109/3,2020-11-13
1313,聯成,1.36,108.0,24.18,0.85,109/3,2020-11-13
1314,中石化,3.35,108.0,44.75,0.42,109/3,2020-11-13
1315,達新,5.12,108.0,2.5,1.07,109/2,2020-11-13
1316,上曜,0.0,108.0,,1.13,109/3,2020-11-13
1319,東陽,4.72,108.0,19.87,1.05,109/3,2020-11-13
1321,大洋,0.0,108.0,13.82,1.31,109/3,2020-11-13
1323,永裕,4.8,108.0,10.29,1.44,109/3,2020-11-13
1324,地球,3.02,108.0,45.09,0.78,109/3,2020-11-13
1325,恆大,0.25,108.0,7.27,3.23,109/3,2020-11-13
1326,台化,4.94,108.0,36.1,1.5,109/3,2020-11-13
1337,再生-KY,0.0,108.0,,0.31,109/3,2020-11-13
1338,廣華-KY,6.12,108.0,20.21,0.8,109/3,2020-11-13
1339,昭輝,4.66,108.0,20.85,0.95,109/2,2020-11-13
1340,勝悅-KY,0.0,108.0,,0.34,109/2,2020-11-13
1341,富林-KY,8.55,108.0,10.62,2.55,109/3,2020-11-13
1402,遠東新,5.43,108.0,16.63,0.75,109/2,2020-11-13
1409,新纖,4.58,108.0,7.95,0.64,109/2,2020-11-13
1410,南染,2.92,108.0,40.29,2.02,109/3,2020-11-13
1413,宏洲,0.0,108.0,,1.09,109/3,2020-11-13
1414,東和,1.29,108.0,35.23,1.11,109/3,2020-11-13
1416,廣豐,0.0,108.0,,0.62,109/3,2020-11-13
1417,嘉裕,4.41,108.0,7.94,0.76,109/2,2020-11-13
1418,東華,0.0,108.0,,0.9,109/3,2020-11-13
1419,新紡,2.33,108.0,39.45,1.54,109/3,2020-11-13
1423,利華,0.77,108.0,,0.96,109/3,2020-11-13
1432,大魯閣,18.56,108.0,,3.5,109/2,2020-11-13
1434,福懋,7.75,108.0,14.59,1.02,109/3,2020-11-13
1435,中福,0.0,108.0,,2.86,109/3,2020-11-13
1436,華友聯,6.54,108.0,8.33,1.34,109/3,2020-11-13
1437,勤益控,4.62,108.0,16.41,0.77,109/3,2020-11-13
1438,三地開發,0.0,108.0,27.02,2.3,109/3,2020-11-13
1439,中和,17.79,108.0,63.86,1.13,109/3,2020-11-13
1440,南紡,1.4,108.0,84.12,0.97,109/3,2020-11-13
1441,大東,0.0,108.0,,0.99,109/3,2020-11-13
1442,名軒,5.35,108.0,132.14,1.14,109/3,2020-11-13
1443,立益,0.0,108.0,,1.11,109/3,2020-11-13
1444,力麗,0.0,108.0,,1.2,109/3,2020-11-13
1445,大宇,1.75,108.0,,0.94,109/3,2020-11-13
1446,宏和,0.86,108.0,433.75,3.16,109/3,2020-11-13
1447,力鵬,0.0,108.0,,0.7,109/3,2020-11-13
1449,佳和,0.0,108.0,,1.28,109/3,2020-11-13
1451,年興,0.0,108.0,,0.45,109/3,2020-11-13
1452,宏益,7.69,108.0,28.89,0.85,109/3,2020-11-13
1453,大將,2.35,108.0,,0.67,109/3,2020-11-13
1454,台富,3.03,108.0,,0.71,109/3,2020-11-13
1455,集盛,0.0,108.0,,0.74,109/3,2020-11-13
1456,怡華,0.0,108.0,,0.77,109/3,2020-11-13
1457,宜進,6.94,108.0,6.43,0.72,109/2,2020-11-13
1459,聯發,0.0,108.0,,1.0,109/3,2020-11-13
1460,宏遠,0.0,108.0,,1.06,109/3,2020-11-13
1463,強盛,4.92,108.0,58.1,0.94,109/3,2020-11-13
1464,得力,8.04,108.0,373.0,1.5,109/3,2020-11-13
1465,偉全,11.63,108.0,,0.78,109/3,2020-11-13
1466,聚隆,0.0,108.0,,1.37,109/3,2020-11-13
1467,南緯,0.0,108.0,,1.74,109/2,2020-11-13
1468,昶和,0.0,108.0,40.33,1.55,109/3,2020-11-13
1470,大統新創,4.4,108.0,49.19,1.65,109/3,2020-11-13
1471,首利,0.0,108.0,2.97,0.79,109/3,2020-11-13
1472,三洋紡,0.0,108.0,,2.94,109/3,2020-11-13
1473,台南,2.76,108.0,,0.75,109/3,2020-11-13
1474,弘裕,0.0,108.0,19.84,0.87,109/2,2020-11-13
1475,業旺,0.0,108.0,,4.24,109/3,2020-11-13
1476,儒鴻,2.63,108.0,30.24,6.51,109/3,2020-11-13
1477,聚陽,2.67,108.0,20.62,4.34,109/3,2020-11-13
1503,士電,3.13,108.0,15.9,1.1,109/2,2020-11-13
1504,東元,3.3,108.0,17.34,0.94,109/2,2020-11-13
1506,正道,0.0,108.0,,1.97,109/3,2020-11-13
1507,永大,3.33,108.0,22.76,2.34,109/3,2020-11-13
1512,瑞利,0.0,108.0,,5.42,109/3,2020-11-13
1513,中興電,2.47,108.0,26.97,2.67,109/2,2020-11-13
1514,亞力,4.46,108.0,17.03,1.82,109/3,2020-11-13
1515,力山,3.89,108.0,21.39,4.21,109/3,2020-11-13
1516,川飛,1.78,108.0,26.77,1.88,109/3,2020-11-13
1517,利奇,1.39,108.0,95.67,1.03,109/3,2020-11-13
1519,華城,2.04,108.0,25.68,3.79,109/3,2020-11-13
1521,大億,7.09,108.0,28.78,2.54,109/3,2020-11-13
1522,堤維西,6.56,108.0,26.36,1.06,109/3,2020-11-13
1524,耿鼎,4.26,108.0,23.48,0.71,109/3,2020-11-13
1525,江申,3.07,108.0,16.38,1.16,109/3,2020-11-13
1526,日馳,1.61,108.0,17.16,2.7,109/3,2020-11-13
1527,鑽全,2.89,108.0,25.78,1.43,109/3,2020-11-13
1528,恩德,1.25,108.0,,0.73,109/3,2020-11-13
1529,樂士,3.51,108.0,15.49,1.29,109/3,2020-11-13
1530,亞崴,4.99,108.0,8.42,0.94,109/3,2020-11-13
1531,高林股,1.72,108.0,,0.61,109/3,2020-11-13
1532,勤美,2.71,108.0,53.81,1.12,109/3,2020-11-13
1533,車王電,1.52,108.0,55.76,1.34,109/3,2020-11-13
1535,中宇,3.53,108.0,24.82,1.45,109/3,2020-11-13
1536,和大,2.09,108.0,97.45,3.92,109/3,2020-11-13
1537,廣隆,7.17,108.0,12.86,3.0,109/3,2020-11-13
1539,巨庭,4.12,108.0,,1.0,109/3,2020-11-13
1540,喬福,6.67,108.0,,0.97,109/3,2020-11-13
1541,錩泰,0.0,108.0,10.64,2.55,109/3,2020-11-13
1558,伸興,6.31,108.0,11.51,1.76,109/3,2020-11-13
1560,中砂,4.71,108.0,15.1,1.96,109/3,2020-11-13
1568,倉佑,2.86,108.0,250.0,1.21,109/3,2020-11-13
1582,信錦,5.15,108.0,10.87,1.93,109/3,2020-11-13
1583,程泰,5.0,108.0,15.04,1.4,109/3,2020-11-13
1587,吉茂,1.88,108.0,12.63,1.39,109/3,2020-11-13
1589,永冠-KY,0.55,108.0,21.06,1.22,109/3,2020-11-13
1590,亞德客-KY,0.59,108.0,51.04,8.24,109/2,2020-11-13
