證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,6.98,108.0,10.23,1.32,109/3,2020-11-26
1102,亞泥,6.82,108.0,10.3,1.04,109/3,2020-11-26
1103,嘉泥,5.52,108.0,34.15,0.52,109/3,2020-11-26
1104,環泥,4.16,108.0,12.03,0.88,109/3,2020-11-26
1108,幸福,1.32,108.0,12.39,1.01,109/3,2020-11-26
1109,信大,5.38,108.0,7.66,1.0,109/3,2020-11-26
1110,東泥,0.58,108.0,,1.17,109/3,2020-11-26
1201,味全,6.23,108.0,28.47,1.65,109/3,2020-11-26
1203,味王,2.7,108.0,18.97,1.74,109/3,2020-11-26
1210,大成,4.71,108.0,13.19,1.94,109/3,2020-11-26
1213,大飲,0.0,108.0,,0.89,109/3,2020-11-26
1215,卜蜂,5.63,108.0,10.81,2.4,109/3,2020-11-26
1216,統一,3.73,108.0,18.31,3.44,109/3,2020-11-26
1217,愛之味,0.0,108.0,19.88,0.68,109/3,2020-11-26
1218,泰山,3.84,108.0,14.84,1.66,109/3,2020-11-26
1219,福壽,2.08,108.0,10.24,1.45,109/3,2020-11-26
1220,台榮,4.92,108.0,12.71,0.93,109/3,2020-11-26
1225,福懋油,4.04,108.0,21.76,2.24,109/3,2020-11-26
1227,佳格,4.27,108.0,16.05,3.36,109/3,2020-11-26
1229,聯華,7.69,108.0,19.72,1.83,109/3,2020-11-26
1231,聯華食,4.73,108.0,12.51,2.15,109/3,2020-11-26
1232,大統益,3.98,108.0,18.27,4.87,109/3,2020-11-26
1233,天仁,4.49,108.0,46.91,2.24,109/3,2020-11-26
1234,黑松,5.15,108.0,15.07,0.74,109/3,2020-11-26
1235,興泰,4.41,108.0,31.99,0.96,109/3,2020-11-26
1236,宏亞,2.2,108.0,45.5,0.92,109/3,2020-11-26
1256,鮮活果汁-KY,1.97,108.0,15.19,4.42,109/3,2020-11-26
1301,台塑,5.02,108.0,44.69,1.91,109/3,2020-11-26
1303,南亞,3.34,108.0,29.51,1.65,109/3,2020-11-26
1304,台聚,2.48,108.0,15.54,1.12,109/3,2020-11-26
1305,華夏,4.32,108.0,15.03,1.48,109/3,2020-11-26
1307,三芳,3.5,108.0,43.11,1.16,109/3,2020-11-26
1308,亞聚,5.66,108.0,13.6,1.05,109/3,2020-11-26
1309,台達化,1.84,108.0,9.25,2.08,109/3,2020-11-26
1310,台苯,5.78,108.0,,1.46,109/3,2020-11-26
1312,國喬,0.0,108.0,8.92,0.84,109/3,2020-11-26
1313,聯成,1.16,108.0,28.2,0.99,109/3,2020-11-26
1314,中石化,3.34,108.0,44.9,0.42,109/3,2020-11-26
1315,達新,4.73,108.0,1.93,0.85,109/3,2020-11-26
1316,上曜,0.0,108.0,,1.15,109/3,2020-11-26
1319,東陽,4.65,108.0,20.16,1.07,109/3,2020-11-26
1321,大洋,0.0,108.0,13.86,1.31,109/3,2020-11-26
1323,永裕,4.85,108.0,10.19,1.43,109/3,2020-11-26
1324,地球,2.88,108.0,47.27,0.81,109/3,2020-11-26
1325,恆大,0.29,108.0,6.25,2.78,109/3,2020-11-26
1326,台化,4.77,108.0,37.42,1.55,109/3,2020-11-26
1337,再生-KY,0.0,108.0,,0.33,109/3,2020-11-26
1338,廣華-KY,5.93,108.0,20.85,0.82,109/3,2020-11-26
1339,昭輝,4.63,108.0,28.39,0.94,109/3,2020-11-26
1340,勝悅-KY,0.0,108.0,,0.35,109/3,2020-11-26
1341,富林-KY,8.55,108.0,10.62,2.55,109/3,2020-11-26
1342,八貫,3.91,108.0,21.77,3.75,109/3,2020-11-26
1402,遠東新,5.38,108.0,16.71,0.74,109/3,2020-11-26
1409,新纖,4.53,108.0,8.05,0.64,109/3,2020-11-26
1410,南染,2.97,108.0,39.59,1.98,109/3,2020-11-26
1413,宏洲,0.0,108.0,,1.08,109/3,2020-11-26
1414,東和,1.25,108.0,36.36,1.15,109/3,2020-11-26
1416,廣豐,0.0,108.0,,0.62,109/3,2020-11-26
1417,嘉裕,4.35,108.0,41.07,0.86,109/3,2020-11-26
1418,東華,0.0,108.0,,0.87,109/3,2020-11-26
1419,新紡,2.33,108.0,39.4,1.54,109/3,2020-11-26
1423,利華,0.76,108.0,,0.97,109/3,2020-11-26
1432,大魯閣,23.53,108.0,,1.16,109/3,2020-11-26
1434,福懋,7.97,108.0,14.19,0.99,109/3,2020-11-26
1435,中福,0.0,108.0,,2.85,109/3,2020-11-26
1436,華友聯,6.31,108.0,8.63,1.39,109/3,2020-11-26
1437,勤益控,4.54,108.0,16.72,0.79,109/3,2020-11-26
1438,三地開發,0.0,108.0,26.81,2.29,109/3,2020-11-26
1439,中和,17.42,108.0,65.23,1.15,109/3,2020-11-26
1440,南紡,1.38,108.0,85.0,0.99,109/3,2020-11-26
1441,大東,0.0,108.0,,0.96,109/3,2020-11-26
1442,名軒,5.32,108.0,132.86,1.15,109/3,2020-11-26
1443,立益,0.0,108.0,,1.15,109/3,2020-11-26
1444,力麗,0.0,108.0,,1.24,109/3,2020-11-26
1445,大宇,1.77,108.0,,0.93,109/3,2020-11-26
1446,宏和,0.98,108.0,383.75,2.8,109/3,2020-11-26
1447,力鵬,0.0,108.0,,0.73,109/3,2020-11-26
1451,年興,0.0,108.0,,0.47,109/3,2020-11-26
1452,宏益,7.36,108.0,30.19,0.89,109/3,2020-11-26
1453,大將,2.29,108.0,,0.68,109/3,2020-11-26
1454,台富,3.13,108.0,,0.69,109/3,2020-11-26
1455,集盛,0.0,108.0,,0.8,109/3,2020-11-26
1456,怡華,0.0,108.0,,1.16,109/3,2020-11-26
1457,宜進,6.76,108.0,5.25,0.73,109/3,2020-11-26
1459,聯發,0.0,108.0,,0.98,109/3,2020-11-26
1460,宏遠,0.0,108.0,,1.05,109/3,2020-11-26
1463,強盛,4.86,108.0,58.81,0.95,109/3,2020-11-26
1464,得力,7.75,108.0,387.0,1.55,109/3,2020-11-26
1465,偉全,11.63,108.0,,0.78,109/3,2020-11-26
1466,聚隆,0.0,108.0,,1.27,109/3,2020-11-26
1467,南緯,0.0,108.0,,1.45,109/3,2020-11-26
1468,昶和,0.0,108.0,40.67,1.56,109/3,2020-11-26
1470,大統新創,4.4,108.0,49.19,1.65,109/3,2020-11-26
1471,首利,0.0,108.0,3.26,0.87,109/3,2020-11-26
1472,三洋紡,0.0,108.0,,2.54,109/3,2020-11-26
1473,台南,2.73,108.0,,0.76,109/3,2020-11-26
1474,弘裕,0.0,108.0,14.88,0.85,109/3,2020-11-26
1475,業旺,0.0,108.0,,4.03,109/3,2020-11-26
1476,儒鴻,2.69,108.0,29.52,6.36,109/3,2020-11-26
1477,聚陽,2.66,108.0,20.73,4.36,109/3,2020-11-26
1503,士電,3.14,108.0,15.81,1.07,109/3,2020-11-26
1504,東元,3.3,108.0,17.34,0.94,109/3,2020-11-26
1506,正道,0.0,108.0,,1.9,109/3,2020-11-26
1507,永大,3.54,108.0,21.41,2.2,109/3,2020-11-26
1512,瑞利,0.0,108.0,,5.16,109/3,2020-11-26
1513,中興電,2.16,108.0,27.39,2.51,109/3,2020-11-26
1514,亞力,4.4,108.0,17.25,1.84,109/3,2020-11-26
1515,力山,3.86,108.0,21.55,4.24,109/3,2020-11-26
1516,川飛,1.82,108.0,26.16,1.83,109/3,2020-11-26
1517,利奇,1.35,108.0,99.0,1.07,109/3,2020-11-26
1519,華城,1.9,108.0,27.54,4.06,109/3,2020-11-26
1521,大億,7.09,108.0,28.78,2.54,109/3,2020-11-26
1522,堤維西,6.36,108.0,27.16,1.09,109/3,2020-11-26
1524,耿鼎,4.06,108.0,24.63,0.75,109/3,2020-11-26
1525,江申,2.9,108.0,17.34,1.23,109/3,2020-11-26
1526,日馳,1.59,108.0,17.44,2.74,109/3,2020-11-26
1527,鑽全,2.72,108.0,27.39,1.52,109/3,2020-11-26
1528,恩德,1.23,108.0,,0.74,109/3,2020-11-26
1529,樂士,3.13,108.0,17.34,1.44,109/3,2020-11-26
1530,亞崴,4.98,108.0,8.45,0.94,109/3,2020-11-26
1531,高林股,1.65,108.0,,0.64,109/3,2020-11-26
1532,勤美,2.76,108.0,52.86,1.1,109/3,2020-11-26
1533,車王電,1.48,108.0,57.37,1.37,109/3,2020-11-26
1535,中宇,3.5,108.0,25.04,1.46,109/3,2020-11-26
1536,和大,2.0,108.0,101.94,4.1,109/3,2020-11-26
1537,廣隆,7.14,108.0,12.9,3.01,109/3,2020-11-26
1538,正峰,0.0,108.0,,0.89,109/3,2020-11-26
