證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1472,三洋紡,0.0,108.0,,2.14,109/2,2020-09-29
1473,台南,2.78,108.0,,0.73,109/2,2020-09-29
1474,弘裕,0.0,108.0,17.81,0.78,109/2,2020-09-29
1475,業旺,0.0,108.0,,7.65,109/2,2020-09-29
1476,儒鴻,3.07,108.0,26.3,5.97,109/2,2020-09-29
1477,聚陽,2.92,108.0,20.41,4.31,109/2,2020-09-29
1503,士電,3.38,108.0,14.72,1.02,109/2,2020-09-29
1504,東元,3.32,108.0,17.25,0.93,109/2,2020-09-29
1506,正道,0.0,108.0,,2.03,109/2,2020-09-29
1507,永大,4.02,108.0,17.99,2.08,109/2,2020-09-29
1512,瑞利,0.0,108.0,,5.16,109/2,2020-09-29
1513,中興電,2.88,108.0,23.14,2.29,109/2,2020-09-29
1514,亞力,4.71,108.0,15.84,1.7,109/2,2020-09-29
1515,力山,3.69,108.0,25.73,4.79,109/2,2020-09-29
1516,川飛,2.09,108.0,25.2,1.57,109/2,2020-09-29
1517,利奇,1.75,108.0,,0.84,109/2,2020-09-29
1519,華城,2.4,108.0,23.72,3.41,109/2,2020-09-29
1521,大億,7.62,108.0,18.95,2.4,109/2,2020-09-29
1522,堤維西,6.75,108.0,22.07,1.05,109/2,2020-09-29
1524,耿鼎,4.27,108.0,18.72,0.73,109/2,2020-09-29
1525,江申,3.07,108.0,17.27,1.21,109/2,2020-09-29
1526,日馳,1.6,108.0,21.7,2.85,109/2,2020-09-29
1527,鑽全,3.14,108.0,19.42,1.36,109/2,2020-09-29
1528,恩德,1.24,108.0,,0.74,109/2,2020-09-29
1529,樂士,3.32,108.0,27.36,1.41,109/2,2020-09-29
1530,亞崴,5.03,108.0,8.32,0.94,109/2,2020-09-29
1531,高林股,1.79,108.0,,0.59,109/2,2020-09-29
1532,勤美,2.91,108.0,75.36,1.08,109/2,2020-09-29
1533,車王電,1.73,108.0,40.63,1.18,109/2,2020-09-29
1535,中宇,3.72,108.0,26.92,1.39,109/2,2020-09-29
1536,和大,2.14,108.0,61.58,3.85,109/2,2020-09-29
1537,廣隆,7.3,108.0,12.47,3.1,109/2,2020-09-29
1538,正峰,0.0,108.0,,1.08,109/2,2020-09-29
1539,巨庭,3.7,108.0,63.53,1.1,109/2,2020-09-29
1540,喬福,6.9,108.0,,0.93,109/2,2020-09-29
1541,錩泰,0.0,108.0,11.0,2.74,109/2,2020-09-29
1558,伸興,6.38,108.0,12.11,1.86,109/2,2020-09-29
1560,中砂,4.67,108.0,15.04,2.04,109/2,2020-09-29
1568,倉佑,3.24,108.0,,1.09,109/2,2020-09-29
1582,信錦,5.38,108.0,10.04,1.97,109/2,2020-09-29
1583,程泰,5.08,108.0,13.08,1.37,109/2,2020-09-29
1587,吉茂,1.99,108.0,16.88,1.36,109/2,2020-09-29
1589,永冠-KY,0.56,108.0,28.4,1.28,109/2,2020-09-29
1590,亞德客-KY,0.77,108.0,38.71,6.25,109/2,2020-09-29
1592,英瑞-KY,0.0,108.0,,0.58,109/2,2020-09-29
1598,岱宇,0.93,108.0,40.24,4.94,109/2,2020-09-29
1603,華電,1.76,108.0,19.16,0.88,109/2,2020-09-29
1604,聲寶,6.83,108.0,18.76,1.34,109/2,2020-09-29
1605,華新,3.21,108.0,13.03,0.71,109/2,2020-09-29
1608,華榮,6.76,108.0,18.79,0.68,109/2,2020-09-29
1609,大亞,1.79,108.0,12.92,1.34,109/2,2020-09-29
1611,中電,10.86,108.0,5.24,0.88,109/2,2020-09-29
1612,宏泰,3.72,108.0,26.9,0.92,109/2,2020-09-29
1614,三洋電,2.29,108.0,30.72,1.84,109/2,2020-09-29
1615,大山,9.28,108.0,9.37,1.34,109/2,2020-09-29
1616,億泰,0.0,108.0,,0.64,109/2,2020-09-29
1617,榮星,2.37,108.0,15.62,1.09,109/2,2020-09-29
1618,合機,3.25,108.0,13.98,0.55,109/2,2020-09-29
1626,艾美特-KY,4.05,108.0,19.6,1.13,109/2,2020-09-29
1701,中化,3.46,108.0,13.43,1.07,109/2,2020-09-29
1702,南僑,4.75,108.0,11.99,1.86,109/2,2020-09-29
1707,葡萄王,3.79,108.0,18.23,4.01,109/2,2020-09-29
1708,東鹼,7.03,108.0,26.15,0.83,109/2,2020-09-29
1709,和益,3.72,108.0,20.38,0.94,109/2,2020-09-29
1710,東聯,1.87,108.0,,1.12,109/2,2020-09-29
1711,永光,1.88,108.0,36.25,1.13,109/2,2020-09-29
1712,興農,6.58,108.0,12.74,1.21,109/2,2020-09-29
1713,國化,3.24,108.0,47.11,1.19,109/2,2020-09-29
1714,和桐,0.0,108.0,5.43,0.82,109/2,2020-09-29
1717,長興,4.29,108.0,20.38,2.03,109/2,2020-09-29
1718,中纖,0.0,108.0,,0.46,109/2,2020-09-29
1720,生達,3.98,108.0,14.78,1.8,109/2,2020-09-29
1721,三晃,0.0,108.0,3.76,0.75,109/2,2020-09-29
1722,台肥,4.38,108.0,19.16,0.98,109/2,2020-09-29
1723,中碳,5.45,108.0,23.36,3.54,109/2,2020-09-29
1724,台硝,3.86,108.0,31.59,0.85,109/2,2020-09-29
1725,元禎,5.83,108.0,14.79,0.78,109/2,2020-09-29
1726,永記,4.62,108.0,14.69,1.37,109/2,2020-09-29
1727,中華化,1.83,108.0,,0.94,109/2,2020-09-29
1730,花仙子,5.4,108.0,16.69,2.87,109/2,2020-09-29
1731,美吾華,3.7,108.0,16.04,1.21,109/2,2020-09-29
1732,毛寶,0.0,108.0,21.3,1.89,109/2,2020-09-29
1733,五鼎,4.53,108.0,23.56,1.53,109/2,2020-09-29
1734,杏輝,0.54,108.0,102.5,2.32,109/2,2020-09-29
1735,日勝化,3.82,108.0,30.91,1.23,109/2,2020-09-29
1736,喬山,2.1,108.0,25.75,2.48,109/2,2020-09-29
1737,臺鹽,4.89,108.0,19.94,1.02,109/2,2020-09-29
1760,寶齡富錦,1.45,108.0,139.89,7.93,109/2,2020-09-29
1762,中化生,1.2,108.0,11.19,2.17,109/2,2020-09-29
1773,勝一,4.23,108.0,14.11,2.92,109/2,2020-09-29
1776,展宇,5.47,108.0,31.1,1.17,109/2,2020-09-29
1783,和康生,3.44,108.0,27.29,1.9,109/2,2020-09-29
1786,科妍,2.68,108.0,32.48,3.01,109/2,2020-09-29
1789,神隆,0.91,108.0,84.57,2.25,109/2,2020-09-29
1795,美時,0.0,108.0,25.75,2.5,109/2,2020-09-29
1802,台玻,0.0,108.0,,0.93,109/2,2020-09-29
1805,寶徠,0.0,108.0,,1.59,109/2,2020-09-29
1806,冠軍,0.0,108.0,,0.52,109/2,2020-09-29
1808,潤隆,4.84,108.0,30.1,4.01,109/2,2020-09-29
1809,中釉,1.9,108.0,,0.61,109/2,2020-09-29
1810,和成,0.0,108.0,26.71,0.62,109/2,2020-09-29
1817,凱撒衛,5.6,108.0,11.7,1.37,109/2,2020-09-29
1903,士紙,0.0,108.0,,6.2,109/2,2020-09-29
1904,正隆,3.69,108.0,11.38,1.54,109/2,2020-09-29
1905,華紙,0.0,108.0,,0.65,109/2,2020-09-29
1906,寶隆,3.58,108.0,25.83,0.57,109/2,2020-09-29
1907,永豐餘,4.09,108.0,8.07,0.74,109/2,2020-09-29
1909,榮成,1.79,108.0,37.22,0.97,109/2,2020-09-29
2002,中鋼,2.43,108.0,,1.11,109/2,2020-09-29
2006,東和鋼鐵,4.76,108.0,13.97,1.19,109/2,2020-09-29
2007,燁興,0.0,108.0,,0.66,109/2,2020-09-29
2008,高興昌,0.0,108.0,,1.09,109/2,2020-09-29
2009,第一銅,0.0,108.0,,0.91,109/2,2020-09-29
2010,春源,2.86,108.0,23.33,0.68,109/2,2020-09-29
2012,春雨,7.38,108.0,14.25,1.31,109/2,2020-09-29
2013,中鋼構,2.76,108.0,13.36,1.28,109/2,2020-09-29
2014,中鴻,0.0,108.0,,0.98,109/2,2020-09-29
2015,豐興,5.34,108.0,16.43,1.84,109/2,2020-09-29
2017,官田鋼,0.0,108.0,,0.77,109/2,2020-09-29
2020,美亞,11.64,108.0,12.42,1.25,109/2,2020-09-29
2022,聚亨,0.0,108.0,,0.64,109/2,2020-09-29
2023,燁輝,0.0,108.0,,0.73,109/2,2020-09-29
2024,志聯,2.46,108.0,,1.25,109/2,2020-09-29
2025,千興,0.0,108.0,,1.77,109/2,2020-09-29
2027,大成鋼,6.15,108.0,,1.04,109/2,2020-09-29
2028,威致,0.0,108.0,19.23,1.31,109/2,2020-09-29
2029,盛餘,0.82,108.0,,0.69,109/2,2020-09-29
2030,彰源,5.07,108.0,26.45,0.77,109/2,2020-09-29
2031,新光鋼,2.68,108.0,46.54,1.58,109/2,2020-09-29
2032,新鋼,3.68,108.0,22.14,0.75,109/2,2020-09-29
2033,佳大,2.01,108.0,19.94,0.8,109/2,2020-09-29
2034,允強,6.51,108.0,20.77,1.34,109/2,2020-09-29
2038,海光,0.0,108.0,,0.61,109/2,2020-09-29
2049,上銀,0.73,108.0,103.23,3.78,109/2,2020-09-29
2059,川湖,2.86,108.0,19.26,2.52,109/2,2020-09-29
2062,橋椿,0.42,108.0,,0.79,109/2,2020-09-29
2069,運錩,3.33,108.0,,0.76,109/2,2020-09-29
2101,南港,2.98,108.0,34.07,3.23,109/2,2020-09-29
2102,泰豐,0.0,108.0,,1.22,109/2,2020-09-29
2103,台橡,2.82,108.0,221.25,1.02,109/2,2020-09-29
2104,國際中橡,1.03,108.0,,0.65,109/2,2020-09-29
2105,正新,2.69,108.0,120.0,1.66,109/2,2020-09-29
2106,建大,2.7,108.0,51.12,1.45,109/2,2020-09-29
