證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.08,108.0,10.08,1.3,109/3,2020-11-16
1102,亞泥,6.83,108.0,10.29,1.04,109/3,2020-11-16
1103,嘉泥,5.81,108.0,32.45,0.5,109/3,2020-11-16
1104,環泥,4.6,108.0,10.88,0.8,109/3,2020-11-16
1108,幸福,1.32,108.0,12.39,1.01,109/3,2020-11-16
1109,信大,5.49,108.0,7.51,0.98,109/3,2020-11-16
1110,東泥,0.58,108.0,,1.16,109/3,2020-11-16
1201,味全,6.43,108.0,27.6,1.6,109/3,2020-11-16
1203,味王,2.78,108.0,18.46,1.69,109/3,2020-11-16
1210,大成,4.72,108.0,13.18,1.94,109/3,2020-11-16
1213,大飲,0.0,108.0,,0.85,109/3,2020-11-16
1215,卜蜂,5.52,108.0,11.0,2.44,109/3,2020-11-16
1216,統一,3.68,108.0,18.58,3.5,109/3,2020-11-16
1217,愛之味,0.0,108.0,19.2,0.66,109/3,2020-11-16
1218,泰山,3.89,108.0,14.65,1.64,109/3,2020-11-16
1219,福壽,2.11,108.0,10.11,1.43,109/3,2020-11-16
1220,台榮,4.84,108.0,12.92,0.95,109/3,2020-11-16
1225,福懋油,4.06,108.0,21.66,2.23,109/3,2020-11-16
1227,佳格,4.19,108.0,16.36,3.42,109/3,2020-11-16
1229,聯華,7.65,108.0,19.83,1.84,109/3,2020-11-16
1231,聯華食,4.72,108.0,12.52,2.15,109/3,2020-11-16
1232,大統益,4.0,108.0,18.2,4.85,109/3,2020-11-16
1233,天仁,4.46,108.0,47.24,2.25,109/3,2020-11-16
1234,黑松,5.14,108.0,15.11,0.74,109/3,2020-11-16
1235,興泰,4.31,108.0,32.69,0.98,109/3,2020-11-16
1236,宏亞,2.23,108.0,44.83,0.9,109/3,2020-11-16
1256,鮮活果汁-KY,1.97,108.0,15.17,4.41,109/3,2020-11-16
1301,台塑,4.99,108.0,44.95,1.92,109/3,2020-11-16
1303,南亞,3.41,108.0,28.92,1.62,109/3,2020-11-16
1304,台聚,2.67,108.0,14.38,1.03,109/3,2020-11-16
1305,華夏,4.39,108.0,14.81,1.46,109/3,2020-11-16
1307,三芳,3.75,108.0,40.28,1.08,109/3,2020-11-16
1308,亞聚,5.77,108.0,13.32,1.03,109/3,2020-11-16
1309,台達化,2.02,108.0,8.45,1.9,109/3,2020-11-16
1310,台苯,5.81,108.0,,1.45,109/3,2020-11-16
1312,國喬,0.0,108.0,8.9,0.84,109/3,2020-11-16
1313,聯成,1.37,108.0,24.02,0.84,109/3,2020-11-16
1314,中石化,3.42,108.0,43.8,0.41,109/3,2020-11-16
1315,達新,5.04,108.0,1.81,0.8,109/3,2020-11-16
1316,上曜,0.0,108.0,,1.12,109/3,2020-11-16
1319,東陽,4.7,108.0,19.95,1.06,109/3,2020-11-16
1321,大洋,0.0,108.0,13.84,1.31,109/3,2020-11-16
1323,永裕,4.86,108.0,10.17,1.42,109/3,2020-11-16
1324,地球,3.02,108.0,45.23,0.78,109/3,2020-11-16
1325,恆大,0.24,108.0,7.3,3.25,109/3,2020-11-16
1326,台化,4.88,108.0,36.53,1.51,109/3,2020-11-16
1337,再生-KY,0.0,108.0,,0.31,109/3,2020-11-16
1338,廣華-KY,6.13,108.0,20.18,0.8,109/3,2020-11-16
1339,昭輝,4.67,108.0,28.16,0.93,109/3,2020-11-16
1340,勝悅-KY,0.0,108.0,,0.34,109/3,2020-11-16
1341,富林-KY,8.52,108.0,10.65,2.56,109/3,2020-11-16
1402,遠東新,5.45,108.0,16.47,0.73,109/3,2020-11-16
1409,新纖,4.64,108.0,7.85,0.63,109/3,2020-11-16
1410,南染,2.95,108.0,39.94,2.0,109/3,2020-11-16
1413,宏洲,0.0,108.0,,1.06,109/3,2020-11-16
1414,東和,1.29,108.0,35.23,1.11,109/3,2020-11-16
1416,廣豐,0.0,108.0,,0.61,109/3,2020-11-16
1417,嘉裕,4.48,108.0,39.82,0.83,109/3,2020-11-16
1418,東華,0.0,108.0,,0.93,109/3,2020-11-16
1419,新紡,2.42,108.0,37.98,1.48,109/3,2020-11-16
1423,利華,0.77,108.0,,0.96,109/3,2020-11-16
1432,大魯閣,23.81,108.0,,1.15,109/3,2020-11-16
1434,福懋,7.9,108.0,14.32,1.0,109/3,2020-11-16
1435,中福,0.0,108.0,,2.91,109/3,2020-11-16
1436,華友聯,6.5,108.0,8.38,1.35,109/3,2020-11-16
1437,勤益控,4.6,108.0,16.48,0.78,109/3,2020-11-16
1438,三地開發,0.0,108.0,27.23,2.32,109/3,2020-11-16
1439,中和,17.76,108.0,63.98,1.13,109/3,2020-11-16
1440,南紡,1.4,108.0,84.12,0.97,109/3,2020-11-16
1441,大東,0.0,108.0,,0.96,109/3,2020-11-16
1442,名軒,5.42,108.0,130.36,1.13,109/3,2020-11-16
1443,立益,0.0,108.0,,1.13,109/3,2020-11-16
1444,力麗,0.0,108.0,,1.16,109/3,2020-11-16
1445,大宇,1.75,108.0,,0.93,109/3,2020-11-16
1446,宏和,0.87,108.0,433.13,3.16,109/3,2020-11-16
1447,力鵬,0.0,108.0,,0.69,109/3,2020-11-16
1449,佳和,0.0,108.0,,1.28,109/3,2020-11-16
1451,年興,0.0,108.0,,0.46,109/3,2020-11-16
1452,宏益,7.64,108.0,29.07,0.86,109/3,2020-11-16
1453,大將,2.33,108.0,,0.67,109/3,2020-11-16
1454,台富,3.09,108.0,,0.7,109/3,2020-11-16
1455,集盛,0.0,108.0,,0.78,109/3,2020-11-16
1456,怡華,0.0,108.0,,0.78,109/3,2020-11-16
1457,宜進,7.02,108.0,5.05,0.7,109/3,2020-11-16
1459,聯發,0.0,108.0,,1.01,109/3,2020-11-16
1460,宏遠,0.0,108.0,,1.06,109/3,2020-11-16
