證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.34,108.0,9.63,1.26,109/2,2020-11-06
1102,亞泥,7.17,108.0,10.23,1.03,109/2,2020-11-06
1103,嘉泥,6.31,108.0,20.32,0.48,109/2,2020-11-06
1104,環泥,5.01,108.0,11.27,0.75,109/2,2020-11-06
1108,幸福,1.33,108.0,15.69,1.02,109/2,2020-11-06
1109,信大,5.8,108.0,7.02,0.97,109/2,2020-11-06
1110,東泥,0.58,108.0,,1.17,109/2,2020-11-06
1201,味全,6.62,108.0,34.66,1.62,109/2,2020-11-06
1203,味王,2.83,108.0,19.29,1.68,109/2,2020-11-06
1210,大成,4.89,108.0,13.89,2.0,109/2,2020-11-06
1213,大飲,0.0,108.0,,0.88,109/2,2020-11-06
1215,卜蜂,5.66,108.0,12.36,2.44,109/2,2020-11-06
1216,統一,3.98,108.0,18.97,3.47,109/2,2020-11-06
1217,愛之味,0.0,108.0,35.62,0.65,109/2,2020-11-06
1218,泰山,4.09,108.0,15.38,1.64,109/2,2020-11-06
1219,福壽,2.12,108.0,12.12,1.47,109/2,2020-11-06
1220,台榮,5.0,108.0,13.19,0.94,109/2,2020-11-06
1225,福懋油,4.13,108.0,20.83,2.26,109/2,2020-11-06
1227,佳格,4.26,108.0,15.67,3.61,109/2,2020-11-06
1229,聯華,7.98,108.0,16.23,1.61,109/2,2020-11-06
1231,聯華食,4.89,108.0,13.42,2.09,109/2,2020-11-06
1232,大統益,4.05,108.0,17.98,4.79,109/3,2020-11-06
1233,天仁,4.41,108.0,39.46,2.29,109/2,2020-11-06
1234,黑松,5.19,108.0,16.38,0.75,109/2,2020-11-06
1235,興泰,4.37,108.0,27.1,0.79,109/2,2020-11-06
1236,宏亞,2.21,108.0,71.32,0.9,109/2,2020-11-06
1256,鮮活果汁-KY,2.18,108.0,19.39,4.84,109/2,2020-11-06
1301,台塑,5.4,108.0,29.11,1.79,109/2,2020-11-06
1303,南亞,3.57,108.0,31.97,1.58,109/2,2020-11-06
1304,台聚,2.63,108.0,18.63,1.1,109/2,2020-11-06
