證券代號,證券名稱,殖利率(%),股利年度,本益比,股價淨值比,財報年/季,date
1101,台泥,7.25,108.0,9.76,1.28,109/2,2020-10-06
1102,亞泥,7.18,108.0,10.22,1.03,109/2,2020-10-06
1103,嘉泥,6.29,108.0,20.38,0.48,109/2,2020-10-06
1104,環泥,5.12,108.0,11.05,0.74,109/2,2020-10-06
1108,幸福,1.38,108.0,15.14,0.98,109/2,2020-10-06
1109,信大,5.56,108.0,7.33,1.01,109/2,2020-10-06
1110,東泥,0.61,108.0,,1.13,109/2,2020-10-06
1201,味全,6.62,108.0,34.66,1.62,109/2,2020-10-06
1203,味王,3.04,108.0,17.98,1.57,109/2,2020-10-06
1210,大成,4.99,108.0,13.61,1.96,109/2,2020-10-06
1213,大飲,0.0,108.0,,1.0,109/2,2020-10-06
1215,卜蜂,5.95,108.0,11.75,2.32,109/2,2020-10-06
1216,統一,3.94,108.0,19.15,3.5,109/2,2020-10-06
1217,愛之味,0.0,108.0,35.9,0.65,109/2,2020-10-06
1218,泰山,4.06,108.0,15.49,1.65,109/2,2020-10-06
1219,福壽,2.09,108.0,12.24,1.49,109/2,2020-10-06
1220,台榮,5.24,108.0,12.58,0.9,109/2,2020-10-06
1225,福懋油,4.06,108.0,21.19,2.3,109/2,2020-10-06
1227,佳格,4.29,108.0,15.57,3.59,109/2,2020-10-06
1229,聯華,7.91,108.0,16.38,1.62,109/2,2020-10-06
1231,聯華食,4.92,108.0,13.34,2.08,109/2,2020-10-06
1232,大統益,4.22,108.0,19.27,5.02,109/2,2020-10-06
1233,天仁,4.4,108.0,39.57,2.3,109/2,2020-10-06
1234,黑松,5.17,108.0,16.45,0.76,109/2,2020-10-06
1235,興泰,4.38,108.0,26.99,0.78,109/2,2020-10-06
1236,宏亞,2.25,108.0,70.26,0.89,109/2,2020-10-06
1256,鮮活果汁-KY,2.18,108.0,19.45,4.86,109/2,2020-10-06
1301,台塑,5.42,108.0,29.0,1.78,109/2,2020-10-06
1303,南亞,3.61,108.0,31.55,1.56,109/2,2020-10-06
1304,台聚,3.03,108.0,16.18,0.96,109/2,2020-10-06
1305,華夏,4.99,108.0,15.91,1.28,109/2,2020-10-06
1307,三芳,3.85,108.0,32.5,1.05,109/2,2020-10-06
1308,亞聚,6.09,108.0,11.8,1.0,109/2,2020-10-06
