證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
0050,元大台灣50,"3,239,005","2,646","342,147,843",105.70,106.30,105.10,105.25,-,0.45,105.20,28,105.25,41,0.00,,2020-10-16
0051,元大中型100,"15,228",20,"602,329",39.63,39.74,39.30,39.35,-,0.06,39.28,4,39.35,33,0.00,,2020-10-16
0052,富邦科技,"1,242,534",452,"116,876,323",94.45,95.10,93.20,93.45,-,1.2,93.25,3,93.45,2,0.00,,2020-10-16
0053,元大電子,"15,120",12,"766,416",51.05,51.05,50.30,50.50,-,0.05,50.50,1,50.55,18,0.00,,2020-10-16
0054,元大台商50,"48,000",8,"1,200,280",24.96,25.18,24.96,25.01,+,0.08,24.84,23,24.97,14,0.00,,2020-10-16
0055,元大MSCI金融,"31,119",19,"538,948",17.37,17.40,17.29,17.30, ,0.0,17.29,2,17.30,1,0.00,,2020-10-16
0056,元大高股息,"23,391,242","9,802","692,348,526",29.65,29.69,29.52,29.56,-,0.13,29.55,318,29.56,337,0.00,,2020-10-16
0057,富邦摩台,"24,000",6,"1,671,700",69.55,70.05,69.55,69.65,-,0.1,68.95,10,69.30,10,0.00,,2020-10-16
0061,元大寶滬深,"931,875",173,"20,363,972",21.71,21.93,21.69,21.80,-,0.02,21.79,55,21.80,11,0.00,,2020-10-16
006203,元大MSCI台灣,"4,100",5,"202,683",49.48,49.78,49.25,49.25,-,0.23,49.09,35,49.25,27,0.00,,2020-10-16
006204,永豐臺灣加權,"4,000",3,"257,650",64.90,64.90,64.20,64.20,X,0.0,64.10,10,64.20,8,0.00,,2020-10-16
006205,富邦上証,"3,430,233",260,"122,172,975",35.51,35.85,35.40,35.60, ,0.0,35.57,151,35.60,74,0.00,,2020-10-16
006206,元大上證50,"776,346",160,"28,359,896",36.40,36.71,36.29,36.45,+,0.05,36.45,78,36.48,2,0.00,,2020-10-16
006207,FH滬深,"509,360",64,"14,502,298",28.40,28.64,28.32,28.46,-,0.04,28.45,20,28.46,29,0.00,,2020-10-16
