證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
2905,三商,"3,553,845","1,243","49,999,833",15.30,15.30,13.95,13.95,-,1.55,--,0,13.95,217,4.47,,2020-03-19
2906,高林,"97,154",55,"921,656",9.89,9.89,9.22,9.78,-,0.07,9.15,8,9.78,2,33.72,,2020-03-19
2908,特力,"775,220",271,"13,860,791",18.00,18.10,17.55,18.00,-,0.5,17.70,1,18.00,1,0.00,,2020-03-19
2910,統領,"35,000",21,"1,018,100",29.60,29.90,28.80,29.50,-,1.7,29.50,6,31.05,1,56.73,,2020-03-19
2911,麗嬰房,"1,436,351",264,"7,597,739",5.52,5.53,5.28,5.28,-,0.58,--,0,5.28,79,0.00,,2020-03-19
2912,統一超,"3,873,600","3,233","1,100,809,500",278.00,291.00,277.00,286.50,+,3.0,286.00,30,286.50,6,28.25,,2020-03-19
2913,農林,"3,819,792","1,007","43,227,551",12.00,12.05,11.15,11.30,-,1.05,11.20,75,11.30,1,0.00,,2020-03-19
2915,潤泰全,"5,843,494","3,637","365,272,570",63.00,64.80,59.00,61.20,-,3.2,61.10,29,61.20,1,3.18,,2020-03-19
2923,鼎固-KY,"65,011",56,"1,334,475",21.30,21.30,20.35,20.50,-,1.8,20.50,4,20.80,1,3.53,,2020-03-19
2929,淘帝-KY,"1,771,094","1,328","88,551,413",50.70,52.00,47.70,49.20,-,1.5,49.10,1,49.25,5,3.59,,2020-03-19
2936,客思達-KY,"45,000",41,"514,550",11.60,11.80,11.40,11.80,-,0.85,--,0,11.40,4,"1,180.00",,2020-03-19
2939,凱羿-KY,"178,035",120,"15,790,825",88.00,92.70,85.10,89.10, ,0.0,86.50,2,89.30,1,14.49,,2020-03-19
3002,歐格,"785,250",139,"6,260,340",8.32,8.50,7.80,8.45,-,0.15,8.45,14,8.46,1,17.98,,2020-03-19
3003,健和興,"1,598,150",715,"45,259,100",30.15,30.15,27.90,28.30,-,2.7,27.90,1,28.30,103,9.28,,2020-03-19
3004,豐達科,"666,698",424,"29,484,375",45.95,46.00,43.20,43.20,-,4.8,--,0,43.20,72,6.49,,2020-03-19
3005,神基,"3,697,891","1,614","146,927,099",41.65,41.90,38.35,39.10,-,3.4,39.10,1,39.20,1,10.71,,2020-03-19
3006,晶豪科,"4,367,810","2,089","107,227,476",26.20,26.25,24.05,24.05,-,2.65,--,0,24.05,81,20.73,,2020-03-19
3008,大立光,"2,293,653","2,712","7,913,438,575","3,600.00","3,645.00","3,240.00","3,250.00",-,350.0,"3,250.00",1,"3,260.00",8,15.42,,2020-03-19
3010,華立,"621,692",437,"27,085,768",45.05,45.30,42.00,42.40,-,3.45,42.40,24,42.55,4,6.70,,2020-03-19
3011,今皓,"429,719",106,"1,711,706",4.05,4.05,3.87,3.99,-,0.19,3.96,6,4.00,10,0.00,,2020-03-19
3013,晟銘電,"945,000",251,"9,937,600",10.90,11.10,10.15,10.15,-,1.1,--,0,10.15,196,12.23,,2020-03-19
3014,聯陽,"3,788,094","2,229","131,623,236",36.50,36.50,33.50,34.15,-,3.05,34.15,4,34.20,16,10.19,,2020-03-19
3015,全漢,"728,593",261,"10,745,906",15.60,15.60,14.50,14.50,-,1.6,14.50,141,14.60,4,51.79,,2020-03-19
3016,嘉晶,"20,606,766","12,646","991,917,354",50.90,51.30,45.85,45.85,-,5.05,--,0,45.85,100,104.20,,2020-03-19
3017,奇鋐,"20,148,002","10,286","536,557,094",27.05,28.60,24.90,25.85,-,1.65,25.85,11,25.90,19,9.54,,2020-03-19
3018,同開,"979,355",530,"14,315,400",15.50,15.75,14.10,14.10,-,1.55,--,0,14.10,19,0.00,,2020-03-19
3019,亞光,"7,019,933","4,080","378,669,367",57.10,57.90,52.30,52.30,-,5.8,--,0,52.30,169,12.39,,2020-03-19
3021,鴻名,"300,000",104,"3,245,450",11.35,11.35,10.60,10.60,-,1.15,10.60,3,10.65,2,7.57,,2020-03-19
3022,威強電,"1,220,857",456,"34,133,722",29.80,29.80,27.75,27.75,-,3.05,--,0,27.75,45,7.30,,2020-03-19
3023,信邦,"2,708,568","2,043","255,426,700",99.50,100.50,91.90,92.00,-,10.0,92.00,20,92.30,9,12.76,,2020-03-19
3024,憶聲,"516,065",175,"3,053,100",6.15,6.15,5.80,6.10,-,0.18,6.06,5,6.10,2,9.38,,2020-03-19
3025,星通,"263,005",117,"3,399,410",13.75,13.75,12.65,12.65,-,1.4,--,0,12.65,7,20.08,,2020-03-19
3026,禾伸堂,"6,905,268","4,963","537,343,740",82.00,83.00,75.20,75.30,-,8.2,75.30,9,75.40,7,15.00,,2020-03-19
3027,盛達,"709,056",176,"3,680,224",5.35,5.68,5.13,5.16,-,0.54,--,0,5.16,3,2.57,,2020-03-19
3028,增你強,"1,464,004",863,"22,807,418",16.90,16.90,15.35,15.40,-,1.65,15.40,1,15.45,19,11.58,,2020-03-19
3029,零壹,"3,410,358","1,896","91,291,274",28.00,28.20,25.50,25.50,-,2.8,--,0,25.50,108,9.04,,2020-03-19
3030,德律,"1,899,606","1,360","74,599,843",41.60,41.60,38.60,38.80,-,3.7,38.80,23,38.85,1,9.77,,2020-03-19
3031,佰鴻,"893,325",427,"8,376,090",10.10,10.15,9.18,9.18,-,1.02,9.18,175,9.19,3,7.65,,2020-03-19
3032,偉訓,"613,020",328,"12,894,920",21.70,21.70,20.30,20.65,-,0.05,20.60,8,20.70,4,8.04,,2020-03-19
3033,威健,"2,676,759","1,179","29,686,414",11.85,11.95,10.90,11.00,-,1.1,11.00,33,11.05,12,14.10,,2020-03-19
3034,聯詠,"11,182,671","6,943","1,731,150,663",163.00,164.50,152.00,152.00,-,16.5,--,0,152.00,384,11.67,,2020-03-19
3035,智原,"5,155,789","3,146","153,097,915",31.10,31.65,29.15,29.15,-,3.2,--,0,29.20,8,20.82,,2020-03-19
3036,文曄,"3,480,261","1,724","110,935,407",33.80,34.00,31.20,31.20,-,3.45,--,0,31.20,55,7.63,,2020-03-19
3037,欣興,"71,791,017","28,488","1,807,712,939",26.00,27.05,23.65,24.60,-,1.6,24.60,89,24.65,31,12.24,,2020-03-19
3038,全台,"4,813,143","1,296","57,484,970",12.95,12.95,11.70,11.70,-,1.3,11.70,187,11.75,3,7.05,,2020-03-19
3040,遠見,"227,950",136,"5,178,218",23.35,23.40,22.60,22.60,-,2.5,--,0,22.60,129,16.62,,2020-03-19
3041,揚智,"4,367,332","1,652","51,063,449",12.60,12.70,11.55,11.55,-,1.25,--,0,11.55,304,0.00,,2020-03-19
3042,晶技,"12,215,326","5,665","452,255,893",39.30,39.55,36.10,36.15,-,3.95,36.15,5,36.20,5,17.21,,2020-03-19
3043,科風,"233,466",39,"287,639",1.25,1.25,1.23,1.23,-,0.13,--,0,1.23,339,2.56,,2020-03-19
3044,健鼎,"2,795,471","2,037","229,825,998",87.00,88.00,78.70,79.20,-,8.2,79.20,1,79.40,1,7.13,,2020-03-19
3045,台灣大,"10,029,881","4,825","995,226,972",98.50,101.00,97.80,100.00,-,1.0,100.00,"1,113",100.50,322,22.52,,2020-03-19
3046,建碁,"31,089",26,"208,284",7.33,7.33,6.62,6.62,-,0.73,--,0,6.62,23,28.78,,2020-03-19
3047,訊舟,"1,769,858",399,"9,812,962",5.85,5.85,5.45,5.45,-,0.6,--,0,5.45,286,9.40,,2020-03-19
3048,益登,"2,341,201","1,083","30,531,681",13.30,13.50,12.75,12.90,-,0.7,12.90,1,12.95,2,7.82,,2020-03-19
3049,和鑫,"14,938,605","4,452","125,880,609",8.90,9.00,8.05,8.40,-,0.54,8.40,330,8.41,41,8.84,,2020-03-19
3050,鈺德,"1,316,922",442,"9,829,168",8.00,8.00,7.22,7.30,-,0.7,7.30,1,7.31,3,8.20,,2020-03-19
3051,力特,"380,683",72,"1,081,347",2.99,2.99,2.83,2.83,-,0.31,--,0,2.83,19,0.00,,2020-03-19
3052,夆典,"1,488,809",389,"12,126,263",8.70,8.70,8.09,8.09,-,0.89,--,0,8.09,584,0.00,,2020-03-19
3054,立萬利,"127,483",104,"2,652,371",22.95,22.95,20.10,21.60,-,0.7,21.60,1,21.65,2,720.00,,2020-03-19
3055,蔚華科,"616,221",304,"14,460,285",24.35,24.45,22.50,23.80,-,1.1,23.80,10,23.90,1,297.50,,2020-03-19
3056,總太,"4,871,933","1,822","100,912,118",22.10,22.10,20.45,20.45,-,2.25,--,0,20.45,232,11.05,,2020-03-19
3057,喬鼎,"774,076",224,"3,053,005",4.15,4.15,3.91,3.91,-,0.43,3.91,2,3.95,26,0.00,,2020-03-19
3058,立德,"1,993,001",201,"9,352,585",5.00,5.00,4.68,4.68,-,0.52,4.68,26,4.69,5,0.00,,2020-03-19
3059,華晶科,"4,225,368","1,428","65,630,767",15.80,16.75,14.70,16.60,+,0.3,16.55,5,16.60,17,43.68,,2020-03-19
3060,銘異,"3,722,223","1,100","37,307,170",10.65,10.80,9.90,9.90,-,1.1,--,0,9.90,31,0.00,,2020-03-19
3062,建漢,"3,141,075","1,197","32,405,799",11.10,11.10,10.20,10.20,-,1.1,--,0,10.20,10,37.78,,2020-03-19
3090,日電貿,"4,250,703","2,424","142,772,204",36.00,36.20,32.85,32.85,-,3.65,--,0,32.85,93,8.13,,2020-03-19
3094,聯傑,"936,283",458,"13,668,674",15.35,15.65,14.20,14.25,-,1.5,14.25,14,14.40,2,28.50,,2020-03-19
3130,一零四,"54,066",92,"6,683,209",131.00,131.00,119.50,123.50,-,9.0,123.50,1,129.50,2,14.33,,2020-03-19
3149,正達,"937,700",244,"4,197,027",4.80,4.80,4.46,4.47,-,0.48,--,0,4.47,1,0.00,,2020-03-19
3164,景岳,"661,000",195,"11,661,150",19.45,19.45,17.55,17.55,-,1.9,--,0,17.55,29,18.09,,2020-03-19
3167,大量,"321,000",125,"9,939,700",31.85,32.00,30.70,30.70,-,3.4,--,0,30.70,39,13.83,,2020-03-19
3189,景碩,"5,801,900","2,889","182,933,650",33.80,33.80,31.05,31.05,-,3.45,--,0,31.05,610,0.00,,2020-03-19
3209,全科,"1,413,454",733,"22,583,147",16.70,16.70,15.40,15.50,-,1.5,15.50,1,15.60,18,10.62,,2020-03-19
3229,晟鈦,"271,040",68,"2,272,784",8.40,8.80,8.37,8.37,-,0.93,--,0,8.37,87,0.00,,2020-03-19
3231,緯創,"28,423,727","10,437","540,381,181",19.30,19.60,18.55,18.65,-,1.45,18.65,70,18.70,109,8.72,,2020-03-19
3257,虹冠電,"457,152",272,"20,580,475",46.85,46.85,44.50,45.10,-,1.75,45.10,1,45.30,1,33.66,,2020-03-19
3266,昇陽,"418,000",132,"4,710,850",12.20,12.20,11.05,11.20,-,1.05,11.15,2,11.20,11,26.05,,2020-03-19
3296,勝德,"366,000",133,"4,165,850",11.35,11.85,10.80,11.80,-,0.15,11.30,5,11.80,1,43.70,,2020-03-19
3305,昇貿,"519,231",242,"8,878,788",17.65,17.90,16.90,16.90,-,1.85,16.90,38,16.95,38,10.97,,2020-03-19
3308,聯德,"35,079",19,"142,937",3.94,4.30,3.82,4.00,-,0.21,3.85,1,4.00,3,0.00,,2020-03-19
3311,閎暉,"305,728",269,"5,638,950",19.00,19.65,17.85,17.85,-,1.95,17.85,7,17.90,2,0.00,,2020-03-19
3312,弘憶股,"1,655,785",584,"16,660,900",10.75,10.80,9.95,9.95,-,1.1,--,0,9.95,27,8.02,,2020-03-19
3321,同泰,"608,315",210,"3,785,301",6.69,6.69,6.20,6.20,-,0.68,--,0,6.20,462,0.00,,2020-03-19
3338,泰碩,"18,180,712","12,684","1,340,260,252",77.20,79.20,70.00,70.00,-,7.7,70.00,38,70.10,7,20.83,,2020-03-19
3346,麗清,"521,635",206,"8,125,972",15.80,15.90,15.55,15.55,-,1.7,--,0,15.55,108,17.28,,2020-03-19
3356,奇偶,"892,406",499,"14,588,060",17.10,17.15,16.20,16.20,-,1.8,--,0,16.20,30,73.64,,2020-03-19
3376,新日興,"4,398,544","2,368","402,096,464",96.40,97.20,89.10,89.10,-,9.9,--,0,89.10,601,12.24,,2020-03-19
3380,明泰,"4,438,000","1,605","63,064,296",14.50,14.95,14.05,14.10,-,1.5,14.05,82,14.10,17,32.05,,2020-03-19
