證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,Unnamed: 16,date
0050,元大台灣50,"4,550,154","2,578","481,080,290",106.50,106.50,105.10,105.70,-,1.0,105.70,38,105.75,2,0.00,,2020-10-15
0051,元大中型100,"8,700",20,"344,388",39.75,39.77,39.37,39.41,-,0.29,39.65,1,39.70,35,0.00,,2020-10-15
0052,富邦科技,"1,215,509",674,"114,891,806",95.20,95.20,93.90,94.65,-,0.9,94.60,1,94.65,1,0.00,,2020-10-15
0053,元大電子,"5,000",5,"253,050",50.80,50.80,50.40,50.55,-,0.4,50.55,3,50.85,1,0.00,,2020-10-15
0054,元大台商50,"6,057",6,"151,310",25.00,25.03,24.93,24.93,-,0.08,24.89,27,25.00,5,0.00,,2020-10-15
0055,元大MSCI金融,"22,005",17,"381,537",17.50,17.50,17.28,17.30,-,0.1,17.28,4,17.37,30,0.00,,2020-10-15
0056,元大高股息,"23,918,261","8,002","708,540,113",29.75,29.75,29.51,29.69,-,0.05,29.69,15,29.70,79,0.00,,2020-10-15
0057,富邦摩台,"29,015",9,"2,010,636",69.65,69.75,69.10,69.75,-,0.5,69.40,10,69.75,11,0.00,,2020-10-15
0061,元大寶滬深,"755,030",189,"16,517,480",21.81,21.98,21.80,21.82,+,0.08,21.82,55,21.83,12,0.00,,2020-10-15
006203,元大MSCI台灣,"8,000",6,"396,660",49.84,49.84,49.40,49.48,X,0.0,49.38,35,49.62,35,0.00,,2020-10-15
006204,永豐臺灣加權,130,3,"8,450",--,--,--,--, ,0.0,64.45,10,64.60,10,0.00,,2020-10-15
006205,富邦上証,"2,016,923",530,"71,674,705",35.36,35.75,35.36,35.60,+,0.24,35.56,310,35.62,19,0.00,,2020-10-15
006206,元大上證50,"493,741",122,"17,937,885",36.06,36.55,36.06,36.40,+,0.35,36.38,85,36.40,64,0.00,,2020-10-15
006207,FH滬深,"341,000",57,"9,732,280",28.38,28.65,28.38,28.50,+,0.15,28.50,73,28.54,14,0.00,,2020-10-15
006208,富邦台50,"1,522,732",288,"91,685,719",60.75,60.75,60.05,60.40,-,0.35,60.35,6,60.40,24,0.00,,2020-10-15
00625K,富邦上証+R,"50,000",2,"419,000",8.38,8.38,8.38,8.38, ,0.0,8.35,5,8.57,5,0.00,,2020-10-15
00631L,元大台灣50正2,"5,202,423","1,279","346,168,325",66.90,67.40,65.70,66.60,-,0.7,66.55,203,66.60,213,0.00,,2020-10-15
00632R,元大台灣50反1,"84,562,993","6,082","695,899,389",8.21,8.28,8.18,8.21,+,0.03,8.21,"13,308",8.22,502,0.00,,2020-10-15
00633L,富邦上証正2,"11,731,601","1,761","697,508,319",58.80,60.05,58.65,59.60,+,0.85,59.60,949,59.65,61,0.00,,2020-10-15
00634R,富邦上証反1,"937,100",129,"4,188,905",4.50,4.50,4.45,4.45,-,0.04,4.45,616,4.47,67,0.00,,2020-10-15
00635U,元大S&P黃金,"510,720",167,"13,271,420",25.97,26.05,25.92,26.04,+,0.08,26.03,2,26.04,95,0.00,,2020-10-15
00636,國泰中國A50,"1,786,416",372,"44,219,780",24.53,24.90,24.53,24.79,+,0.27,24.79,239,24.80,7,0.00,,2020-10-15
00636K,國泰中國A50+U,"2,100",3,"18,082",8.58,8.62,8.58,8.62,+,0.06,8.57,10,8.66,10,0.00,,2020-10-15
00637L,元大滬深300正2,"77,089,262","7,142","1,785,583,522",22.91,23.40,22.85,23.22,+,0.35,23.22,"1,741",23.23,90,0.00,,2020-10-15
00638R,元大滬深300反1,"1,255,000",176,"11,268,050",9.05,9.05,8.93,8.98,-,0.05,8.96,117,8.98,179,0.00,,2020-10-15
00639,富邦深100,"1,869,236",217,"27,963,991",14.96,15.03,14.90,14.97,+,0.08,14.97,10,14.98,2,0.00,,2020-10-15
